,ADA,APRE,BIME,BRODA,CERTO,CICLO,ETA,FUM,GUSEL,IFX,IXE,MIRI,MTX,PBO,RISAN,SECU,TILDRA,TOFA,TYK2,USK
IXE,"0.58 ( 0.41,  0.81)","0.30 ( 0.15,  0.58)","2.30 ( 0.14, 38.46)","0.90 ( 0.61,  1.35)","0.53 ( 0.30,  0.94)","0.16 ( 0.08,  0.32)","0.36 ( 0.27,  0.47)","0.16 ( 0.10,  0.24)","0.87 ( 0.63,  1.20)","0.65 ( 0.37,  1.15)",IXE,"1.52 (0.36,   6.33)","2.15 (0.96,   4.79)","0.98 (0.60,   1.60)","1.40 (0.73,   2.67)","0.98 (0.53,   1.82)","1.31 (0.45,   3.81)","1.18 (0.53,   2.66)","1.61 (0.16,  15.99)","1.05 (0.57,   1.92)"
MIRI,"1.27 ( 0.53,  3.07)","0.66 ( 0.23,  1.86)","5.08 ( 0.27, 94.52)","2.00 ( 0.81,  4.93)","1.18 ( 0.44,  3.17)","0.35 ( 0.12,  1.03)","0.78 ( 0.33,  1.87)","0.35 ( 0.14,  0.87)","1.92 ( 0.79,  4.65)","1.44 ( 0.54,  3.86)","2.21 ( 0.91,  5.33)",MIRI,"1.41 (0.32,   6.29)","0.65 (0.17,   2.48)","0.92 (0.22,   3.80)","0.65 (0.16,   2.62)","0.86 (0.16,   4.52)","0.78 (0.17,   3.49)","1.06 (0.08,  14.50)","0.69 (0.17,   2.79)"
MTX,"3.97 ( 2.81,  5.61)","2.05 ( 1.05,  3.98)","15.83 ( 0.95, 263.97)","6.22 ( 4.10,  9.43)","3.68 ( 2.06,  6.56)","1.08 ( 0.57,  2.05)","2.45 ( 1.77,  3.38)","1.09 ( 0.71,  1.68)","5.98 ( 4.18,  8.56)","4.50 ( 2.76,  7.34)","6.88 ( 4.91,  9.63)","3.12 ( 1.30,  7.49)",MTX,"0.46 (0.24,   0.88)","0.65 (0.30,   1.43)","0.46 (0.21,   0.97)","0.61 (0.19,   1.96)","0.55 (0.22,   1.40)","0.75 (0.07,   7.75)","0.49 (0.23,   1.04)"
PBO,"14.58 (11.09, 19.17)","7.51 ( 4.04, 13.97)","58.09 ( 3.53, 956.97)","22.82 (16.15, 32.25)","13.49 ( 7.93, 22.94)","3.96 ( 1.98,  7.93)","8.98 ( 7.05, 11.43)","4.00 ( 2.75,  5.82)","21.96 (16.46, 29.30)","16.51 ( 9.82, 27.78)","25.24 (19.03, 33.46)","11.44 ( 4.96, 26.38)","3.67 ( 2.82,  4.78)",PBO,"1.43 (0.91,   2.23)","1.00 (0.67,   1.49)","1.33 (0.50,   3.52)","1.21 (0.62,   2.34)","1.64 (0.17,  15.45)","1.07 (0.73,   1.57)"
RISAN,"0.54 ( 0.39,  0.75)","0.28 ( 0.14,  0.55)","2.15 ( 0.13, 36.03)","0.85 ( 0.58,  1.24)","0.50 ( 0.28,  0.90)","0.15 ( 0.07,  0.31)","0.33 ( 0.24,  0.46)","0.15 ( 0.10,  0.22)","0.81 ( 0.58,  1.14)","0.61 ( 0.34,  1.10)","0.94 ( 0.66,  1.33)","0.42 ( 0.18,  1.03)","0.14 ( 0.09,  0.20)","0.04 ( 0.03,  0.05)",RISAN,"0.70 (0.42,   1.17)","0.93 (0.32,   2.71)","0.85 (0.38,   1.88)","1.15 (0.12,  11.32)","0.75 (0.47,   1.20)"
SECU,"0.57 ( 0.41,  0.79)","0.29 ( 0.15,  0.57)","2.27 ( 0.14, 37.89)","0.89 ( 0.62,  1.29)","0.53 ( 0.30,  0.93)","0.16 ( 0.07,  0.32)","0.35 ( 0.26,  0.47)","0.16 ( 0.11,  0.23)","0.86 ( 0.63,  1.17)","0.65 ( 0.37,  1.14)","0.99 ( 0.71,  1.36)","0.45 ( 0.19,  1.07)","0.14 ( 0.10,  0.20)","0.04 ( 0.03,  0.05)","1.05 ( 0.79,  1.41)",SECU,"1.33 (0.47,   3.79)","1.21 (0.56,   2.61)","1.65 (0.17,  16.01)","1.07 (0.70,   1.64)"
TILDRA,"0.89 ( 0.51,  1.56)","0.46 ( 0.21,  1.00)","3.56 ( 0.21, 61.31)","1.40 ( 0.77,  2.53)","0.83 ( 0.41,  1.65)","0.24 ( 0.10,  0.57)","0.55 ( 0.34,  0.89)","0.24 ( 0.13,  0.45)","1.34 ( 0.77,  2.36)","1.01 ( 0.50,  2.06)","1.55 ( 0.90,  2.66)","0.70 ( 0.26,  1.86)","0.22 ( 0.13,  0.39)","0.06 ( 0.04,  0.10)","1.65 ( 0.94,  2.90)","1.57 ( 0.91,  2.70)",TILDRA,"0.91 (0.28,   2.89)","1.23 (0.11,  14.20)","0.80 (0.28,   2.27)"
TOFA,"1.53 ( 0.96,  2.42)","0.79 ( 0.39,  1.60)","6.08 ( 0.36, 102.79)","2.39 ( 1.45,  3.95)","1.41 ( 0.76,  2.64)","0.41 ( 0.19,  0.91)","0.94 ( 0.64,  1.39)","0.42 ( 0.25,  0.71)","2.30 ( 1.45,  3.65)","1.73 ( 0.91,  3.27)","2.64 ( 1.69,  4.13)","1.20 ( 0.48,  3.00)","0.38 ( 0.24,  0.60)","0.10 ( 0.07,  0.15)","2.82 ( 1.77,  4.49)","2.68 ( 1.72,  4.17)","1.71 ( 0.93,  3.13)",TOFA,"1.36 (0.13,  14.10)","0.89 (0.41,   1.90)"
TYK2,"1.04 ( 0.14,  7.93)","0.54 ( 0.07,  4.40)","4.15 ( 0.13, 130.65)","1.63 ( 0.21, 12.55)","0.96 ( 0.12,  7.72)","0.28 ( 0.03,  2.38)","0.64 ( 0.08,  4.86)","0.29 ( 0.04,  2.21)","1.57 ( 0.21, 11.97)","1.18 ( 0.15,  9.42)","1.80 ( 0.24, 13.74)","0.82 ( 0.09,  7.22)","0.26 ( 0.03,  1.99)","0.07 ( 0.01,  0.53)","1.93 ( 0.25, 14.70)","1.83 ( 0.24, 13.89)","1.17 ( 0.15,  9.28)","0.68 ( 0.09,  5.29)",TYK2,"0.65 (0.07,   6.31)"
USK,"0.87 ( 0.64,  1.19)","0.45 ( 0.23,  0.86)","3.46 ( 0.21, 57.67)","1.36 ( 1.00,  1.86)","0.80 ( 0.46,  1.41)","0.24 ( 0.11,  0.49)","0.54 ( 0.41,  0.71)","0.24 ( 0.16,  0.35)","1.31 ( 0.96,  1.79)","0.98 ( 0.56,  1.73)","1.51 ( 1.12,  2.03)","0.68 ( 0.29,  1.63)","0.22 ( 0.16,  0.31)","0.06 ( 0.05,  0.08)","1.61 ( 1.24,  2.08)","1.52 ( 1.19,  1.95)","0.97 ( 0.57,  1.66)","0.57 ( 0.37,  0.88)","0.83 ( 0.11,  6.32)",USK
