,studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
62,AMAGINE-2_2015,USK,PBO,2.6757335996,2.8825427309,-0.2068091313,0.31705302280000003
63,AMAGINE-3_2015,USK,PBO,3.4008778418,2.8825427309,0.5183351109000001,0.4475957082
64,UltIMMa-1_2018 Ê,USK,PBO,2.1480343331,2.8825427309,-0.7345083978,0.4516697934
65,UltIMMa-2_2018 Ê,USK,PBO,3.1468480497,2.8825427309,0.2643053188,0.7077934049
66,VIP-U trial_2020,USK,PBO,2.8989766051,2.8825427309,0.0164338742,1.419262867
67,BE VIVID_2021,USK,PBO,2.3332452005,2.8825427309,-0.5492975304000001,0.494128037
68,FEATURE_2015,SECU,PBO,4.1552504384,3.1237394448,1.0315109936,1.4108516897
69,ERASURE_2014,SECU,PBO,3.7010499897,3.1237394448,0.5773105449,0.5756969043
70,FIXTURE_2014,SECU,PBO,3.4373553053,3.1237394448,0.3136158605,0.44565523840000004
71,Papp_2013a,SECU,PBO,1.4520457387,3.1237394448,-1.6716937061000001,0.9974150173
72,Rich_2013,SECU,PBO,2.6750691302,3.1237394448,-0.4486703146,0.9979007455000001
73,JUNCTURE_2015,SECU,PBO,4.0640550404,3.1237394448,0.9403155956,1.4117013456
74,Reich_2015,SECU,PBO,2.2886766629,3.1237394448,-0.8350627819,1.3846449338
75,TRANSFIGURE_2016,SECU,PBO,3.7148549405,3.1237394448,0.5911154957,0.9944854697000001
76,CARIMA_2019,SECU,PBO,3.2794430562,3.1237394448,0.1557036114,1.4164764448
77,VIP-S trial_2020,SECU,PBO,4.212366518,3.1237394448,1.0886270732,1.4090784609
78,ALLURE_2021,SECU,PBO,3.8848027255,3.1237394448,0.7610632807000001,0.9945484240000001
79,Cai_2020,SECU,PBO,3.8878357798,3.1237394448,0.7640963350000001,0.7025179305
80,NCT03055494 ObePso-S,SECU,PBO,3.4292408295,3.1237394448,0.3055013847,1.4072888694
81,NCT03535194,SECU,PBO,2.4546928712,3.1237394448,-0.6690465736,0.3671020474
82,Papp_2021,SECU,PBO,4.2152380203,3.1237394448,1.0914985755,1.4111152679
83,NCT03589885 MATURE,SECU,PBO,2.6320642941,3.1237394448,-0.4916751507,0.6930719571
84,Hunter_1963,MTX,PBO,0.9903987040000001,1.7589640907000001,-0.7685653867000001,1.5994504551
85,METOP_2017,MTX,PBO,2.3645588525,1.7589640907000001,0.6055947618,1.4197812486
86,EXPRESS_2005,IFX,PBO,3.7841896339,3.7507405065,0.0334491274,0.9947384990000001
87,Torii_2010,IFX,PBO,3.0644434152,3.7507405065,-0.6862970913,1.404218995
88,EXPRESS-II_2007,IFX,PBO,4.449551124,3.7507405065,0.6988106175000001,0.9987358912000001
89,Gottlieb_2004a,IFX,PBO,3.2685314153,3.7507405065,-0.4822090912,0.9925449982000001
90,Yang_2012,IFX,PBO,3.9556717701,3.7507405065,0.2049312636,1.4095411364000001
91,Papp_2012a,BRODA,PBO,3.7597501046,3.2809349486,0.478815156,1.4067581984
92,AMAGINE-1 2016,BRODA,PBO,4.229133553,3.2809349486,0.9481986044,0.7053192078
93,Nakagawa_2016,BRODA,PBO,3.0690814244,3.2809349486,-0.2118535242,0.9901816263000001
94,AMAGINE-2_2015,BRODA,PBO,2.9169255039,3.2809349486,-0.3640094447,0.3119509777
95,AMAGINE-3_2015,BRODA,PBO,3.6378801477,3.2809349486,0.3569451991,0.44424099720000004
96,Asahina_2010,ADA,PBO,3.7681432849,2.7286731843,1.0394701006,1.4098896276000001
97,Gordon_2006,ADA,PBO,3.6539500383,2.7286731843,0.925276854,1.4137746287000001
98,REVEAL_2008,ADA,PBO,2.9899003953000003,2.7286731843,0.261227211,0.3318166474
99,Gordon_2015_X-PLORE,ADA,PBO,2.9209084818,2.7286731843,0.1922352975,1.0027792585
100,Cai_2016,ADA,PBO,2.7806918973,2.7286731843,0.052018713,0.569385326
101,VOYAGE-1_2016,ADA,PBO,2.8504641822,2.7286731843,0.1217909979,0.4441654624
102,VOYAGE-2_2017,ADA,PBO,2.9618307219,2.7286731843,0.23315753760000002,0.4089288938
103,Elewski_2016,ADA,PBO,1.8950207975,2.7286731843,-0.8336523868,0.38170691300000004
104,Reich_2012a,CERTO,PBO,3.2017813915,2.9820368836,0.2197445079,0.9971379265
105,CIMPASI-1_2018,CERTO,PBO,2.9990055989,2.9820368836,0.0169687153,0.9943925608
106,CIMPASI-2_2018,CERTO,PBO,2.5707664589,2.9820368836,-0.4112704247,0.6960604679
107,CIMPACT_2018,CERTO,PBO,3.6250424412,2.9820368836,0.6430055576,1.4102545042
108,Umezawa_2021,CERTO,PBO,3.5474350627,2.9820368836,0.5653981791,1.4026580225
109,ESTEEM-1_2015,APRE,PBO,3.3177384063,1.9394150102,1.3783233960999999,1.0064076507
110,ESTEEM-2_2015,APRE,PBO,1.7953892373,1.9394150102,-0.14402577290000002,0.7285491927000001
111,Papp_2012c,APRE,PBO,1.9924301647,1.9394150102,0.0530151545,1.0150384378
112,LIBERATE_2017,APRE,PBO,1.3982705522,1.9394150102,-0.541144458,0.6266687418
113,Ohtsuki_2017 Ê,APRE,PBO,2.1853901197,1.9394150102,0.2459751095,1.0187092032
114,Leonardi_2012,IXE,PBO,3.3098476031,3.6283962779000003,-0.3185486748,1.4044107872
115,UNCOVER-2_2015,IXE,PBO,4.6960422956,3.6283962779000003,1.0676460177,0.9974030061
116,UNCOVER-3_2015,IXE,PBO,3.0654656116,3.6283962779000003,-0.5629306663,0.4026584507
117,UNCOVER-1_2016,IXE,PBO,4.9835511922,3.6283962779000003,1.3551549143,0.7058542553
118,NCT03364309,IXE,PBO,3.5502739856,3.6283962779000003,-0.0781222923,0.6995636705
119,Gordon_2015_X-PLORE,GUSEL,PBO,2.9748425171,3.3237738531,-0.34893133600000004,0.9908037456000001
120,VOYAGE-1_2016,GUSEL,PBO,3.2383565695,3.3237738531,-0.0854172836,0.4419985718
121,VOYAGE-2_2017,GUSEL,PBO,3.3644181302,3.3237738531,0.0406442771,0.4043514857
122,ORION_2020Ê,GUSEL,PBO,3.2220707158,3.3237738531,-0.10170313730000001,1.3944341401
123,Ohtsuki_2018,GUSEL,PBO,4.5092333507,3.3237738531,1.1854594976,1.4098807562
124,UltIMMa-1_2018 Ê,RISAN,PBO,2.732229203,3.1141159053,-0.3818867023,0.4373481645
125,UltIMMa-2_2018 Ê,RISAN,PBO,3.6018680771,3.1141159053,0.4877521718,0.7006711157000001
126,SustaIMM_2019,RISAN,PBO,3.7757064483000002,3.1141159053,0.6615905430000001,0.9928110440000001
127,IMMhance_2020,RISAN,PBO,3.6003033065,3.1141159053,0.48618740120000004,0.7006416361000001
128,Blauvelt_2021,RISAN,PBO,2.7937909299,3.1141159053,-0.3203249754,0.6974216346000001
