,Treatment,RR,CI_lower,CI_upper,WEIGHT,tau2,Reference
303,USK,0.624481489,0.5777803634,0.674957397,25.2161754767,0,BIME
304,ADA,3.8625956779,1.7443045466,8.5533488978,2.4654600453,0,NETA
305,APRE,1.7120283124,0.6657034661,4.4029227605,2.074974835,0,NETA
306,BIME,6.741008148,3.0443927712,14.926191942700001,2.4656940575,0,NETA
307,BRODA,5.3677698521,2.4186171552,11.912986362,2.4585540122,0,NETA
308,CERTO,2.9570541778,1.2774777722000001,6.8448701031,2.3352629303,0,NETA
309,CICLO,1.5613583567,0.2470717899,9.8669294406,1.0631185867,0,NETA
310,DEUCRAVA,3.1161261783,0.3828320437,25.3642361396,0.934780224,0,NETA
311,ETA,2.3722748739,1.0695055247,5.2619532552,2.4602934312,0,NETA
312,FUM,0.9699566206,0.32387713970000004,2.9048541265,1.7868748689,0,NETA
313,GUSEL,5.3683938411,2.4270254421,11.874474792600001,2.4689418588,0,NETA
314,IFX,11.1624912587,3.4659377827,35.9502157605,1.675821092,0,NETA
315,IXE,6.7238911219,3.0364777976,14.8891955854,2.4655055693,0,NETA
316,MTX,1.5462790788,0.2626634718,9.1028226074,1.1056373965,0,NETA
317,PBO,0.2227954949,0.1025678508,0.4839511811,2.5266531329,0,NETA
318,RISAN,6.4022726794,2.8877818369,14.1939723208,2.4618032494,0,NETA
319,SECU,5.848620282,2.6458717613,12.9281999618,2.4709873782000003,0,NETA
320,SONELO,5.6608173955000005,2.4825026429,12.9082857884,2.3777718615,0,NETA
321,TILDRA,4.1345747915,1.8129163851,9.4293972116,2.377349159,0,NETA
322,USK,4.2096348055,1.9038177317,9.3081521933,2.4700235649,0,NETA
323,ADA,0.6823388582000001,0.5369138281,0.8671527776,8.1772704935,0,SONELO
324,APRE,0.30243482390000004,0.1686078171,0.5424826935,3.3544963993,0,SONELO
325,BIME,1.1908188654,0.9427405562000001,1.5041779637000001,8.3902187009,0,SONELO
326,BRODA,0.9482322917,0.7400376121000001,1.214998352,7.9064619198,0,SONELO
327,CERTO,0.5223722956,0.3604065862,0.7571249406,5.2809158499,0,SONELO
328,CICLO,0.27581853430000003,0.0506114779,1.5031346045,1.1559570153,0,SONELO
