,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,unique_id,studlab.orig,rob,year,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,effect_size1,outcome1_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,rsae1,rsae2,n.orig1,n.orig2,r11,r12,n12
86,CIMPASI-1_2018,PBO,CERTO,-2.9990055989,0.9943925608,1.0,51,72.0,183,0.0,0,103,CIMPASI-1_2018,1,2018,0,234,46.0,162.0,17.0,31,93.0,20.0,,,,74.0,RR,beneficial,PBO,CERTO,PBO,ATA,1.0,7.0,51,183,1.0,72.0,183
87,CIMPASI-2_2018,CERTO,PBO,2.5707664589,0.6960604679,95.0,178,2.0,49,0.0,0,104,CIMPASI-2_2018,1,2018,0,227,45.0,127.0,17.0,31,93.0,18.0,,,,76.0,RR,beneficial,CERTO,PBO,ATA,PBO,6.0,0.0,178,49,95.0,2.0,49
88,VIP trial_2018 Ê,PBO,ADA,,,,31,,33,0.0,0,108,VIP trial_2018 Ê,2,2018,0,96,43.0,67.0,13.0,32,,17.0,,29.0,31.0,29.0,RR,beneficial,PBO,ADA,PBO,ATA,0.0,2.0,31,33,,,33
89,ORION_2020Ê,PBO,GUSEL,-3.2220707158,1.3944341401,0.0,16,47.0,62,0.5,0,114,ORION_2020Ê,1,2019,0,78,46.0,53.0,19.0,31,,18.0,,,,,RR,beneficial,PBO,GUSEL,PBO,AIL23,0.0,2.0,16,62,0.0,47.0,62
90,SustaIMM_2019,PBO,RISAN,-3.7757064483000002,0.9928110440000001,1.0,58,85.0,113,0.0,0,116,SustaIMM_2019,1,2019,0,171,52.0,143.0,,26.5,74.0,26.0,,,,38.0,RR,beneficial,PBO,RISAN,PBO,AIL23,1.0,4.0,58,113,1.0,85.0,113
91,Ohtsuki_2017 Ê,APRE,PBO,2.1853901197,1.0187092032,18.0,170,1.0,84,0.0,0,117,Ohtsuki_2017 Ê,1,2017,0,254,50.5,202.0,13.0,25,70.0,21.0,,,,,RR,beneficial,APRE,PBO,SM,PBO,4.0,0.0,170,84,18.0,1.0,84
92,Ohtsuki_2018,PBO,GUSEL,-4.5092333507,1.4098807562,0.0,64,90.0,128,0.5,0,118,Ohtsuki_2018,2,2018,0,192,49.0,145.0,14.0,25,71.0,26.0,191.0,96.0,115.0,35.0,RR,beneficial,PBO,GUSEL,PBO,AIL23,2.0,2.0,64,128,0.0,90.0,128
93,BE ABLE 1_2018,PBO,BIME,-4.062054215,1.4066598626,0.0,42,142.0,208,0.5,0,120,BE ABLE 1_2018,1,2018,0,250,44.0,163.0,15.0,,88.0,19.0,,122.0,90.0,58.0,RR,beneficial,PBO,BIME,PBO,AIL17,1.0,1.0,42,208,0.0,142.0,208
94,Papp_2017b,RISAN,USK,0.43671765160000003,0.2058737596,78.0,126,16.0,40,0.0,0,121,Papp_2017b,3,2017,0,166,46.0,109.0,,,90.0,20.0,,,,,RR,beneficial,RISAN,USK,AIL23,AIL1223,11.0,3.0,126,40,78.0,16.0,40
95,Papp_2018,DEUCRAVA,PBO,2.6380916125000002,0.9938641894,69.0,222,1.0,45,0.0,0,122,Papp_2018,1,2018,0,267,45.0,194.0,15.0,29,88.0,18.0,,,,115.0,RR,beneficial,DEUCRAVA,PBO,SM,PBO,3.0,1.0,222,45,69.0,1.0,45
96,TRANSFIGURE_2016,PBO,SECU,-3.7148549405,0.9944854697000001,1.0,65,84.0,133,0.0,0,123,TRANSFIGURE_2016,1,2018,0,198,44.0,160.0,18.5,,90.5,20.0,,,,46.0,RR,beneficial,PBO,SECU,PBO,AIL17,2.0,4.0,65,133,1.0,84.0,133
97,IXORA-S_2017 Ê,IXE,USK,0.3417532427,0.0753432253,113.0,136,98.0,166,0.0,0,124,IXORA-S_2017 Ê,1,2017,0,302,43.0,202.0,18.0,29,87.5,20.0,,202.0,184.0,43.0,RR,beneficial,IXE,USK,AIL17,AIL1223,3.0,5.0,136,166,113.0,98.0,166
98,ReSURFACE-1_2017,PBO,TILDRA,-2.6075401396,0.49654533650000005,4.0,155,216.0,617,0.0,0,125,ReSURFACE-1_2017,1,2017,0,772,47.0,533.0,,,88.5,20.0,,,,177.0,RR,beneficial,PBO,TILDRA,PBO,AIL23,1.0,13.0,155,617,4.0,216.0,617
99,ReSURFACE-2_2017,PBO,ETA,-2.8151982555,0.7108587965000001,2.0,156,67.0,313,0.0,0,126,ReSURFACE-2_2017,1,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0,RR,beneficial,PBO,ETA,PBO,ATA,4.0,7.0,156,313,2.0,67.0,313
100,ReSURFACE-2_2017,PBO,TILDRA,-3.3806988601,0.7044522283,2.0,156,234.0,621,0.0,0,126,ReSURFACE-2_2017,1,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0,RR,beneficial,PBO,TILDRA,PBO,AIL23,4.0,10.0,156,621,2.0,234.0,621
101,ReSURFACE-2_2017,ETA,TILDRA,-0.5655006046000001,0.1199736774,67.0,313,234.0,621,0.0,0,126,ReSURFACE-2_2017,1,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0,RR,beneficial,ETA,TILDRA,ATA,AIL23,7.0,10.0,313,621,67.0,234.0,621
102,CIMPACT_2018,PBO,CERTO,-3.6250424412,1.4102545042,0.0,57,108.0,332,0.5,0,128,CIMPACT_2018,2,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0,RR,beneficial,PBO,CERTO,PBO,ATA,5.0,5.0,57,332,0.0,108.0,332
103,CIMPACT_2018,PBO,ETA,-3.4456491442,1.413594344,0.0,57,46.0,170,0.5,0,128,CIMPACT_2018,2,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0,RR,beneficial,PBO,ETA,PBO,ATA,5.0,1.0,57,170,0.0,46.0,170
104,CIMPACT_2018,CERTO,ETA,0.179393297,0.1478152386,108.0,332,46.0,170,0.5,0,128,CIMPACT_2018,2,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0,RR,beneficial,CERTO,ETA,ATA,ATA,5.0,1.0,332,170,108.0,46.0,170
105,IMMvent_2019,RISAN,ADA,0.4245991999,0.0701417678,218.0,301,144.0,304,0.0,0,130,IMMvent_2019,1,2019,0,605,46.0,422.0,,30.5,90.0,20.0,,,,229.0,RR,beneficial,RISAN,ADA,AIL23,ATA,10.0,9.0,301,304,218.0,144.0,304
106,IMMhance_2020,RISAN,PBO,3.6003033065,0.7006416361000001,298.0,407,2.0,100,0.0,0,131,IMMhance_2020,1,2020,0,507,49.0,356.0,,30.5,90.5,18.0,,,233.0,281.0,RR,beneficial,RISAN,PBO,AIL23,PBO,8.0,8.0,407,100,298.0,2.0,100
107,CARIMA_2019,SECU,PBO,3.2794430562,1.4164764448,27.0,102,0.0,49,0.5,0,135,CARIMA_2019,3,2020,0,151,45.200001,102.0,20.0,29,89.0,19.5,,,129.0,52.0,RR,beneficial,SECU,PBO,AIL17,PBO,1.0,2.0,102,49,27.0,0.0,49
108,VIP-U trial_2020,PBO,USK,-2.8989766051,1.419262867,0.0,21,9.0,22,0.5,0,136,VIP-U trial_2020,2,2020,0,43,42.5,30.0,18.0,33.5,100.5,20.0,,19.0,8.0,19.0,RR,beneficial,PBO,USK,PBO,AIL1223,,,21,22,0.0,9.0,22
109,VIP-S trial_2020,SECU,PBO,4.212366518,1.4090784609,34.0,46,0.0,45,0.5,0,138,VIP-S trial_2020,1,2020,0,91,47.5,61.0,16.0,32,94.5,22.0,76.0,27.0,27.0,36.0,RR,beneficial,SECU,PBO,AIL17,PBO,2.0,0.0,46,45,34.0,0.0,45
110,ALLURE_2021,PBO,SECU,-3.8848027255,0.9945484240000001,1.0,71,98.0,143,0.0,0,139,ALLURE_2021,1,2021,0,214,43.5,133.0,17.0,30.5,91.0,20.5,,,,,RR,beneficial,PBO,SECU,PBO,AIL17,2.0,1.0,71,143,1.0,98.0,143
111,Umezawa_2021,CERTO,PBO,3.5474350627,1.4026580225,66.0,101,0.0,26,0.5,0,140,Umezawa_2021,1,2021,0,127,50.0,99.0,13.0,26.5,73.0,25.0,,,96.0,41.0,RR,beneficial,CERTO,PBO,ATA,PBO,2.0,1.0,101,26,66.0,0.0,26
112,Cai_2020,PBO,SECU,-3.8878357798,0.7025179305,2.0,135,295.0,408,0.0,0,141,Cai_2020,1,2020,0,441,39.5,350.0,15.5,,73.0,27.0,,,,80.0,RR,beneficial,PBO,SECU,PBO,AIL17,2.0,14.0,135,408,2.0,295.0,408
113,ECLIPSE_2019,SECU,GUSEL,0.0960834894,0.0380708207,391.0,514,369.0,534,0.0,0,142,ECLIPSE_2019,1,2019,0,1048,46.0,707.0,18.5,30,,20.0,989.0,542.0,563.0,305.0,RR,beneficial,SECU,GUSEL,AIL17,AIL23,37.0,33.0,514,534,391.0,369.0,534
114,STYLE_2020,PBO,APRE,,,,102,,201,0.0,0,145,STYLE_2020,1,2020,0,303,47.0,187.0,15.0,31,,18.0,,66.0,89.0,86.0,RR,beneficial,PBO,APRE,PBO,SM,1.0,2.0,102,201,,,201
115,IXORA-R_2020,IXE,GUSEL,0.2570872074,0.0475269509,378.0,520,285.0,507,0.0,0,146,IXORA-R_2020,1,2020,0,1027,49.0,652.0,17.0,33,95.0,19.0,725.0,140.0,310.0,270.0,RR,beneficial,IXE,GUSEL,AIL17,AIL23,18.0,16.0,520,507,378.0,285.0,507
116,NCT03055494 ObePso-S,SECU,PBO,3.4292408295,1.4072888694,29.0,54,0.0,28,0.5,0,147,NCT03055494 ObePso-S,1,2020,0,102,44.5,52.0,,,,,,,,,RR,beneficial,SECU,PBO,AIL17,PBO,1.0,1.0,54,28,29.0,0.0,28
117,IMMerge_2021,SECU,RISAN,-0.11684548410000001,0.0733329865,107.0,163,121.0,164,0.0,0,148,IMMerge_2021,2,2020,0,327,47.0,213.0,18.0,,,20.0,,,,120.0,RR,beneficial,SECU,RISAN,AIL17,AIL23,6.0,9.0,163,164,107.0,121.0,164
118,BE READY_2021,BIME,PBO,4.3581771479,0.9943145064000001,317.0,349,1.0,86,0.0,0,150,BE READY_2021,1,2021,0,435,44.0,313.0,19.5,30,89.5,20.5,,,347.0,192.0,RR,beneficial,BIME,PBO,AIL17,PBO,6.0,2.0,349,86,317.0,1.0,86
119,BE VIVID_2021,BIME,PBO,2.8705769187,0.48836415320000004,273.0,321,4.0,83,0.0,0,151,BE VIVID_2021,1,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0,RR,beneficial,BIME,PBO,AIL17,PBO,5.0,2.0,321,83,273.0,4.0,83
120,BE VIVID_2021,BIME,USK,0.5373317182,0.0822097838,273.0,321,81.0,163,0.0,0,151,BE VIVID_2021,1,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0,RR,beneficial,BIME,USK,AIL17,AIL1223,5.0,5.0,321,163,273.0,81.0,163
121,BE VIVID_2021,USK,PBO,2.3332452005,0.494128037,81.0,163,4.0,83,0.0,0,151,BE VIVID_2021,1,2021,0,567,46.0,406.0,17.0,29.5,88.5,21.5,,,463.0,221.0,RR,beneficial,USK,PBO,AIL1223,PBO,5.0,2.0,163,83,81.0,4.0,83
122,BE RADIANT_2021,SECU,BIME,-0.1403445911,0.037249054000000004,275.0,370,319.0,373,0.0,0,152,BE RADIANT_2021,1,2021,0,743,45.0,486.0,18.0,,89.5,20.0,,,539.0,244.0,RR,beneficial,SECU,BIME,AIL17,AIL17,,,370,373,275.0,319.0,373
123,BE SURE_2021,ADA,BIME,-0.5064656474,0.0802123507,82.0,159,273.0,319,0.0,0,153,BE SURE_2021,1,2021,0,478,45.0,328.0,18.0,30.5,91.0,20.0,412.0,173.0,338.0,153.0,RR,beneficial,ADA,BIME,ATA,AIL17,5.0,5.0,159,319,82.0,273.0,319
124,NCT03421197,FUM,PBO,,,,319,,107,0.0,0,156,NCT03421197,1,2021,0,426,50.0,257.0,,,,18.0,,,,,RR,beneficial,FUM,PBO,CSA,PBO,6.0,2.0,319,107,,,107
125,NCT03535194,SECU,PBO,2.4546928712,0.3671020474,326.0,448,7.0,112,0.0,0,158,NCT03535194,1,2021,0,560,,393.0,,,,,,,,,RR,beneficial,SECU,PBO,AIL17,PBO,11.0,0.0,448,112,326.0,7.0,112
126,NCT02762994,PBO,NETA,-1.2953225829,0.4124109792,5.0,28,60.0,92,0.0,0,162,NCT02762994,1,2021,0,120,40.5,79.0,,26,82.0,,,,,,RR,beneficial,PBO,NETA,PBO,AIL17,,,28,92,5.0,60.0,92
127,NCT03364309,IXE,PBO,3.5502739856,0.6995636705,277.0,350,2.0,88,0.0,0,163,NCT03364309,1,2021,0,438,40.5,335.0,,,,,,,,,RR,beneficial,IXE,PBO,AIL17,PBO,3.0,3.0,350,88,277.0,2.0,88
128,Blauvelt_2021,PBO,RISAN,-2.7937909299,0.6974216346000001,2.0,52,66.0,105,0.0,0,164,Blauvelt_2021,3,2021,0,157,49.0,87.0,18.0,32.5,94.300003,21.5,,,,70.0,RR,beneficial,PBO,RISAN,PBO,AIL23,0.0,1.0,52,105,2.0,66.0,105
129,PLANETA_2021,NETA,PBO,3.9043832774,1.4079099387,94.0,169,0.0,44,0.5,0,165,PLANETA_2021,2,2021,0,213,41.0,156.0,9.0,28,87.0,19.0,,127.0,72.0,12.0,RR,beneficial,NETA,PBO,AIL17,PBO,1.0,0.0,169,44,94.0,0.0,44
130,Papp_2021,SONELO,PBO,4.1777021901,1.4085021213,129.0,208,0.0,52,0.5,0,166,Papp_2021,1,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0,RR,beneficial,SONELO,PBO,AIL17,PBO,5.0,1.0,208,52,129.0,0.0,52
131,Papp_2021,SONELO,SECU,-0.0375358302,0.1149772287,129.0,208,34.0,53,0.5,0,166,Papp_2021,1,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0,RR,beneficial,SONELO,SECU,AIL17,AIL17,5.0,0.0,208,53,129.0,34.0,53
132,Papp_2021,SECU,PBO,4.2152380203,1.4111152679,34.0,53,0.0,52,0.5,0,166,Papp_2021,1,2021,0,313,46.0,228.0,18.5,,91.0,21.0,,,,50.0,RR,beneficial,SECU,PBO,AIL17,PBO,0.0,1.0,53,52,34.0,0.0,52
133,NCT03589885 MATURE,PBO,SECU,-2.6320642941,0.6930719571,2.0,40,57.0,82,0.0,0,167,NCT03589885 MATURE,1,2021,0,122,,85.0,,,,,,,,,RR,beneficial,PBO,SECU,PBO,AIL17,0.0,4.0,40,82,2.0,57.0,82
