,comparison,k,direct,nma,indirect,p-value
101,DEUCRAVA:FUM,0,,3.2126448875,3.2126448875,
102,DEUCRAVA:GUSEL,0,,0.5804578186,0.5804578186,
103,DEUCRAVA:IFX,0,,0.2791604585,0.2791604585,
104,DEUCRAVA:IXE,0,,0.4634409038,0.4634409038,
105,DEUCRAVA:MTX,0,,2.0152417639,2.0152417639,
106,DEUCRAVA:NETA,0,,3.1161261783,3.1161261783,
107,DEUCRAVA:PBO,1,13.9864864866,13.9864864866,,
108,DEUCRAVA:RISAN,0,,0.4867218774,0.4867218774,
109,DEUCRAVA:SECU,0,,0.5327968013000001,0.5327968013000001,
110,DEUCRAVA:SONELO,0,,0.5504728311,0.5504728311,
111,DEUCRAVA:TILDRA,0,,0.7536751263,0.7536751263,
112,DEUCRAVA:USK,0,,0.7402367004,0.7402367004,
113,ETA:FUM,0,,2.4457535765,2.4457535765,
114,ETA:GUSEL,0,,0.4418965791,0.4418965791,
115,ETA:IFX,1,0.1086956522,0.21252199160000002,0.2516533127,0.4567971054
116,ETA:IXE,2,0.3433042459,0.352812803,0.36765996570000004,0.5415941750000001
117,ETA:MTX,0,,1.5341828693,1.5341828693,
118,ETA:NETA,0,,2.3722748739,2.3722748739,
119,ETA:PBO,14,11.6683844285,10.6477685971,10.3230877097,0.5650801487
120,ETA:RISAN,0,,0.3705363693,0.3705363693,
121,ETA:SECU,1,0.43080462480000004,0.4056127359,0.3977031119,0.5507652789
122,ETA:SONELO,0,,0.419069316,0.419069316,
123,ETA:TILDRA,1,0.5680756943,0.5737651375,0.6436110093,0.7687619344000001
124,ETA:USK,1,0.5549109872,0.5635346018,0.5668954779,0.8691879
125,FUM:GUSEL,0,,0.1806791099,0.1806791099,
126,FUM:IFX,0,,0.08689427820000001,0.08689427820000001,
127,FUM:IXE,0,,0.1442552538,0.1442552538,
128,FUM:MTX,1,0.5,0.6272843201,0.7698315247,0.7938504655
129,FUM:NETA,0,,0.9699566206,0.9699566206,
130,FUM:PBO,1,4.4699646642,4.3535737612,2.903209677,0.7938504655
131,FUM:RISAN,0,,0.1515019227,0.1515019227,
132,FUM:SECU,0,,0.1658436646,0.1658436646,
133,FUM:SONELO,0,,0.1713456826,0.1713456826,
134,FUM:TILDRA,0,,0.2345964626,0.2345964626,
135,FUM:USK,0,,0.2304134837,0.2304134837,
136,GUSEL:IFX,0,,0.48093151580000004,0.48093151580000004,
137,GUSEL:IXE,1,0.7733007733,0.7984058254,0.8592795239000001,0.2220360328
138,GUSEL:MTX,0,,3.4718143152,3.4718143152,
139,GUSEL:NETA,0,,5.3683938411,5.3683938411,
140,GUSEL:PBO,5,27.7649338757,24.0956121853,23.7260621779,0.5865882684
141,GUSEL:RISAN,0,,0.8385137763,0.8385137763,
142,GUSEL:SECU,1,0.9083881721,0.9178906447,0.9392259025,0.6244258989
143,GUSEL:SONELO,0,,0.9483425212000001,0.9483425212000001,
144,GUSEL:TILDRA,0,,1.298414979,1.298414979,
145,GUSEL:USK,0,,1.2752635535,1.2752635535,
146,IFX:IXE,0,,1.6601237373000002,1.6601237373000002,
147,IFX:MTX,0,,7.2189370027,7.2189370027,
148,IFX:NETA,0,,11.1624912587,11.1624912587,
149,IFX:PBO,5,42.5525807976,50.1019612854,98.5181808682,0.4567971054
150,IFX:RISAN,0,,1.7435201244,1.7435201244,
151,IFX:SECU,0,,1.9085682982,1.9085682982,
152,IFX:SONELO,0,,1.9718868281000002,1.9718868281000002,
153,IFX:TILDRA,0,,2.6997918339,2.6997918339,
154,IFX:USK,0,,2.6516531183,2.6516531183,
155,IXE:MTX,0,,4.3484330959,4.3484330959,
156,IXE:NETA,0,,6.7238911219,6.7238911219,
157,IXE:PBO,5,37.6523842126,30.1796547806,29.5085288172,0.4264505656
158,IXE:RISAN,0,,1.0502350429,1.0502350429,
159,IXE:SECU,0,,1.1496542428,1.1496542428,
160,IXE:SONELO,0,,1.1877950925,1.1877950925,
161,IXE:TILDRA,0,,1.6262594005,1.6262594005,
162,IXE:USK,1,1.4074129652,1.5972623357,1.7135904815,0.036198401000000005
163,MTX:NETA,0,,1.5462790788,1.5462790788,
164,MTX:PBO,2,5.8064193541,6.9403516427,8.9399293289,0.7938504655
165,MTX:RISAN,0,,0.2415203407,0.2415203407,
166,MTX:SECU,0,,0.2643835647,0.2643835647,
167,MTX:SONELO,0,,0.27315473560000003,0.27315473560000003,
168,MTX:TILDRA,0,,0.373987449,0.373987449,
169,MTX:USK,0,,0.367319055,0.367319055,
170,NETA:PBO,2,4.4884210992,4.4884210992,,
171,NETA:RISAN,0,,0.1561945344,0.1561945344,
172,NETA:SECU,0,,0.1709804966,0.1709804966,
173,NETA:SONELO,0,,0.17665293370000001,0.17665293370000001,
174,NETA:TILDRA,0,,0.2418628397,0.2418628397,
175,NETA:USK,0,,0.2375502974,0.2375502974,
176,PBO:RISAN,5,0.0444177593,0.0347994386,0.0338331799,0.36463475030000003
177,PBO:SECU,16,0.043992353500000005,0.0380936843,0.0367982896,0.4034955787
178,PBO:SONELO,1,0.015333701000000002,0.0393574778,0.039741550300000004,0.5011486893
179,PBO:TILDRA,3,0.0579774402,0.0538859511,0.053227624700000004,0.8332395574
180,PBO:USK,11,0.0559922086,0.0529251361,0.0518208794,0.6859538310000001
181,RISAN:SECU,1,1.1239457488,1.0946637618,1.0761958585,0.6443436142
182,RISAN:SONELO,0,,1.1309802511,1.1309802511,
183,RISAN:TILDRA,0,,1.5484718507,1.5484718507,
184,RISAN:USK,3,1.6536334732,1.520861779,1.440827809,0.1591334005
185,SECU:SONELO,1,1.0382491971,1.0331759309,0.3061470389,0.5011486893
186,SECU:TILDRA,0,,1.4145639097,1.4145639097,
187,SECU:USK,2,1.3979261997,1.3893414874,1.3715336385999999,0.7583502013000001
188,SONELO:TILDRA,0,,1.3691413702,1.3691413702,
189,SONELO:USK,0,,1.3447288558000001,1.3447288558000001,
190,TILDRA:USK,0,,0.9821694714,0.9821694714,
