,unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
44,28,Gottlieb_2003a,PBO,PBO,2.0,55,H,,55,2003,0,112,47.5,70.0,21.5,,91.5,19.0,,97.0,82.0,
45,29,Leonardi_2003,ETA,ATA,,504,L,60.0,504,2003,0,672,45.0,439.0,19.0,,,18.0,,,,
46,29,Leonardi_2003,PBO,PBO,,168,L,1.0,168,2003,0,672,45.0,439.0,19.0,,,18.0,,,,
47,30,Papp_2005,PBO,PBO,,204,M,1.0,204,2005,0,611,45.0,382.0,19.0,,,16.5,,,,
48,30,Papp_2005,ETA,ATA,,407,M,59.0,407,2005,0,611,45.0,382.0,19.0,,,16.5,,,,
49,31,Tyring_2006,PBO,PBO,3.0,309,L,4.0,309,2006,0,620,46.0,419.0,20.0,,,18.0,,,,
50,31,Tyring_2006,ETA,ATA,6.0,311,L,65.0,311,2006,0,620,46.0,419.0,20.0,,,18.0,,,,
51,32,Vandekerkhof_2008,PBO,PBO,3.0,46,L,1.0,46,2008,0,143,45.0,84.0,18.0,,,21.0,,,,
52,32,Vandekerkhof_2008,ETA,ATA,2.0,96,L,13.0,96,2008,0,143,45.0,84.0,18.0,,,21.0,,,,
53,35,Fallaharani_2011,MTX,CSA,,30,H,2.0,30,2011,0,60,42.0,36.0,16.5,;,85.0,16.5,50.0,29.0,33.0,4.0
54,35,Fallaharani_2011,FUM,CSA,,30,H,1.0,30,2011,0,60,42.0,36.0,16.5,;,85.0,16.5,50.0,29.0,33.0,4.0
55,38,Leonardi_2012,PBO,PBO,1.0,27,L,0.0,27,2012,0,142,46.0,81.0,16.0,,93.0,18.0,,,,
56,38,Leonardi_2012,IXE,AIL17,2.0,115,L,57.0,115,2012,0,142,46.0,81.0,16.0,,93.0,18.0,,,,
57,40,EXPRESS-II_2007,PBO,PBO,5.0,208,L,1.0,208,2007,0,835,44.0,551.0,18.0,,92.0,20.0,768.0,,,117.0
58,40,EXPRESS-II_2007,IFX,ATA,12.0,627,L,258.0,627,2007,0,835,44.0,551.0,18.0,,92.0,20.0,768.0,,,117.0
59,42,Gottlieb_2004a,IFX,ATA,12.0,198,L,102.0,198,2004,0,249,44.0,174.0,17.0,,,19.0,226.0,171.0,216.0,81.0
60,42,Gottlieb_2004a,PBO,PBO,0.0,51,L,1.0,51,2004,0,249,44.0,174.0,17.0,,,19.0,226.0,171.0,216.0,81.0
61,50,Hunter_1963,PBO,PBO,,17,H,0.0,17,1963,0,41,,,,,,,,,,
62,50,Hunter_1963,MTX,CSA,,19,H,1.0,19,1963,0,41,,,,,,,,,,
63,52,Reich_2012a,CERTO,ATA,7.0,118,L,50.0,118,2012,0,176,43.0,123.0,20.0,27,82.0,21.0,,,,41.0
64,52,Reich_2012a,PBO,PBO,1.0,58,L,1.0,58,2012,0,176,43.0,123.0,20.0,27,82.0,21.0,,,,41.0
65,55,Yang_2012,IFX,ATA,1.0,84,H,48.0,84,2012,0,129,40.0,95.0,16.0,,68.0,,,,,
66,55,Yang_2012,PBO,PBO,0.0,45,H,0.0,45,2012,0,129,40.0,95.0,16.0,,68.0,,,,,
67,58,Meffert_1997,PBO,PBO,0.0,43,H,,43,1997,0,127,,,,,,16.0,,,,
68,58,Meffert_1997,CICLO,CSA,5.0,84,H,,84,1997,0,127,,,,,,16.0,,,,
69,59,LOTUS_2013,PBO,PBO,1.0,162,M,,162,2013,0,322,40.0,248.0,14.0,,70.0,23.0,309.0,120.0,132.0,30.0
70,59,LOTUS_2013,USK,AIL1223,1.0,160,M,,160,2013,0,322,40.0,248.0,14.0,,70.0,23.0,309.0,120.0,132.0,30.0
71,66,ESTEEM-2_2015,APRE,SM,5.0,275,L,24.0,275,2015,0,413,45.5,276.0,18.5,31,91.0,19.5,,,159.0,136.0
72,66,ESTEEM-2_2015,PBO,PBO,3.0,138,L,2.0,138,2015,0,413,45.5,276.0,18.5,31,91.0,19.5,,,159.0,136.0
73,67,Bachelez_2015,PBO,PBO,2.0,108,L,1.0,108,2015,0,444,44.0,304.0,17.5,,81.0,19.5,,318.0,,49.0
74,67,Bachelez_2015,ETA,ATA,7.0,336,L,108.0,336,2015,0,444,44.0,304.0,17.5,,81.0,19.5,,318.0,,49.0
75,68,Gordon_2015_X-PLORE,PBO,PBO,1.0,42,H,1.0,42,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0
76,68,Gordon_2015_X-PLORE,ADA,ATA,1.0,43,H,19.0,43,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0
77,68,Gordon_2015_X-PLORE,GUSEL,AIL23,3.0,208,H,97.0,208,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0
78,69,UNCOVER-2_2015,ETA,ATA,8.0,358,L,67.0,358,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0
79,69,UNCOVER-2_2015,IXE,AIL17,13.0,698,L,455.0,698,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0
80,69,UNCOVER-2_2015,PBO,PBO,2.0,168,L,1.0,168,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0
81,70,UNCOVER-3_2015,ETA,ATA,5.0,382,L,98.0,382,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0
82,70,UNCOVER-3_2015,PBO,PBO,5.0,193,L,6.0,193,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0
83,70,UNCOVER-3_2015,IXE,AIL17,15.0,771,L,514.0,771,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0
84,72,CLEAR_2015,USK,AIL1223,10.0,339,L,193.0,339,2015,0,676,45.0,481.0,18.0,29,87.0,22.0,,,441.0,92.0
85,72,CLEAR_2015,SECU,AIL17,10.0,337,L,264.0,337,2015,0,676,45.0,481.0,18.0,29,87.0,22.0,,,441.0,92.0
86,73,JUNCTURE_2015,SECU,AIL17,4.0,121,L,57.0,121,2015,0,182,45.0,125.0,21.0,,91.0,20.0,,,90.0,43.0
87,73,JUNCTURE_2015,PBO,PBO,1.0,61,L,0.0,61,2015,0,182,45.0,125.0,21.0,,91.0,20.0,,,90.0,43.0
88,74,AMAGINE-1 2016,PBO,PBO,3.0,220,L,2.0,220,2016,0,661,46.0,484.0,20.0,,91.0,20.0,,,,305.0
89,74,AMAGINE-1 2016,BRODA,AIL17,6.0,298,L,186.0,298,2016,0,661,46.0,484.0,20.0,,91.0,20.0,,,,305.0
90,75,Nakagawa_2016,PBO,PBO,1.0,38,H,1.0,38,2015,0,151,45.0,120.0,15.0,,74.0,26.0,,,,16.0
91,75,Nakagawa_2016,BRODA,AIL17,3.0,113,H,64.0,113,2015,0,151,45.0,120.0,15.0,,74.0,26.0,,,,16.0
92,76,AMAGINE-2_2015,PBO,PBO,8.0,309,M,10.0,309,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0
93,76,AMAGINE-2_2015,USK,AIL1223,4.0,300,M,141.0,300,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0
94,76,AMAGINE-2_2015,BRODA,AIL17,19.0,1222,M,731.0,1222,2015,0,1831,45.0,1258.0,19.0,31,91.0,20.0,,,,530.0
95,77,AMAGINE-3_2015,USK,AIL1223,2.0,313,M,149.0,313,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0
96,77,AMAGINE-3_2015,PBO,PBO,3.0,315,M,5.0,315,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0
97,77,AMAGINE-3_2015,BRODA,AIL17,19.0,1253,M,756.0,1253,2015,0,1881,45.0,1288.0,18.0,30,89.0,20.0,,,,468.0
98,78,Papp_2015,PBO,PBO,0.0,46,M,1.0,46,2015,0,355,45.0,270.0,,29,,,,,,95.0
99,78,Papp_2015,TILDRA,AIL23,4.0,309,M,105.0,309,2015,0,355,45.0,270.0,,29,,,,,,95.0
100,79,PIECE_2016,ETA,ATA,1.0,23,H,1.0,23,2016,0,48,44.0,31.0,20.0,,,17.0,,,,
101,79,PIECE_2016,IFX,ATA,1.0,25,H,10.0,25,2016,0,48,44.0,31.0,20.0,,,17.0,,,,
102,80,Cai_2016,PBO,PBO,3.0,87,L,3.0,87,2016,0,425,43.0,312.0,15.0,24,70.0,28.0,,,,
103,80,Cai_2016,ADA,ATA,4.0,338,L,188.0,338,2016,0,425,43.0,312.0,15.0,24,70.0,28.0,,,,
104,81,Reich_2015,PBO,PBO,0.0,10,L,0.0,10,2015,0,100,,,,,,,,,,
105,81,Reich_2015,SECU,AIL17,7.0,90,L,42.0,90,2015,0,100,,,,,,,,,,
106,84,Gottlieb_2011,PBO,PBO,1.0,68,L,1.0,68,2011,0,209,43.5,145.0,18.0,,95.0,19.0,192.0,53.0,56.0,30.0
107,84,Gottlieb_2011,ETA,ATA,1.0,141,L,33.0,141,2011,0,209,43.5,145.0,18.0,,95.0,19.0,192.0,53.0,56.0,30.0
108,85,Strober_2011,PBO,PBO,2.0,72,L,3.0,72,2011,0,211,45.0,131.0,15.0,,95.0,18.0,202.0,39.0,64.0,14.0
109,85,Strober_2011,ETA,ATA,1.0,139,L,27.0,139,2011,0,211,45.0,131.0,15.0,,95.0,18.0,202.0,39.0,64.0,14.0
110,86,UNCOVER-1_2016,IXE,AIL17,18.0,865,L,586.0,865,2016,0,1296,46.0,883.0,20.0,,92.0,20.0,,1261.0,684.0,522.0
111,86,UNCOVER-1_2016,PBO,PBO,5.0,431,L,2.0,431,2016,0,1296,46.0,883.0,20.0,,92.0,20.0,,1261.0,684.0,522.0
112,87,METOP_2017,PBO,PBO,4.0,29,L,0.0,29,2016,0,120,45.0,100.0,18.0,30,93.0,15.0,,8.0,36.0,6.0
113,87,METOP_2017,MTX,CSA,1.0,91,L,16.0,91,2016,0,120,45.0,100.0,18.0,30,93.0,15.0,,8.0,36.0,6.0
114,88,BRIDGE_2017,PBO,PBO,5.0,138,H,6.0,138,2016,0,704,44.5,452.0,,,,16.0,,,,
115,88,BRIDGE_2017,FUM,CSA,17.0,566,H,110.0,566,2016,0,704,44.5,452.0,,,,16.0,,,,
116,91,Papp_2012c,APRE,SM,7.0,264,L,22.0,264,2012,0,352,44.0,221.0,19.0,31,92.0,18.5,,,176.0,
117,91,Papp_2012c,PBO,PBO,2.0,88,L,1.0,88,2012,0,352,44.0,221.0,19.0,31,92.0,18.5,,,176.0,
118,92,Papp_2013b,APRE,SM,2.0,173,H,,173,2013,0,260,46.0,163.0,19.0,,,19.5,,,,
119,92,Papp_2013b,PBO,PBO,4.0,87,H,,87,2013,0,260,46.0,163.0,19.0,,,19.5,,,,
120,93,LIBERATE_2017,ETA,ATA,2.0,83,M,17.0,83,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,
121,93,LIBERATE_2017,PBO,PBO,0.0,84,M,3.0,84,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,
122,93,LIBERATE_2017,APRE,SM,3.0,83,M,12.0,83,2016,0,250,45.0,157.0,18.0,29.5,88.5,19.5,,,194.0,
123,94,VOYAGE-1_2016,GUSEL,AIL23,8.0,329,L,241.0,329,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0
124,94,VOYAGE-1_2016,ADA,ATA,6.0,334,L,166.0,334,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0
125,94,VOYAGE-1_2016,PBO,PBO,3.0,174,L,5.0,174,2016,0,837,44.0,608.0,17.5,30,,22.0,762.0,454.0,517.0,175.0
126,95,VOYAGE-2_2017,PBO,PBO,3.0,248,L,6.0,248,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0
127,95,VOYAGE-2_2017,GUSEL,AIL23,8.0,496,L,347.0,496,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0
128,95,VOYAGE-2_2017,ADA,ATA,6.0,248,L,116.0,248,2016,0,992,44.0,692.0,18.0,30,,22.0,947.0,565.0,639.0,204.0
129,97,CLARITY_2018,USK,AIL1223,9.0,552,L,299.0,552,2018,0,1102,45.0,732.0,17.0,,92.0,21.0,,,,240.0
130,97,CLARITY_2018,SECU,AIL17,14.0,550,L,421.0,550,2018,0,1102,45.0,732.0,17.0,,92.0,21.0,,,,240.0
131,99,Elewski_2016,ADA,ATA,8.0,109,L,47.0,109,2016,0,217,47.0,183.0,19.0,29,90.0,12.5,,,,
132,99,Elewski_2016,PBO,PBO,5.0,108,L,7.0,108,2016,0,217,47.0,183.0,19.0,29,90.0,12.5,,,,
133,101,UltIMMa-1_2018 Ê,RISAN,AIL23,7.0,304,L,229.0,304,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0
134,101,UltIMMa-1_2018 Ê,PBO,PBO,3.0,102,L,5.0,102,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0
135,101,UltIMMa-1_2018 Ê,USK,AIL1223,8.0,100,L,42.0,100,2018,0,506,48.0,361.0,,29.5,,20.5,,,,174.0
136,102,UltIMMa-2_2018 Ê,USK,AIL1223,3.0,99,L,47.0,99,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0
137,102,UltIMMa-2_2018 Ê,PBO,PBO,1.0,98,L,2.0,98,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0
138,102,UltIMMa-2_2018 Ê,RISAN,AIL23,6.0,294,L,220.0,294,2018,0,491,47.0,336.0,,31,,19.0,,,,203.0
139,103,CIMPASI-1_2018,PBO,PBO,1.0,51,L,1.0,51,2018,0,234,46.0,162.0,17.0,31,93.0,20.0,,,,74.0
140,103,CIMPASI-1_2018,CERTO,ATA,7.0,183,L,72.0,183,2018,0,234,46.0,162.0,17.0,31,93.0,20.0,,,,74.0
141,104,CIMPASI-2_2018,CERTO,ATA,6.0,178,L,95.0,178,2018,0,227,45.0,127.0,17.0,31,93.0,18.0,,,,76.0
142,104,CIMPASI-2_2018,PBO,PBO,0.0,49,L,2.0,49,2018,0,227,45.0,127.0,17.0,31,93.0,18.0,,,,76.0
143,108,VIP trial_2018 Ê,PBO,PBO,0.0,31,M,,31,2018,0,96,43.0,67.0,13.0,32,,17.0,,29.0,31.0,29.0
144,108,VIP trial_2018 Ê,ADA,ATA,2.0,33,M,,33,2018,0,96,43.0,67.0,13.0,32,,17.0,,29.0,31.0,29.0
145,114,ORION_2020Ê,PBO,PBO,0.0,16,L,0.0,16,2019,0,78,46.0,53.0,19.0,31,,18.0,,,,
146,114,ORION_2020Ê,GUSEL,AIL23,2.0,62,L,47.0,62,2019,0,78,46.0,53.0,19.0,31,,18.0,,,,
147,116,SustaIMM_2019,PBO,PBO,1.0,58,L,1.0,58,2019,0,171,52.0,143.0,,26.5,74.0,26.0,,,,38.0
148,116,SustaIMM_2019,RISAN,AIL23,4.0,113,L,85.0,113,2019,0,171,52.0,143.0,,26.5,74.0,26.0,,,,38.0
149,117,Ohtsuki_2017 Ê,APRE,SM,4.0,170,L,18.0,170,2017,0,254,50.5,202.0,13.0,25,70.0,21.0,,,,
150,117,Ohtsuki_2017 Ê,PBO,PBO,0.0,84,L,1.0,84,2017,0,254,50.5,202.0,13.0,25,70.0,21.0,,,,
151,118,Ohtsuki_2018,PBO,PBO,2.0,64,M,0.0,64,2018,0,192,49.0,145.0,14.0,25,71.0,26.0,191.0,96.0,115.0,35.0
152,118,Ohtsuki_2018,GUSEL,AIL23,2.0,128,M,90.0,128,2018,0,192,49.0,145.0,14.0,25,71.0,26.0,191.0,96.0,115.0,35.0
153,120,BE ABLE 1_2018,PBO,PBO,1.0,42,L,0.0,42,2018,0,250,44.0,163.0,15.0,,88.0,19.0,,122.0,90.0,58.0
154,120,BE ABLE 1_2018,BIME,AIL17,1.0,208,L,142.0,208,2018,0,250,44.0,163.0,15.0,,88.0,19.0,,122.0,90.0,58.0
155,121,Papp_2017b,RISAN,AIL23,11.0,126,H,78.0,126,2017,0,166,46.0,109.0,,,90.0,20.0,,,,
156,121,Papp_2017b,USK,AIL1223,3.0,40,H,16.0,40,2017,0,166,46.0,109.0,,,90.0,20.0,,,,
157,122,Papp_2018,DEUCRAVA,SM,3.0,222,L,69.0,222,2018,0,267,45.0,194.0,15.0,29,88.0,18.0,,,,115.0
158,122,Papp_2018,PBO,PBO,1.0,45,L,1.0,45,2018,0,267,45.0,194.0,15.0,29,88.0,18.0,,,,115.0
159,123,TRANSFIGURE_2016,PBO,PBO,2.0,65,L,1.0,65,2018,0,198,44.0,160.0,18.5,,90.5,20.0,,,,46.0
160,123,TRANSFIGURE_2016,SECU,AIL17,4.0,133,L,84.0,133,2018,0,198,44.0,160.0,18.5,,90.5,20.0,,,,46.0
161,124,IXORA-S_2017 Ê,IXE,AIL17,3.0,136,L,113.0,136,2017,0,302,43.0,202.0,18.0,29,87.5,20.0,,202.0,184.0,43.0
162,124,IXORA-S_2017 Ê,USK,AIL1223,5.0,166,L,98.0,166,2017,0,302,43.0,202.0,18.0,29,87.5,20.0,,202.0,184.0,43.0
163,125,ReSURFACE-1_2017,PBO,PBO,1.0,155,L,4.0,155,2017,0,772,47.0,533.0,,,88.5,20.0,,,,177.0
164,125,ReSURFACE-1_2017,TILDRA,AIL23,13.0,617,L,216.0,617,2017,0,772,47.0,533.0,,,88.5,20.0,,,,177.0
165,126,ReSURFACE-2_2017,PBO,PBO,4.0,156,L,2.0,156,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0
166,126,ReSURFACE-2_2017,ETA,ATA,7.0,313,L,67.0,313,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0
167,126,ReSURFACE-2_2017,TILDRA,AIL23,10.0,621,L,234.0,621,2017,0,1090,45.0,554.0,,,88.5,20.0,,,,134.0
168,128,CIMPACT_2018,PBO,PBO,5.0,57,M,0.0,57,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0
169,128,CIMPACT_2018,CERTO,ATA,5.0,332,M,108.0,332,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0
170,128,CIMPACT_2018,ETA,ATA,1.0,170,M,46.0,170,2018,0,559,46.0,381.0,18.0,30,89.0,21.0,,,,154.0
171,130,IMMvent_2019,RISAN,AIL23,10.0,301,L,218.0,301,2019,0,605,46.0,422.0,,30.5,90.0,20.0,,,,229.0
172,130,IMMvent_2019,ADA,ATA,9.0,304,L,144.0,304,2019,0,605,46.0,422.0,,30.5,90.0,20.0,,,,229.0
173,131,IMMhance_2020,RISAN,AIL23,8.0,407,L,298.0,407,2020,0,507,49.0,356.0,,30.5,90.5,18.0,,,233.0,281.0
174,131,IMMhance_2020,PBO,PBO,8.0,100,L,2.0,100,2020,0,507,49.0,356.0,,30.5,90.5,18.0,,,233.0,281.0
175,135,CARIMA_2019,SECU,AIL17,1.0,102,H,27.0,102,2020,0,151,45.200001,102.0,20.0,29,89.0,19.5,,,129.0,52.0
176,135,CARIMA_2019,PBO,PBO,2.0,49,H,0.0,49,2020,0,151,45.200001,102.0,20.0,29,89.0,19.5,,,129.0,52.0
177,136,VIP-U trial_2020,PBO,PBO,,21,M,0.0,21,2020,0,43,42.5,30.0,18.0,33.5,100.5,20.0,,19.0,8.0,19.0
178,136,VIP-U trial_2020,USK,AIL1223,,22,M,9.0,22,2020,0,43,42.5,30.0,18.0,33.5,100.5,20.0,,19.0,8.0,19.0
179,138,VIP-S trial_2020,SECU,AIL17,2.0,46,L,34.0,46,2020,0,91,47.5,61.0,16.0,32,94.5,22.0,76.0,27.0,27.0,36.0
180,138,VIP-S trial_2020,PBO,PBO,0.0,45,L,0.0,45,2020,0,91,47.5,61.0,16.0,32,94.5,22.0,76.0,27.0,27.0,36.0
181,139,ALLURE_2021,PBO,PBO,2.0,71,L,1.0,71,2021,0,214,43.5,133.0,17.0,30.5,91.0,20.5,,,,
182,139,ALLURE_2021,SECU,AIL17,1.0,143,L,98.0,143,2021,0,214,43.5,133.0,17.0,30.5,91.0,20.5,,,,
183,140,Umezawa_2021,CERTO,ATA,2.0,101,L,66.0,101,2021,0,127,50.0,99.0,13.0,26.5,73.0,25.0,,,96.0,41.0
184,140,Umezawa_2021,PBO,PBO,1.0,26,L,0.0,26,2021,0,127,50.0,99.0,13.0,26.5,73.0,25.0,,,96.0,41.0
185,141,Cai_2020,PBO,PBO,2.0,135,L,2.0,135,2020,0,441,39.5,350.0,15.5,,73.0,27.0,,,,80.0
186,141,Cai_2020,SECU,AIL17,14.0,408,L,295.0,408,2020,0,441,39.5,350.0,15.5,,73.0,27.0,,,,80.0
