Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
ADA,-0.006678467,-2.060620978,2.047264043,0.954262347,TYK2
APRE,-0.62788865,-2.758586727,1.502809428,0.919886314,TYK2
BIME,1.423962602,-2.048949536,4.896874741,0.564367862,TYK2
BRODA,0.489464425,-1.5767998,2.55572865,0.948571812,TYK2
CERTO,-0.031380764,-2.141380354,2.078618827,0.928910133,TYK2
CICLO,-1.754706472,-3.870484484,0.361071539,0.926373178,TYK2
ETA,-0.475638282,-2.523320169,1.572043606,0.957179927,TYK2
FUM,-1.292242606,-3.361383214,0.776898002,0.94725317,TYK2
GUSEL,0.423816084,-1.632340494,2.479972661,0.953234798,TYK2
IFX,0.073692217,-2.03175897,2.179143404,0.930916856,TYK2
IXE,0.55088769,-1.50390394,2.60567932,0.953868009,TYK2
MIRI,-0.187714036,-2.400328766,2.024900694,0.885829771,TYK2
MTX,-1.578277323,-3.625938121,0.469383475,0.957189786,TYK2
PBO,-2.638091612,-4.66963999,-0.606543235,0.964781357,TYK2
RISAN,0.63410179,-1.422085826,2.690289406,0.953220409,TYK2
SECU,0.599789503,-1.451537228,2.651116233,0.955479189,TYK2
TILDRA,0.132676727,-1.971740169,2.237093622,0.931374389,TYK2
TOFA,-0.385708258,-2.458850625,1.68743411,0.9454247,TYK2
USK,0.177113489,-1.871052778,2.225279757,0.95695356,TYK2
