Treatment,RR,CI_lower,CI_upper,WEIGHT,Reference
BIME,1.350270386,-1.520211421,4.220752192,0.682812201,IFX
BRODA,0.415772208,-0.245543299,1.077087716,2.963789563,IFX
CERTO,-0.105072981,-0.889707861,0.6795619,2.497977147,IFX
CICLO,-1.828398689,-2.580813074,-1.075984305,2.60494754,IFX
ETA,-0.549330499,-1.140171547,0.04151055,3.31730506,IFX
FUM,-1.365934823,-2.031127542,-0.700742103,2.946514509,IFX
GUSEL,0.350123867,-0.2742526,0.974500334,3.139131764,IFX
IXE,0.477195473,-0.134992687,1.089383632,3.201630037,IFX
MIRI,-0.261406253,-1.297847772,0.775035266,1.891085955,IFX
MTX,-1.65196954,-2.183500871,-1.120438208,3.687459017,IFX
PBO,-2.711783829,-3.264717723,-2.158849936,3.544727541,IFX
RISAN,0.560409573,-0.067246712,1.188065858,3.122728229,IFX
SECU,0.526097286,-0.085486415,1.137680987,3.204794366,IFX
TILDRA,0.05898451,-0.710686828,0.828655848,2.546541495,IFX
TOFA,-0.459400474,-1.142916478,0.22411553,2.867526127,IFX
TYK2,-0.073692217,-2.179143404,2.03175897,0.930916856,IFX
USK,0.103421272,-0.497506575,0.704349119,3.261622855,IFX
ACI,-2.837277444,-3.317845715,-2.356709173,4.078504803,BRODA
ADA,-0.496142893,-0.947984372,-0.044301414,4.337804499,BRODA
APRE,-1.117353075,-1.853603794,-0.381102356,2.662136619,BRODA
BIME,0.934498177,-1.907365463,3.776361817,0.689688264,BRODA
CERTO,-0.520845189,-1.190105656,0.148415277,2.928605675,BRODA
CICLO,-2.244170898,-2.935839238,-1.552502557,2.833728083,BRODA
ETA,-0.965102707,-1.388456084,-0.54174933,4.629702058,BRODA
FUM,-1.781707031,-2.224940752,-1.338473309,4.422046214,BRODA
GUSEL,-0.065648342,-0.517203135,0.385906452,4.340558509,BRODA
IFX,-0.415772208,-1.077087716,0.245543299,2.963789563,BRODA
IXE,0.061423264,-0.38274228,0.505588809,4.412769122,BRODA
MIRI,-0.677178461,-1.631502394,0.277145472,2.053809961,BRODA
MTX,-2.067741748,-2.509106952,-1.626376544,4.440766926,BRODA
PBO,-3.127556038,-3.504728461,-2.750383614,5.196562309,BRODA
RISAN,0.144637365,-0.280679521,0.56995425,4.608328676,BRODA
SECU,0.110325077,-0.301461731,0.522111886,4.759744506,BRODA
TILDRA,-0.356787699,-1.008499615,0.294924217,3.007463807,BRODA
TOFA,-0.875172683,-1.423879735,-0.326465631,3.57203355,BRODA
TYK2,-0.489464425,-2.55572865,1.5767998,0.948571812,BRODA
USK,-0.312350936,-0.663487356,0.038785484,5.581876125,BRODA
ACI,-1.719924369,-2.427405645,-1.012443092,2.770391338,APRE
ADA,0.621210182,-0.081955394,1.324375759,2.787394697,APRE
BIME,2.051851252,-0.837199699,4.940902203,0.67842348,APRE
BRODA,1.117353075,0.381102356,1.853603794,2.662136619,APRE
CERTO,0.596507886,-0.2391659,1.432181672,2.345412808,APRE
CICLO,-1.126817823,-1.99439853,-0.259237116,2.259155816,APRE
ETA,0.152250368,-0.495610224,0.80011096,3.025342216,APRE
FUM,-0.664353956,-1.408376856,0.079668944,2.63432752,APRE
GUSEL,1.051704733,0.345226063,1.758183404,2.774322966,APRE
IFX,0.701580867,-0.140080887,1.54324262,2.328726465,APRE
IXE,1.178776339,0.486451758,1.871100921,2.831042045,APRE
MIRI,0.440174614,-0.646637523,1.52698675,1.803439559,APRE
MTX,-0.950388673,-1.635293362,-0.265483984,2.861712046,APRE
PBO,-2.010202963,-2.652608977,-1.367796948,3.051029966,APRE
RISAN,1.26199044,0.55564683,1.968334049,2.774853449,APRE
SECU,1.227678152,0.538507869,1.916848436,2.843999587,APRE
TILDRA,0.760565376,-0.061340489,1.582471242,2.384701317,APRE
TOFA,0.242180392,-0.505580649,0.989941433,2.621158221,APRE
TYK2,0.62788865,-1.502809428,2.758586727,0.919886314,APRE
USK,0.805002139,0.125075066,1.484929212,2.882662093,APRE
ACI,-2.341134551,-2.765841625,-1.916427478,4.614945505,ADA
APRE,-0.621210182,-1.324375759,0.081955394,2.787394697,ADA
BIME,1.43064107,-1.40227632,4.263558459,0.691866274,ADA
BRODA,0.496142893,0.044301414,0.947984372,4.337804499,ADA
CERTO,-0.024702296,-0.658613918,0.609209325,3.091913655,ADA
CICLO,-1.748028005,-2.393474825,-1.102581185,3.036656065,ADA
ETA,-0.468959814,-0.837066628,-0.100853001,5.324541489,ADA
FUM,-1.285564138,-1.734709579,-0.836418697,4.36384258,ADA
GUSEL,0.430494551,0.130075595,0.730913507,6.524222128,ADA
IFX,0.080370684,-0.535807377,0.696548746,3.180898707,ADA
IXE,0.557566157,0.174850281,0.940282034,5.121292636,ADA
MIRI,-0.181035569,-1.108379172,0.746308035,2.11356394,ADA
MTX,-1.571598855,-1.93629016,-1.206907551,5.374408374,ADA
PBO,-2.631413145,-2.933887981,-2.32893831,6.479877891,ADA
RISAN,0.640780257,0.279849716,1.001710798,5.430407731,ADA
SECU,0.60646797,0.246740138,0.966195803,5.448563672,ADA
TILDRA,0.139355194,-0.475931856,0.754642243,3.185505045,ADA
TOFA,-0.37902979,-0.88223895,0.12417937,3.895000641,ADA
TYK2,0.006678467,-2.047264043,2.060620978,0.954262347,ADA
USK,0.183791957,-0.16692411,0.534508023,5.588566331,ADA
ACI,-0.769535696,-1.162775237,-0.376296154,4.984239358,MTX
ADA,1.571598855,1.206907551,1.93629016,5.374408374,MTX
APRE,0.950388673,0.265483984,1.635293362,2.861712046,MTX
BIME,3.002239925,0.17387364,5.83060621,0.692979552,MTX
BRODA,2.067741748,1.626376544,2.509106952,4.440766926,MTX
CERTO,1.546896559,0.93313484,2.160658277,3.193421716,MTX
CICLO,-0.17642915,-0.708971965,0.356113665,3.680455251,MTX
ETA,1.102639041,0.769963579,1.435314503,5.891627798,MTX
