unique_id,name,naif,bias,non_inferiority,cointervention,short_time_evaluationw,rSAEM1,nM1,rSAEM2,nM2,_design,_t1,_t2,_y,_stderr,_contrast
72,Gordon_2015_X-PLORE,,H,0,0,16,1,43,1,42,ADA GUSEL PBO,ADA,PBO,.023530497410194,1.397474386969932,PBO - ADA
72,Gordon_2015_X-PLORE,,H,0,0,16,3,208,1,42,ADA GUSEL PBO,GUSEL,PBO,.5012561727498395,1.142241707002558,PBO - GUSEL
73,Griffith_2015_UNCOVER2,,L,0,0,12,8,358,13,698,ETA IXE PBO,ETA,IXE,-.1821783005799715,.4446314384715104,IXE - ETA
73,Griffith_2015_UNCOVER2,,L,0,0,12,8,358,2,168,ETA IXE PBO,ETA,PBO,-.6297253541224492,.7850186768212802,PBO - ETA
73,Griffith_2015_UNCOVER2,,L,0,0,12,13,698,2,168,ETA IXE PBO,IXE,PBO,-.4475470535424777,.7546774352094072,PBO - IXE
74,Griffith_2015_UNCOVER3,,L,0,0,12,5,382,15,771,ETA IXE PBO,ETA,IXE,.3963445237113552,.5125932585962549,IXE - ETA
74,Griffith_2015_UNCOVER3,,L,0,0,12,5,382,5,193,ETA IXE PBO,ETA,PBO,.6827304197016897,.6262594125461274,PBO - ETA
74,Griffith_2015_UNCOVER3,,L,0,0,12,15,771,5,193,ETA IXE PBO,IXE,PBO,.2863858959903345,.5100865638841984,PBO - IXE
76,Thaçi_2015_CLEAR,,L,0,0,16,10,337,10,339,SECU USK,SECU,USK,-.0059171770280884,.4405482818686245,USK - SECU
77,Paul_2015_JUNCTURE,,L,0,0,12,1,61,4,121,PBO SECU,PBO,SECU,.7013776796964608,1.106951712843488,SECU - PBO
78,Papp_2016_AMAGINE-1,,L,0,0,12,10,441,3,220,BRODA PBO,BRODA,PBO,-.5085554752314518,.6530852203899072,PBO - BRODA
79,Nakagawa_2016,,H,0,0,12,3,113,1,38,BRODA PBO,BRODA,PBO,-.0088106296821548,1.139371750719459,PBO - BRODA
80,Lebwohl_2015_AMAGINE2,,M,0,0,12,22,1222,8,309,BRODA PBO USK,BRODA,PBO,.3633019511553153,.4079215229603462,PBO - BRODA
80,Lebwohl_2015_AMAGINE2,,M,0,0,12,22,1222,4,300,BRODA PBO USK,BRODA,USK,-.3002864271630852,.5397248201775119,USK - BRODA
80,Lebwohl_2015_AMAGINE2,,M,0,0,12,8,309,4,300,BRODA PBO USK,PBO,USK,-.6635883783184005,.606984695615939,USK - PBO
81,Lebwohl_2015_AMAGINE3,,M,0,0,12,19,1253,3,315,BRODA PBO USK,BRODA,PBO,-.465103374427895,.6180551953580936,PBO - BRODA
81,Lebwohl_2015_AMAGINE3,,M,0,0,12,19,1253,2,313,BRODA PBO USK,BRODA,USK,-.8641990342505794,.7407014284929437,USK - BRODA
81,Lebwohl_2015_AMAGINE3,,M,0,0,12,3,315,2,313,BRODA PBO USK,PBO,USK,-.3990956598226845,.9093755230815356,USK - PBO
82,Papp_2015a,,M,0,0,16,.5,47,4.5,310,PBO TILDRA,PBO,TILDRA,.3107998815670863,1.482470849637836,TILDRA - PBO
83,deVries_2016_PIECE,,H,0,0,24,1,23,1,25,ETA IFX,ETA,IFX,-.0833816089390509,1.384384967852027,IFX - ETA
84,Cai_2016,,L,0,0,12,4,338,3,87,ADA PBO,ADA,PBO,1.069455704376654,.7542416725281846,PBO - ADA
85,Reich_2015,,L,0,0,12,.5,11,7.5,91,PBO SECU,PBO,SECU,.5950859673837305,1.425284263378794,SECU - PBO
88,Gottlieb_2011,,L,0,0,12,1,141,1,68,ETA PBO,ETA,PBO,.7292521852020615,1.406485662587962,PBO - ETA
89,Strober_2011,,L,0,0,12,1,139,2,72,ETA PBO,ETA,PBO,1.350954994674582,1.216107259458143,PBO - ETA
91,Gordon_2016_UNCOVER1,,L,0,0,12,18,865,5,431,IXE PBO,IXE,PBO,-.584312428633933,.5020749949724089,PBO - IXE
92,Warren_2016_METOP,,L,0,0,16,1,91,4,29,MTX PBO,MTX,PBO,2.529858037650266,1.097510013799555,PBO - MTX
93,Mrowietz_2016_BRIDGE,,H,0,0,16,17,566,5,138,FUM PBO,FUM,PBO,.1875649614238628,.4998103321739895,PBO - FUM
96,Krueger_2016,,L,0,0,12,1.5,4,.5,10,PBO TOFA,PBO,TOFA,-2.014903020542265,1.52206000757745,TOFA - PBO
97,Papp_2012b,,L,0,0,16,7,264,2,88,APRE PBO,APRE,PBO,-.1541506798272581,.7922787563134756,PBO - APRE
98,Papp_2013b,,H,0,0,12,2,173,4,87,APRE PBO,APRE,PBO,1.380530656403141,.8559938085673445,PBO - APRE
99,Reich_2016_LIBERATE,,M,0,0,16,3.5,84,2.5,84,APRE ETA PBO,APRE,ETA,-.336472236621213,.8135752957807666,ETA - APRE
99,Reich_2016_LIBERATE,,M,0,0,16,3.5,84,.5,85,APRE ETA PBO,APRE,PBO,-1.957744606702316,1.504009580397403,PBO - APRE
99,Reich_2016_LIBERATE,,M,0,0,16,2.5,84,.5,85,APRE ETA PBO,ETA,PBO,-1.621272370081103,1.541535121952427,PBO - ETA
100,Blauvelt_2016_VOYAGE1,,L,0,0,16,6,334,8,329,ADA GUSEL PBO,ADA,GUSEL,.3027653146631093,.5344465745168615,GUSEL - ADA
100,Blauvelt_2016_VOYAGE1,,L,0,0,16,6,334,3,174,ADA GUSEL PBO,ADA,PBO,-.0410614867977737,.7008986100622332,PBO - ADA
100,Blauvelt_2016_VOYAGE1,,L,0,0,16,8,329,3,174,ADA GUSEL PBO,GUSEL,PBO,-.343826801460883,.6704824331917579,PBO - GUSEL
101,Reich_2017_VOYAGE-2,,L,0,0,16,6,248,8,496,ADA GUSEL PBO,ADA,GUSEL,-.4054651081081646,.534432670754598,GUSEL - ADA
101,Reich_2017_VOYAGE-2,,L,0,0,16,6,248,3,248,ADA GUSEL PBO,ADA,PBO,-.6931471805599454,.7013811259728677,PBO - ADA
101,Reich_2017_VOYAGE-2,,L,0,0,16,8,496,3,248,ADA GUSEL PBO,GUSEL,PBO,-.2876820724517808,.6725213351534353,PBO - GUSEL
103,Bagel_2018_CLARITY,,L,0,0,16,14,550,9,552,SECU USK,SECU,USK,-.4454625203296181,.4229774309788715,USK - SECU
105,Elewski_2018,,L,0,0,26,8,109,5,108,ADA PBO,ADA,PBO,-.4607869741408117,.5536844126523116,PBO - ADA
107,"Gordon UltIMMa-1, 2018  ",,L,0,0,16,3,102,7,304,PBO RISAN USK,PBO,RISAN,-.2447570277347468,.6805123664839884,RISAN - PBO
107,"Gordon UltIMMa-1, 2018  ",,L,0,0,16,3,102,8,102,PBO RISAN USK,PBO,USK,.9808292530117262,.6623635634574704,USK - PBO
107,"Gordon UltIMMa-1, 2018  ",,L,0,0,16,7,304,8,102,PBO RISAN USK,RISAN,USK,1.225586280746473,.5047412679822256,USK - RISAN
108,"Gordon UltIMMa-2, 2018  ",,L,0,0,16,1,98,6,294,PBO RISAN USK,PBO,RISAN,.6931471805599454,1.073806884169493,RISAN - PBO
108,"Gordon UltIMMa-2, 2018  ",,L,0,0,16,1,98,3,99,PBO RISAN USK,PBO,USK,1.088459917204092,1.145874444081755,USK - PBO
108,"Gordon UltIMMa-2, 2018  ",,L,0,0,16,6,294,3,99,PBO RISAN USK,RISAN,USK,.3953127366441467,.6974938202986262,USK - RISAN
109,"Gottlieb CIMPASI-1, 2018",,L,0,0,16,7,183,1,51,CERTO PBO,CERTO,PBO,-.6682496289382183,1.05725343170196,PBO - CERTO
110,"Gottlieb CIMPASI-2, 2018",,L,0,0,16,6.5,179,.5,50,CERTO PBO,CERTO,PBO,-1.289586557048927,1.458855565732051,PBO - CERTO
112,Jin 2017  ,,H,0,0,16,.5,7,.5,13,PBO TOFA,PBO,TOFA,-.6190392084062233,1.944278730074415,TOFA - PBO
115,"Mehta VIP trial, 2018",,M,0,0,12,2.5,34,.5,32,ADA PBO,ADA,PBO,-1.548813290617665,1.529489534221832,PBO - ADA
121,"Ferris ORION, 2019  ",,L,0,0,16,2.5,63,.5,17,GUSEL PBO,GUSEL,PBO,-.2995165300987841,1.52489457167216,PBO - GUSEL
123,NCT03000075  ,,L,0,0,16,1,58,4,113,PBO RISAN,PBO,RISAN,.7193495529539691,1.106304236260321,RISAN - PBO
124,Ohtsuki 2017  ,,L,0,0,16,4.5,171,.5,85,APRE PBO,APRE,PBO,-1.498212277323876,1.484792767736796,PBO - APRE
125,Ohtsuki 2018,,M,0,0,16,2,128,2,64,GUSEL PBO,GUSEL,PBO,.693147180559945,.9882117688026185,PBO - GUSEL
127,"Papp BE ABLE, 2018",,L,0,0,16,1,208,1,42,BIME PBO,BIME,PBO,1.599868461417949,1.404059394713338,PBO - BIME
128,"Papp NCT02054481, 2017  ",,H,0,0,12,11,126,3,40,RISAN USK,RISAN,USK,-.1518805312927194,.6255444958147774,USK - RISAN
129,"Papp TYK2, 2018",,L,0,0,12,1,45,3,222,PBO TYK2,PBO,TYK2,-.4974026034338497,1.143068942193167,TYK2 - PBO
130,"Reich TRANSFIGURE, 2016",,L,0,0,16,2,65,4,133,PBO SECU,PBO,SECU,-.0228146777661715,.852699588145147,SECU - PBO
131,"Reich IXORA-S, 2017  ",,L,0,0,12,2.5,137,.5,167,IXE USK,IXE,USK,-1.80745079902273,1.544898930582998,USK - IXE
132,"Reich ReSURFACE-1, 2017  ",,L,0,0,12,1,155,13,617,PBO TILDRA,PBO,TILDRA,1.183505450475395,1.033852367834451,TILDRA - PBO
133,"Reich ReSURFACE-2, 2017",,L,0,0,12,7,313,4,156,ETA PBO TILDRA,ETA,PBO,.1367313953551936,.6190734998915498,PBO - ETA
133,"Reich ReSURFACE-2, 2017",,L,0,0,12,7,313,10,621,ETA PBO TILDRA,ETA,TILDRA,-.328452947454593,.4879056760482471,TILDRA - ETA
133,"Reich ReSURFACE-2, 2017",,L,0,0,12,4,156,10,621,ETA PBO TILDRA,PBO,TILDRA,-.4651843428097866,.5847900799702501,TILDRA - PBO
135,Zhang 2017,,M,0,0,16,.5,89,2.5,179,PBO TOFA,PBO,TOFA,.9106884763254852,1.543754336921859,TOFA - PBO
136,"Lebwohl CIMPACT, 2018",,M,0,0,12,5,332,1,170,CERTO ETA PBO,CERTO,ETA,-.9401013805678735,1.091377844225387,ETA - CERTO
136,"Lebwohl CIMPACT, 2018",,M,0,0,12,5,332,5,57,CERTO ETA PBO,CERTO,PBO,1.762083701081939,.6159903344680874,PBO - CERTO
136,"Lebwohl CIMPACT, 2018",,M,0,0,12,1,170,5,57,CERTO ETA PBO,ETA,PBO,2.702185081649812,1.084699860518891,PBO - ETA
138,EUCTR2015-003623-65-DE  ,,L,0,0,16,9,304,10,301,ADA RISAN,ADA,RISAN,.1152779523151723,.452216074830087,RISAN - ADA
139,NCT02672852 IMMhance,,L,0,0,16,8,100,8,407,PBO RISAN,PBO,RISAN,-1.403642999454504,.4873838297922876,RISAN - PBO
143,NCT02559622 von Stebut CARIMA 2019,,H,0,0,12,2,49,1,102,PBO SECU,PBO,SECU,-1.426299695733589,1.21234809983192,SECU - PBO
144,Reich 2019,,L,0,0,16,2,153,1,52,MIRI PBO,MIRI,PBO,.3860470222510628,1.21418008674859,PBO - MIRI
145,"NCT02187172 Gelfand VIP-U, 2020",,M,0,0,12,.5,22,.5,23,PBO USK,PBO,USK,-.0444517625708341,1.977641826437712,USK - PBO
147,"NCT02690701 Gelfand VIP-S, 2020",,L,0,0,12,.5,46,2.5,47,PBO SECU,PBO,SECU,1.587931707213137,1.535247300541687,SECU - PBO
148,NCT02748863 ALLURE,,L,0,0,12,2,71,1,143,PBO SECU,PBO,SECU,-1.393311933778537,1.216109569884531,SECU - PBO
150,NCT03066609,,L,0,0,12,2,135,14,408,PBO SECU,PBO,SECU,.8399177530895812,.7493798660419208,SECU - PBO
154,"Van Voorhees STYLE, 2020",,L,0,0,16,2,201,1,102,APRE PBO,APRE,PBO,-.0148150857851403,1.21869641586954,PBO - APRE
155,"Gottlieb IXORA-R, 2019",,L,0,0,12,13,507,16,520,GUSEL IXE,GUSEL,IXE,.1823215567939545,.3681407523933968,IXE - GUSEL
157,"Warren IMMerge, 2020",,M,0,0,16,9,164,6,163,RISAN SECU,RISAN,SECU,-.3993488810907282,.5153108259637827,SECU - RISAN
158,"NCT03482011 OASIS-1, 2020",,L,0,0,16,5,423,2,107,MIRI PBO,MIRI,PBO,.4582526127102171,.82963253275991,PBO - MIRI
