,Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference,k,direct,direct_low,direct_up,indirect,indirect_low,indirect_up,p-value
41,BRODA,24.09281146,20.04685393,28.95534462,0.093796575,10.66137015,0,PBO,5,26.60063131,16.9428352,41.76358785,23.62230462,19.31489695,28.8903056,0.637537151
42,CERTO,13.27250436,9.633636848,18.28586388,0.163486603,6.116709154,0,PBO,5,19.72795931,8.276990265,47.02100233,12.46909719,8.833113827,17.60176398,0.33592321
43,CICLO,7.008033792,1.315960409,37.32068023,0.853311442,1.171905063,0,PBO,0,,,,7.008033795,1.316000853,37.31953332,
44,DEUCRAVA,13.98648649,1.993950409,98.1076577,0.993864189,1.006173691,0,PBO,1,13.98648648,1.994021784,98.10414593,,,,
45,ETA,10.6477686,8.881485229,12.76531719,0.092541607,10.8059502,0,PBO,14,11.66838443,8.134690429,16.73710836,10.32308771,8.369164086,12.73318801,0.565080148
46,FUM,4.353573761,2.004699569,9.454586007,0.395664721,2.527392377,0,PBO,1,4.469964666,2.007804725,9.951457862,2.903209676,0.12611163,66.83464799,0.793850465
47,GUSEL,24.09561219,20.35499787,28.52363486,0.086073102,11.61803139,0,PBO,5,27.76493388,16.21204487,47.55054404,23.72606218,19.86410624,28.338855,0.586588268
48,IFX,50.10196129,20.87932684,120.224495,0.446581955,2.239230647,0,PBO,5,42.5525808,16.04605126,112.8453414,98.51818084,13.54191014,716.7254732,0.456797106
49,IXE,30.17965478,25.36404478,35.90955506,0.088691532,11.27503353,0,PBO,5,37.65238425,21.2453759,66.72991084,29.50852879,24.58719006,35.41491603,0.426450562
50,MTX,6.940351643,1.409669935,34.17004203,0.813263701,1.229613468,0,PBO,2,5.806419354,0.724605558,46.52808046,8.939929337,0.749227443,106.6729966,0.793850465
51,NETA,4.488421099,2.066324123,9.749643696,0.395780484,2.526653133,0,PBO,2,4.488421098,2.066353578,9.749504719,,,,
52,RISAN,28.73609578,24.02105147,34.37664673,0.091440528,10.93606985,0,PBO,5,22.51351746,12.89586884,39.30394105,29.55678429,24.45990826,35.71573074,0.364634749
53,SECU,26.25107068,22.24513866,30.97839588,0.084481264,11.83694404,0,PBO,16,22.73122306,15.60463373,33.11250431,27.17517609,22.59883462,32.6782424,0.403495578
54,SONELO,25.40813224,19.22658496,33.57711134,0.142232314,7.030751126,0,PBO,1,65.21582733,4.125093807,1031.032101,25.16258156,19.01361908,33.30010494,0.501148689
55,TILDRA,18.55771273,14.03672453,24.53483368,0.142453269,7.019845918,0,PBO,3,17.24808818,8.260187884,36.01571173,18.787237,13.89370947,25.40432235,0.833239557
56,USK,18.89461368,15.98766086,22.33012254,0.085234522,11.73233545,0,PBO,11,17.85962772,12.96732514,24.59769452,19.29724102,15.86509774,23.47186996,0.685953832
57,ADA,0.660428527,0.607821066,0.717589211,0.042351208,23.6120771,0,SECU,0,,,,0.660428527,0.607821993,0.717588117,
58,APRE,0.292723451,0.170685559,0.502016802,0.275206775,3.633631471,0,SECU,0,,,,0.292723451,0.170687251,0.502011827,
