,Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference,k,direct,direct_low,direct_up,indirect,indirect_low,indirect_up,p-value
183,NETA,0.338174392,0.14609481,0.782792485,0.428217306,2.33526293,0,CERTO,0,,,,0.338174392,0.146097064,0.782780412,
184,PBO,0.075343731,0.054687053,0.103802958,0.163486603,6.116709154,0,CERTO,5,0.05068948,0.021267092,0.120816863,0.080198268,0.056812488,0.11321036,0.33592321
185,RISAN,2.165084674,1.595419251,2.938156626,0.155776998,6.419432996,0,CERTO,0,,,,2.165084674,1.595428201,2.938140143,
186,SECU,1.977853611,1.472060253,2.657435316,0.150688403,6.636210767,0,CERTO,0,,,,1.977853609,1.472068241,2.657420894,
187,SONELO,1.914343484,1.320785971,2.774644078,0.189361093,5.28091585,0,CERTO,0,,,,1.914343483,1.320794978,2.774625156,
188,TILDRA,1.398207318,0.979697395,1.995497503,0.181480849,5.510223271,0,CERTO,0,,,,1.398207318,0.979703798,1.99548446,
189,USK,1.423590693,1.059159496,1.913413861,0.150870751,6.628189986,0,CERTO,0,,,,1.423590692,1.05916525,1.913403465,
190,ADA,2.256151753,1.311076021,3.882475655,0.276945106,3.610823872,0,APRE,0,,,,2.256151752,1.311089098,3.882436927,
191,BIME,3.937439644,2.28964724,6.771100226,0.276598425,3.61534958,0,APRE,0,,,,3.93743964,2.289670048,6.771032766,
192,BRODA,3.135327736,1.816220956,5.412491238,0.278559064,3.589902933,0,APRE,0,,,,3.135327734,1.816239177,5.412436934,
193,CERTO,1.727222708,0.948320453,3.145875713,0.305906913,3.268968291,0,APRE,0,,,,1.727222707,0.948330901,3.145841054,
194,CICLO,0.911993304,0.157345251,5.286030436,0.896525615,1.115417098,0,APRE,0,,,,0.911993304,0.157350332,5.28585976,
195,DEUCRAVA,1.820137059,0.241170765,13.73673511,1.031205017,0.969739269,0,APRE,0,,,,1.820137058,0.241179722,13.73622492,
196,ETA,1.38565166,0.811655385,2.365573566,0.272882639,3.664579039,0,APRE,1,1.416666666,0.722429419,2.778049162,1.334237662,0.553337625,3.217186144,0.915567782
197,FUM,0.566554077,0.220339401,1.456768605,0.481838492,2.075384216,0,APRE,0,,,,0.566554077,0.220343225,1.456743326,
198,GUSEL,3.135692209,1.82698381,5.381857014,0.275603844,3.628396416,0,APRE,0,,,,3.135692207,1.827001944,5.38180359,
199,IFX,6.520038937,2.340842297,18.1605176,0.522637514,1.913372028,0,APRE,0,,,,6.520038933,2.340886358,18.16017575,
200,IXE,3.927441546,2.288938875,6.738841855,0.275459118,3.630302777,0,APRE,0,,,,3.927441541,2.288961582,6.738774991,
201,MTX,0.90318546,0.167884375,4.858963061,0.858496132,1.164827613,0,APRE,0,,,,0.90318546,0.167889566,4.858812829,
202,NETA,0.58410249,0.227121858,1.502170337,0.481933556,2.074974835,0,APRE,0,,,,0.584102489,0.227125801,1.502144262,
203,PBO,0.130135403,0.075914011,0.223084288,0.274986837,3.636537703,0,APRE,5,0.14378804,0.069789925,0.296246206,0.114855912,0.051156418,0.257873422,0.684792848
204,RISAN,3.739583413,2.169469682,6.446038042,0.277801769,3.599689104,0,APRE,0,,,,3.739583412,2.169491388,6.445973545,
205,SECU,3.416193669,1.9919652,5.858726439,0.275206775,3.633631471,0,APRE,0,,,,3.416193666,1.991984943,5.858668362,
206,SONELO,3.306497536,1.843376779,5.930923118,0.29810734,3.354496399,0,APRE,0,,,,3.306497534,1.843396569,5.930859438,
207,TILDRA,2.41501543,1.354469736,4.305965184,0.295048794,3.389269906,0,APRE,0,,,,2.41501543,1.35448413,4.305919425,
208,USK,2.458858171,1.43332909,4.218140517,0.275355771,3.631665307,0,APRE,0,,,,2.45885817,1.433343304,4.218098682,
209,ADA,0.574458391,0.518219911,0.636800009,0.052565295,19.02395854,0,IXE,0,,,,0.574458392,0.518220892,0.636798803,
210,APRE,0.254618685,0.148393451,0.436883663,0.275459118,3.630302777,0,IXE,0,,,,0.254618685,0.148394924,0.436879329,
211,BIME,1.002545703,0.905398596,1.110116461,0.052001256,19.23030464,0,IXE,0,,,,1.002545703,0.905400292,1.110114383,
212,BRODA,0.798313024,0.705150019,0.903784537,0.06331133,15.79496112,0,IXE,0,,,,0.798313024,0.705151627,0.903782477,
213,CERTO,0.439783174,0.327765281,0.590084585,0.149991874,6.667027845,0,IXE,0,,,,0.439783174,0.327767052,0.590081398,
214,CICLO,0.232210535,0.043213123,1.247809204,0.857908273,1.165625779,0,IXE,0,,,,0.232210536,0.043214458,1.247770652,
215,DEUCRAVA,0.463440904,0.065559884,3.276050183,0.997813717,1.002191073,0,IXE,0,,,,0.463440904,0.065562241,3.275932453,
216,ETA,0.352812803,0.316771747,0.39295447,0.054977622,18.18921885,0,IXE,2,0.343304246,0.298768546,0.394478626,0.367659966,0.309972956,0.436082721,0.541594179
217,FUM,0.144255254,0.065159423,0.319364065,0.405483365,2.466192416,0,IXE,0,,,,0.144255254,0.065160375,0.319359402,
218,GUSEL,0.798405825,0.738668699,0.862973973,0.039677301,25.2033269,0,IXE,1,0.773300774,0.704520169,0.848796263,0.859279524,0.746076949,0.989658375,0.222036032
219,IFX,1.660123737,0.68397569,4.029398796,0.452410736,2.21038079,0,IXE,0,,,,1.660123738,0.683986835,4.029333144,
220,MTX,0.229967894,0.046269914,1.142972343,0.818085592,1.222365985,0,IXE,0,,,,0.229967894,0.046271277,1.142938668,
221,NETA,0.148723408,0.067162796,0.329328935,0.405596326,2.465505569,0,IXE,0,,,,0.148723408,0.067163777,0.329324125,
222,PBO,0.033134905,0.027847741,0.039425888,0.088691532,11.27503353,0,IXE,5,0.026558743,0.014985784,0.047069066,0.033888508,0.02823669,0.040671585,0.426450562
223,RISAN,0.952167809,0.848686297,1.068266968,0.058699831,17.03582412,0,IXE,0,,,,0.95216781,0.848688092,1.068264711,
224,SECU,0.869826738,0.798278707,0.947787468,0.043794004,22.83417624,0,IXE,0,,,,0.869826738,0.798279966,0.947785974,
225,SONELO,0.841896053,0.661810451,1.070984846,0.122794575,8.143682241,0,IXE,0,,,,0.841896053,0.661813378,1.070980111,
226,TILDRA,0.614908052,0.480117528,0.787540321,0.126245828,7.921053829,0,IXE,0,,,,0.614908053,0.480119712,0.78753674,
227,USK,0.626071233,0.573187251,0.683834451,0.045026379,22.20920341,0,IXE,1,0.71052351,0.612979828,0.82358935,0.583570002,0.52274667,0.651470333,0.036198401
228,ADA,0.719506764,0.666823359,0.776352502,0.038796299,25.7756547,0,GUSEL,3,0.688856924,0.628291407,0.755260786,0.79015153,0.690376187,0.904346719,0.099794841
229,APRE,0.318908851,0.18580947,0.547350225,0.275603844,3.628396416,0,GUSEL,0,,,,0.318908851,0.185811315,0.547344793,
230,BIME,1.255684353,1.155668133,1.364356384,0.042347999,23.61386652,0,GUSEL,0,,,,1.255684353,1.155669895,1.364354303,
231,BRODA,0.999883766,0.890483856,1.122723943,0.059119421,16.91491539,0,GUSEL,0,,,,0.999883766,0.890485752,1.122721553,
232,CERTO,0.550826609,0.409465887,0.740989574,0.151309428,6.60897349,0,GUSEL,0,,,,0.55082661,0.409468119,0.740985537,
233,CICLO,0.290842737,0.054152563,1.562058996,0.857641532,1.16598831,0,GUSEL,0,,,,0.290842737,0.054154235,1.562010749,
234,DEUCRAVA,0.580457819,0.082150402,4.101395373,0.997584385,1.002421464,0,GUSEL,0,,,,0.580457818,0.082153354,4.101248014,
235,ETA,0.441896579,0.393436499,0.49632555,0.059263363,16.87383146,0,GUSEL,0,,,,0.441896579,0.393437338,0.496324491,
236,FUM,0.18067911,0.081702283,0.399559715,0.404918696,2.469631582,0,GUSEL,0,,,,0.18067911,0.081703474,0.399553889,
237,IFX,2.079298127,0.857181941,5.043830828,0.452109939,2.211851397,0,GUSEL,0,,,,2.079298127,0.857195899,5.043748699,
238,IXE,1.252495871,1.158783499,1.353786889,0.039677301,25.2033269,0,GUSEL,1,1.293157894,1.178139023,1.41940578,1.163765657,1.010449692,1.340344319,0.222036032
239,MTX,0.288033837,0.057984659,1.430783466,0.817805861,1.222784095,0,GUSEL,0,,,,0.288033838,0.057986367,1.430741326,
240,NETA,0.186275454,0.084214251,0.412026995,0.405031814,2.468941859,0,GUSEL,0,,,,0.186275454,0.084215479,0.412020985,
241,PBO,0.041501332,0.035058645,0.049127984,0.086073102,11.61803139,0,GUSEL,5,0.036016653,0.021030254,0.061682533,0.042147744,0.035287241,0.050342059,0.586588268
242,RISAN,1.19258625,1.080490306,1.316311637,0.050361909,19.8562765,0,GUSEL,0,,,,1.19258625,1.080492267,1.316309249,
243,SECU,1.089454398,1.024055984,1.159029296,0.031584603,31.66099637,0,GUSEL,1,1.100850969,1.021698104,1.186135955,1.064706582,0.952964127,1.189551708,0.624425906
244,SONELO,1.05447133,0.835105727,1.331459899,0.118998202,8.403488307,0,GUSEL,0,,,,1.054471331,0.835109305,1.331454194,
245,TILDRA,0.770169796,0.599465858,0.989483399,0.127842848,7.822103562,0,GUSEL,0,,,,0.770169797,0.599468619,0.989478843,
246,USK,0.784151635,0.726605859,0.846254924,0.038886852,25.71563253,0,GUSEL,0,,,,0.784151635,0.726606876,0.846253739,
247,ADA,0.603316333,0.54719574,0.665192675,0.049813815,20.07475253,0,RISAN,1,0.654031869,0.570025297,0.750418776,0.555742512,0.483776922,0.638413544,0.102146682
248,APRE,0.267409465,0.155134052,0.460942141,0.277801769,3.599689104,0,RISAN,0,,,,0.267409465,0.155135604,0.460937529,
249,BIME,1.052908629,0.94859027,1.168699085,0.053232031,18.78568204,0,RISAN,0,,,,1.052908628,0.948592088,1.168696843,
250,BRODA,0.838416313,0.737610014,0.952999417,0.065356899,15.30060359,0,RISAN,0,,,,0.838416312,0.73761175,0.952997174,
251,CERTO,0.4618757,0.340349453,0.626794493,0.155776998,6.419432996,0,RISAN,0,,,,0.4618757,0.340351362,0.626790976,
252,CICLO,0.243875641,0.045358276,1.311234323,0.858196824,1.165233863,0,RISAN,0,,,,0.243875642,0.045359678,1.311193796,
253,DEUCRAVA,0.486721877,0.068819814,3.442296222,0.99806182,1.001941944,0,RISAN,0,,,,0.486721877,0.068822288,3.442172484,
254,ETA,0.370536369,0.32289886,0.425201876,0.070210436,14.24289678,0,RISAN,0,,,,0.370536369,0.322899676,0.4252008,
255,FUM,0.151501923,0.06835092,0.335808683,0.406093513,2.462487006,0,RISAN,0,,,,0.151501923,0.06835192,0.335803772,
256,GUSEL,0.838513776,0.759698518,0.925505758,0.050361909,19.8562765,0,RISAN,0,,,,0.838513776,0.759699896,0.925504079,
257,IFX,1.743520124,0.71713656,4.238889208,0.453262819,2.206225521,0,RISAN,0,,,,1.743520124,0.717148267,4.238820009,
258,IXE,1.050235043,0.936095592,1.178291677,0.058699831,17.03582412,0,RISAN,0,,,,1.050235042,0.93609757,1.178289185,
259,MTX,0.241520341,0.048565474,1.201101743,0.818388183,1.221914027,0,RISAN,0,,,,0.241520341,0.048566905,1.201066342,
260,NETA,0.156194534,0.070452441,0.346286547,0.406206304,2.46180325,0,RISAN,0,,,,0.156194534,0.070453472,0.34628148,
261,PBO,0.034799439,0.029089516,0.041630151,0.091440528,10.93606985,0,RISAN,5,0.044417759,0.025442741,0.077544213,0.03383318,0.027998867,0.040883228,0.364634749
262,SECU,0.913522522,0.834911231,0.999535479,0.0459095,21.78198408,0,RISAN,1,0.889722659,0.770607977,1.027249177,0.929198892,0.827932374,1.042851575,0.64434362
263,SONELO,0.884188737,0.693999259,1.126499363,0.123571251,8.092497208,0,RISAN,0,,,,0.884188737,0.694002347,1.12649435,
264,TILDRA,0.645797984,0.497491319,0.838316208,0.133116647,7.512208419,0,RISAN,0,,,,0.645797984,0.497493705,0.838312189,
265,USK,0.657521948,0.598748104,0.722065105,0.047774063,20.9318602,0,RISAN,3,0.604728929,0.520769509,0.702224442,0.69404546,0.615484999,0.782633372,0.159133401
266,ADA,1.239550473,0.175349867,8.762398292,0.997816762,1.002188015,0,DEUCRAVA,0,,,,1.239550474,0.175356169,8.762083403,
267,APRE,0.549409175,0.072797502,4.146439557,1.031205017,0.969739269,0,DEUCRAVA,0,,,,0.549409175,0.072800206,4.146285565,
268,BIME,2.163265466,0.306030253,15.29168252,0.997801115,1.002203731,0,DEUCRAVA,0,,,,2.163265466,0.306041251,15.29113299,
269,BRODA,1.722577824,0.243458752,12.18799626,0.998280434,1.001722528,0,DEUCRAVA,0,,,,1.722577825,0.243467506,12.18755806,
270,CERTO,0.948952003,0.131789414,6.83294565,1.007220878,0.99283089,0,DEUCRAVA,0,,,,0.948952003,0.131794195,6.832697786,
271,CICLO,0.501057488,0.038446422,6.530090236,1.309926122,0.763401831,0,DEUCRAVA,0,,,,0.501057489,0.038448236,6.529782173,
272,ETA,0.761289735,0.107620801,5.385223461,0.998163301,1.001840078,0,DEUCRAVA,0,,,,0.761289736,0.10762467,5.385029868,
273,FUM,0.311270008,0.038244323,2.533422236,1.069727348,0.934817645,0,DEUCRAVA,0,,,,0.311270008,0.038245796,2.533324635,
274,GUSEL,1.722778069,0.243819459,12.17279495,0.997584385,1.002421464,0,DEUCRAVA,0,,,,1.72277807,0.243828219,12.1723576,
275,IFX,3.582169213,0.423321453,30.31251114,1.089587752,0.917778305,0,DEUCRAVA,0,,,,3.582169214,0.423338066,30.31132163,
276,IXE,2.157772419,0.305245629,15.25323007,0.997813717,1.002191073,0,DEUCRAVA,0,,,,2.157772419,0.305256599,15.25268191,
277,MTX,0.496218378,0.040044387,6.148993622,1.284197755,0.778696269,0,DEUCRAVA,0,,,,0.496218379,0.040046239,6.148709235,
278,NETA,0.320911267,0.039425591,2.612111541,1.069770171,0.934780224,0,DEUCRAVA,0,,,,0.320911267,0.03942711,2.612010902,
279,PBO,0.071497585,0.010192884,0.501516986,0.993864189,1.006173691,0,DEUCRAVA,1,0.071497585,0.010193249,0.501499035,,,,
280,RISAN,2.054561437,0.290503761,14.53069895,0.99806182,1.001941944,0,DEUCRAVA,0,,,,2.054561439,0.290514204,14.53017664,
281,SECU,1.876888145,0.265701042,13.25816821,0.9974483,1.002558228,0,DEUCRAVA,0,,,,1.876888145,0.265710587,13.25769193,
282,SONELO,1.816620083,0.253892874,12.99803525,1.003990069,0.996025789,0,DEUCRAVA,0,,,,1.816620084,0.253902055,12.99756526,
283,TILDRA,1.326831635,0.185428102,9.494149855,1.004021395,0.995994712,0,DEUCRAVA,0,,,,1.326831636,0.185434807,9.493806549,
284,USK,1.350919239,0.191218412,9.54397004,0.997512381,1.002493823,0,DEUCRAVA,0,,,,1.35091924,0.191225282,9.543627168,
285,ADA,0.572999705,0.522375362,0.628530144,0.047193259,21.1894671,0,BIME,1,0.602621697,0.514953349,0.705215162,0.557911153,0.497605983,0.625524742,0.437083981
286,APRE,0.253972147,0.147686486,0.436748501,0.276598425,3.61534958,0,BIME,0,,,,0.253972147,0.147687958,0.436744151,
287,BRODA,0.796285917,0.708306467,0.895193381,0.059735434,16.74048281,0,BIME,0,,,,0.796285917,0.708307991,0.895191456,
288,CERTO,0.438666459,0.324795585,0.592459601,0.153338437,6.521522069,0,BIME,0,,,,0.43866646,0.324797379,0.59245633,
289,CICLO,0.231620897,0.043104633,1.244604961,0.857893615,1.165645696,0,BIME,0,,,,0.231620898,0.043105965,1.244566508,
290,DEUCRAVA,0.462264117,0.065395028,3.267650793,0.997801115,1.002203731,0,BIME,0,,,,0.462264117,0.065397378,3.267533366,
291,ETA,0.351916927,0.310171333,0.399281012,0.06442363,15.52225486,0,BIME,0,,,,0.351916927,0.310172053,0.399280086,
292,FUM,0.143888955,0.064997919,0.31853376,0.405452351,2.466381062,0,BIME,0,,,,0.143888955,0.064998868,0.318529109,
293,GUSEL,0.796378483,0.732946327,0.865300315,0.042347999,23.61386652,0,BIME,0,,,,0.796378483,0.732947445,0.865298996,
294,IFX,1.655908287,0.681942459,4.020914406,0.452632484,2.209297908,0,BIME,0,,,,1.655908288,0.681953576,4.02084886,
295,IXE,0.997460762,0.900806388,1.104485919,0.052001256,19.23030464,0,BIME,0,,,,0.997460761,0.900808075,1.10448385,
296,MTX,0.22938395,0.046153814,1.140035715,0.81807022,1.222388953,0,BIME,0,,,,0.229383951,0.046155174,1.140002128,
297,NETA,0.148345763,0.066996325,0.328472728,0.40556532,2.465694058,0,BIME,0,,,,0.148345763,0.066997303,0.328467931,
298,PBO,0.033050768,0.027784756,0.039314841,0.088549632,11.29310165,0,BIME,3,0.039180993,0.017252433,0.088981663,0.032788251,0.027453554,0.039159572,0.677420635
299,RISAN,0.949750028,0.855652249,1.054195928,0.053232031,18.78568204,0,BIME,0,,,,0.949750029,0.85565389,1.054193908,
300,SECU,0.867618041,0.814464894,0.924240039,0.032255228,31.00272594,0,BIME,1,0.869058714,0.807872205,0.934879358,0.863313954,0.760807365,0.979631662,0.929038885
301,SONELO,0.839758278,0.664814952,1.060737223,0.119186404,8.390218703,0,BIME,0,,,,0.839758279,0.664817805,1.060732671,
302,TILDRA,0.613346654,0.475158997,0.791722602,0.130245306,7.677819855,0,BIME,0,,,,0.613346654,0.475161227,0.791718888,
303,USK,0.624481489,0.577780363,0.674957397,0.039657084,25.21617547,0,BIME,1,0.584305265,0.497350667,0.686462622,0.637203165,0.583098062,0.696328627,0.355784215
304,ADA,3.862595678,1.744304547,8.553348898,0.405603815,2.465460045,0,NETA,0,,,,3.862595679,1.744330029,8.55322395,
305,APRE,1.712028312,0.665703466,4.402922761,0.481933556,2.074974835,0,NETA,0,,,,1.712028314,0.665715022,4.402846341,
306,BIME,6.741008148,3.044392772,14.92619194,0.40556532,2.465694058,0,NETA,0,,,,6.741008146,3.04443724,14.92597391,
307,BRODA,5.367769853,2.418617156,11.91298636,0.406743149,2.458554012,0,NETA,0,,,,5.367769853,2.418652587,11.91281185,
308,CERTO,2.957054178,1.277477772,6.844870103,0.428217306,2.33526293,0,NETA,0,,,,2.957054179,1.277497475,6.844764541,
309,CICLO,1.561358357,0.24707179,9.866929441,0.940628837,1.063118587,0,NETA,0,,,,1.561358358,0.24708016,9.86659519,
310,DEUCRAVA,3.116126178,0.382832044,25.36423614,1.069770171,0.934780224,0,NETA,0,,,,3.116126177,0.382846794,25.36325889,
311,ETA,2.372274874,1.069505525,5.261953255,0.406455583,2.460293431,0,NETA,0,,,,2.372274874,1.069521181,5.261876226,
312,FUM,0.969956621,0.32387714,2.904854127,0.559636278,1.786874869,0,NETA,0,,,,0.969956621,0.323883668,2.904795581,
313,GUSEL,5.368393841,2.427025442,11.87447479,0.405031814,2.468941859,0,NETA,0,,,,5.368393842,2.427060847,11.87430157,
314,IFX,11.16249126,3.465937783,35.95021576,0.59672241,1.675821092,0,NETA,0,,,,11.16249126,3.466012272,35.94944314,
315,IXE,6.723891122,3.036477798,14.88919558,0.405596326,2.465505569,0,NETA,0,,,,6.723891119,3.036522154,14.88897808,
316,MTX,1.546279079,0.262663472,9.102822607,0.904455659,1.105637397,0,NETA,0,,,,1.54627908,0.262672028,9.1025261,
317,PBO,0.222795495,0.102567851,0.483951181,0.395780484,2.526653133,0,NETA,2,0.222795495,0.102569313,0.483944283,,,,
318,RISAN,6.40227268,2.887781837,14.19397232,0.406206304,2.46180325,0,NETA,0,,,,6.402272682,2.887824087,14.19376467,
319,SECU,5.848620282,2.645871762,12.92819996,0.404696523,2.470987378,0,NETA,0,,,,5.848620281,2.645910326,12.92801152,
320,SONELO,5.660817396,2.482502643,12.90828579,0.420561794,2.377771862,0,NETA,0,,,,5.660817397,2.482540246,12.90809027,
321,TILDRA,4.134574792,1.812916385,9.429397211,0.420636572,2.377349159,0,NETA,0,,,,4.134574793,1.812943852,9.429254362,
322,USK,4.209634806,1.903817732,9.308152193,0.404854437,2.470023565,0,NETA,0,,,,4.209634806,1.903845493,9.308016471,
323,ADA,0.682338858,0.536913828,0.867152778,0.122290195,8.177270496,0,SONELO,0,,,,0.682338858,0.536916192,0.867148959,
324,APRE,0.302434824,0.168607817,0.542482693,0.29810734,3.354496399,0,SONELO,0,,,,0.302434824,0.168609627,0.542476869,
325,BIME,1.190818865,0.942740556,1.504177964,0.119186404,8.390218703,0,SONELO,0,,,,1.190818865,0.942744602,1.504171507,
326,BRODA,0.948232292,0.740037612,1.214998352,0.126478823,7.906461922,0,SONELO,0,,,,0.948232292,0.740040983,1.214992818,
327,CERTO,0.522372296,0.360406586,0.757124941,0.189361093,5.28091585,0,SONELO,0,,,,0.522372296,0.360409044,0.757119778,
328,CICLO,0.275818534,0.050611478,1.503134604,0.86508407,1.155957015,0,SONELO,0,,,,0.275818534,0.050613055,1.503087774,
329,DEUCRAVA,0.550472831,0.076934704,3.938669033,1.003990069,0.996025789,0,SONELO,0,,,,0.550472831,0.076937486,3.938526612,
330,ETA,0.419069316,0.325818891,0.539008316,0.128415644,7.787213233,0,SONELO,0,,,,0.419069316,0.325820397,0.539005824,
331,FUM,0.171345683,0.075158217,0.390633838,0.420452854,2.378387945,0,SONELO,0,,,,0.171345683,0.075159356,0.390627923,
332,GUSEL,0.948342521,0.751055289,1.19745317,0.118998202,8.403488307,0,SONELO,0,,,,0.948342521,0.751058508,1.197448039,
333,IFX,1.971886828,0.790904095,4.916320051,0.466106851,2.145430811,0,SONELO,0,,,,1.971886828,0.790917372,4.91623752,
334,IXE,1.187795092,0.933720027,1.511006662,0.122794575,8.143682241,0,SONELO,0,,,,1.187795092,0.933724156,1.510999979,
335,MTX,0.273154736,0.054154852,1.377780694,0.825607581,1.211229187,0,SONELO,0,,,,0.273154736,0.054156462,1.377739728,
336,NETA,0.176652934,0.07746962,0.402819309,0.420561794,2.377771862,0,SONELO,0,,,,0.176652934,0.077470794,0.402813208,
337,PBO,0.039357478,0.029782193,0.052011317,0.142232314,7.030751126,0,SONELO,1,0.015333701,0.000969902,0.24241873,0.03974155,0.030029935,0.05259388,0.501148689
338,RISAN,1.130980251,0.887705784,1.440923729,0.123571251,8.092497208,0,SONELO,0,,,,1.130980251,0.887709734,1.440917317,
339,SECU,1.033175931,0.825087798,1.293744141,0.11474641,8.714869615,0,SONELO,1,1.038249197,0.828767685,1.300679809,0.306147059,0.008784469,10.66951418,0.501148689
340,TILDRA,0.730384766,0.522187023,1.021591658,0.171196769,5.841231746,0,SONELO,0,,,,0.730384767,0.522190243,1.021585359,
341,USK,0.743644338,0.589709801,0.937761083,0.11833282,8.450740888,0,SONELO,0,,,,0.743644338,0.589712314,0.937757087,
342,ADA,3.98223549,1.798730726,8.816327686,0.405490857,2.466146854,0,FUM,0,,,,3.982235488,1.798756992,8.816198936,
343,APRE,1.765056577,0.686450817,4.538452924,0.481838492,2.075384216,0,FUM,0,,,,1.765056577,0.68646273,4.538374168,
344,BIME,6.949803739,3.139384659,15.38510799,0.405452351,2.466381062,0,FUM,0,,,,6.949803733,3.139430497,15.38488333,
345,BRODA,5.534030841,2.494081839,12.27926721,0.406630507,2.459235064,0,FUM,0,,,,5.534030838,2.494118362,12.27908738,
346,CERTO,3.0486458,1.317322512,7.055403007,0.428110314,2.335846551,0,FUM,0,,,,3.0486458,1.317342822,7.055294228,
347,CICLO,1.609719779,0.295888521,8.75734467,0.864200319,1.157139124,0,FUM,0,,,,1.609719779,0.295897731,8.757072109,
348,DEUCRAVA,3.212644887,0.39472299,26.14767174,1.069727348,0.934817645,0,FUM,0,,,,3.212644885,0.394738198,26.14666435,
349,ETA,2.445753576,1.102875962,5.423738263,0.406342861,2.46097593,0,FUM,0,,,,2.445753575,1.102892101,5.42365889,
350,GUSEL,5.534674157,2.502754813,12.23956013,0.404918696,2.469631582,0,FUM,0,,,,5.534674154,2.502791309,12.23938164,
351,IFX,11.50823761,3.573829277,37.05815879,0.596645635,1.676036731,0,FUM,0,,,,11.5082376,3.57390607,37.05736247,
352,IXE,6.93215653,3.131222667,15.34697442,0.405483365,2.466192416,0,FUM,0,,,,6.932156523,3.131268389,15.34675029,
353,MTX,1.594173436,0.316630306,8.026360388,0.824681527,1.212589305,0,FUM,1,2.000000001,0.191405907,20.8979967,1.298985515,0.139722186,12.07656002,0.793850465
354,NETA,1.030973941,0.344251366,3.087590562,0.559636278,1.786874869,0,FUM,0,,,,1.030973941,0.344258304,3.08752833,
355,PBO,0.229696349,0.105768777,0.498827862,0.395664721,2.527392377,0,FUM,1,0.223715415,0.100487789,0.498056403,0.344446358,0.014962299,7.92948277,0.793850465
356,RISAN,6.600576298,2.977886071,14.63038089,0.406093513,2.462487006,0,FUM,0,,,,6.600576296,2.977929622,14.63016692,
357,SECU,6.029775103,2.728430196,13.32568004,0.404583311,2.471678818,0,FUM,0,,,,6.029775098,2.728469949,13.32548587,
358,SONELO,5.836155221,2.55994208,13.305265,0.420452854,2.378387945,0,FUM,0,,,,5.836155219,2.559980842,13.30506353,
359,TILDRA,4.262638868,1.86946861,9.71938765,0.420527651,2.377964914,0,FUM,0,,,,4.262638867,1.869496923,9.719240449,
360,USK,4.340023787,1.963221881,9.594334012,0.40474127,2.470714195,0,FUM,0,,,,4.340023785,1.963250497,9.594194159,
361,ADA,0.934218359,0.722170428,1.208529052,0.13135155,7.613157183,0,TILDRA,0,,,,0.934218359,0.722173845,1.208523333,
362,APRE,0.414076029,0.23223597,0.738296304,0.295048794,3.389269906,0,TILDRA,0,,,,0.414076029,0.232238438,0.738288458,
363,BIME,1.630399373,1.263068652,2.104558696,0.130245306,7.677819855,0,TILDRA,0,,,,1.630399372,1.263074577,2.104548821,
364,BRODA,1.298264059,0.997106667,1.690380401,0.134655898,7.426336438,0,TILDRA,0,,,,1.298264059,0.997111503,1.690372202,
365,CERTO,0.715201521,0.501128164,1.020723343,0.181480849,5.510223271,0,TILDRA,0,,,,0.715201521,0.50113144,1.020716672,
366,CICLO,0.377634566,0.069289331,2.058150425,0.865120426,1.155908437,0,TILDRA,0,,,,0.377634566,0.06929149,2.0580863,
367,DEUCRAVA,0.753675126,0.105328019,5.392925827,1.004021395,0.995994712,0,TILDRA,0,,,,0.753675126,0.105331828,5.392730812,
368,ETA,0.573765138,0.45790072,0.718947184,0.115085588,8.689185299,0,TILDRA,1,0.568075694,0.449039379,0.718667469,0.64361101,0.28966881,1.430030153,0.768761931
369,FUM,0.234596463,0.10288714,0.534911362,0.420527651,2.377964914,0,TILDRA,0,,,,0.234596463,0.102888698,0.534903261,
370,GUSEL,1.298414979,1.010628375,1.668151716,0.127842848,7.822103562,0,TILDRA,0,,,,1.298414979,1.010633028,1.668144034,
371,IFX,2.699791834,1.084193564,6.722854837,0.465478684,2.14832609,0,TILDRA,0,,,,2.699791833,1.08421174,6.722742129,
372,IXE,1.6262594,1.269776256,2.082823353,0.126245828,7.921053829,0,TILDRA,0,,,,1.626259399,1.269782029,2.082813879,
373,MTX,0.373987449,0.074140112,1.886517398,0.825645675,1.211173303,0,TILDRA,0,,,,0.373987449,0.074142317,1.886461302,
374,NETA,0.24186284,0.106051318,0.55159742,0.420636572,2.377349159,0,TILDRA,0,,,,0.24186284,0.106052924,0.551589063,
375,PBO,0.053885951,0.040758377,0.071241692,0.142453269,7.019845918,0,TILDRA,3,0.05797744,0.02776566,0.121062622,0.053227625,0.03936338,0.071975019,0.833239557
376,RISAN,1.548471851,1.19286731,2.010085324,0.133116647,7.512208419,0,TILDRA,0,,,,1.548471851,1.192873029,2.010075686,
377,SECU,1.41456391,1.102614825,1.814768865,0.127110622,7.867163116,0,TILDRA,0,,,,1.414563909,1.102619873,1.814760555,
378,SONELO,1.36914137,0.978864688,1.915022694,0.171196769,5.841231746,0,TILDRA,0,,,,1.36914137,0.978870724,1.915010886,
379,USK,1.018154228,0.793292535,1.306753797,0.127323794,7.853991515,0,TILDRA,0,,,,1.018154228,0.793296173,1.306747804,
