studlab,treat1,treat2,TE,seTE,n1,n2,rob,type_outcome1,TE2,treat1_2,treat2_2,seTE2,type_outcome2,year_publication,r1,r2,z1,z2,male,sample_size,n21,n22,perc of males,age,year
147,PBO,SECU,-3.885,0.995,45.0,46.0,1.0,binary,-1.588,PBO,SECU,1.535,binary,2020.0,0.0,34.0,0.0,2.0,61.0,91,45.0,46.0,0.67032967,47.5,2020.0
148,PBO,SECU,3.692,1.403,71.0,143.0,1.0,binary,1.393,PBO,SECU,1.216,binary,2020.0,1.0,98.0,2.0,1.0,133.0,214,71.0,143.0,0.621495327,.,2020.0
149,CERTO,PBO,-3.953,0.703,53.0,26.0,1.0,binary,,CERTO,PBO,,binary,2020.0,40.0,0.0,,1.0,99.0,127,53.0,26.0,0.779527559,50,2020.0
150,PBO,SECU,-0.096,0.038,135.0,272.0,1.0,binary,-0.804,PBO,SECU,0.775,binary,2020.0,2.0,210.0,2.0,9.0,412.0,543,135.0,272.0,0.758747698,40.5,2020.0
151,GUSEL,SECU,-2.12,0.392,534.0,514.0,1.0,binary,,GUSEL,SECU,,binary,2019.0,369.0,391.0,,,707.0,1048,534.0,514.0,0.674618321,46,2019.0
152,FUM,RISAN,1.099,0.197,60.0,60.0,2.0,binary,0.693,FUM,RISAN,1.211,binary,2020.0,6.0,50.0,2.0,1.0,71.0,120,60.0,60.0,0.591666667,42.5,2020.0
153,BRODA,FUM,,,105.0,105.0,3.0,binary,1.099,BRODA,FUM,1.146,binary,2020.0,69.0,23.0,3.0,1.0,145.0,210,105.0,105.0,0.69047619,.,2020.0
154,APRE,PBO,-0.257,0.048,201.0,102.0,1.0,binary,0.015,APRE,PBO,1.219,binary,2020.0,,,2.0,1.0,187.0,303,201.0,102.0,0.617161716,47,2020.0
155,GUSEL,IXE,-3.429,1.407,507.0,520.0,1.0,binary,-0.182,GUSEL,IXE,0.368,binary,2020.0,285.0,378.0,13.0,16.0,652.0,1027,507.0,520.0,0.634858812,49,2020.0
156,PBO,SECU,0.117,0.073,28.0,54.0,1.0,binary,,PBO,SECU,,binary,2020.0,0.0,29.0,,,52.0,102,28.0,54.0,0.509803922,44.5,2020.0
157,RISAN,SECU,2.285,0.367,164.0,163.0,2.0,binary,0.399,RISAN,SECU,0.515,binary,2020.0,121.0,107.0,9.0,6.0,213.0,327,164.0,163.0,0.651376147,47,2020.0
158,MIRI,PBO,,,423.0,107.0,1.0,,-0.458,MIRI,PBO,0.83,binary,2020.0,272.0,7.0,5.0,2.0,373.0,530,423.0,107.0,0.703773585,46.5,2020.0
