studlab,name,year,treat,nz,r,z1,age,perc_male,weight,pasi_score,rob,effect_size1,effect_size2
53,Reich_2012,2012,PBO,58,1,1,43.0,0.698863636,82.0,21.0,1,RR,RR
56,Yang_2012,2012,ATA,84,48,1,40.0,0.736434109,68.0,,3,RR,RR
56,Yang_2012,2012,PBO,45,0,0,40.0,0.736434109,68.0,,3,RR,RR
59,Meffert_1997,1997,CSA,84,0,5,,#VALUE!,,16.0,3,RR,RR
59,Meffert_1997,1997,PBO,43,0,0,,#VALUE!,,16.0,3,RR,RR
60,Zhu_2013_LOTUS,2013,AIL1223,160,0,1,40.0,0.770186335,70.0,23.0,2,RR,RR
60,Zhu_2013_LOTUS,2013,PBO,162,0,1,40.0,0.770186335,70.0,23.0,2,RR,RR
67,Paul_2015_ESTEEM-2,2015,PBO,138,2,3,45.5,0.668280872,91.0,19.5,1,RR,RR
67,Paul_2015_ESTEEM-2,2015,SM,275,24,5,45.5,0.668280872,91.0,19.5,1,RR,RR
69,Bachelez_2015,2015,ATA,336,108,7,44.0,0.667269439,82.0,20.0,1,RR,RR
69,Bachelez_2015,2015,PBO,108,1,2,44.0,0.667269439,82.0,20.0,1,RR,RR
69,Bachelez_2015,2015,SM,662,188,12,44.0,0.667269439,82.0,20.0,1,RR,RR
70,Papp_2015_OPT Pivotal-1,2015,PBO,177,10,5,46.0,0.713651498,85.0,20.0,2,RR,RR
70,Papp_2015_OPT Pivotal-1,2015,SM,723,214,18,46.0,0.713651498,85.0,20.0,2,RR,RR
71,Papp_2015_OPT Pivotal-2,2015,PBO,196,10,2,45.0,0.675,86.0,20.0,2,RR,RR
71,Papp_2015_OPT Pivotal-2,2015,SM,763,237,16,45.0,0.675,86.0,20.0,2,RR,RR
72,Gordon_2015_X-PLORE,2015,AIL23,208,97,3,47.0,0.706484642,92.0,21.0,3,RR,RR
72,Gordon_2015_X-PLORE,2015,ATA,43,19,1,47.0,0.706484642,92.0,21.0,3,RR,RR
72,Gordon_2015_X-PLORE,2015,PBO,42,1,1,47.0,0.706484642,92.0,21.0,3,RR,RR
73,Griffith_2015_UNCOVER2,2015,AIL17,698,455,13,45.0,0.670751634,91.0,21.0,1,RR,RR
73,Griffith_2015_UNCOVER2,2015,ATA,358,67,8,45.0,0.670751634,91.0,21.0,1,RR,RR
