unique_id,name,treat,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,_merge
35,Fallaharani_2011,MTX,,30,H,2,30,2011,0,60,42,36,16.5,;,85,16.5,50,29,33,4,Matched (3)
35,Fallaharani_2011,FUM,,30,H,1,30,2011,0,60,42,36,16.5,;,85,16.5,50,29,33,4,Matched (3)
38,Leonardi_2012,PBO,1,27,L,0,27,2012,0,142,46,81,16,.,93,18,,,,.,Matched (3)
38,Leonardi_2012,IXE,2,115,L,57,115,2012,0,142,46,81,16,.,93,18,,,,.,Matched (3)
40,EXPRESS-II_2007,PBO,5,208,L,1,208,2007,0,835,44,551,18,.,92,20,768,,,117,Matched (3)
40,EXPRESS-II_2007,IFX,12,627,L,258,627,2007,0,835,44,551,18,.,92,20,768,,,117,Matched (3)
42,Gottlieb_2004a,IFX,12,198,L,102,198,2004,0,249,44,174,17,.,,19,226,171,216,81,Matched (3)
42,Gottlieb_2004a,PBO,0,51,L,1,51,2004,0,249,44,174,17,.,,19,226,171,216,81,Matched (3)
50,Hunter_1963,PBO,,17,H,0,17,1963,0,41,,,,.,,,,,,.,Matched (3)
50,Hunter_1963,MTX,,19,H,1,19,1963,0,41,,,,.,,,,,,.,Matched (3)
52,Reich_2012a,CERTO,7,118,L,50,118,2012,0,176,43,123,20,27,82,21,,,,41,Matched (3)
52,Reich_2012a,PBO,1,58,L,1,58,2012,0,176,43,123,20,27,82,21,,,,41,Matched (3)
55,Yang_2012,IFX,1,84,H,48,84,2012,0,129,40,95,16,.,68,,,,,.,Matched (3)
55,Yang_2012,PBO,0,45,H,0,45,2012,0,129,40,95,16,.,68,,,,,.,Matched (3)
58,Meffert_1997,PBO,0,43,H,,43,1997,0,127,,,,.,,16,,,,.,Matched (3)
58,Meffert_1997,CICLO,5,84,H,,84,1997,0,127,,,,.,,16,,,,.,Matched (3)
59,LOTUS_2013,PBO,1,162,M,,162,2013,0,322,40,248,14,.,70,23,309,120,132,30,Matched (3)
59,LOTUS_2013,USK,1,160,M,,160,2013,0,322,40,248,14,.,70,23,309,120,132,30,Matched (3)
66,ESTEEM-2_2015,APRE,5,275,L,24,275,2015,0,413,45.5,276,18.5,31,91,19.5,,,159,136,Matched (3)
66,ESTEEM-2_2015,PBO,3,138,L,2,138,2015,0,413,45.5,276,18.5,31,91,19.5,,,159,136,Matched (3)
67,Bachelez_2015,PBO,2,108,L,1,108,2015,0,444,44,304,17.5,.,81,19.5,,318,,49,Matched (3)
67,Bachelez_2015,ETA,7,336,L,108,336,2015,0,444,44,304,17.5,.,81,19.5,,318,,49,Matched (3)
68,Gordon_2015_X-PLORE,PBO,1,42,H,1,42,2015,0,293,47,207,19,31,92,21,283,154,147,126,Matched (3)
68,Gordon_2015_X-PLORE,ADA,1,43,H,19,43,2015,0,293,47,207,19,31,92,21,283,154,147,126,Matched (3)
68,Gordon_2015_X-PLORE,GUSEL,3,208,H,97,208,2015,0,293,47,207,19,31,92,21,283,154,147,126,Matched (3)
69,UNCOVER-2_2015,ETA,8,358,L,67,358,2015,0,1224,45,821,19,31,91,21,1007,570,606,288,Matched (3)
69,UNCOVER-2_2015,IXE,13,698,L,455,698,2015,0,1224,45,821,19,31,91,21,1007,570,606,288,Matched (3)
69,UNCOVER-2_2015,PBO,2,168,L,1,168,2015,0,1224,45,821,19,31,91,21,1007,570,606,288,Matched (3)
