unique_id,studlab,rob,treat1,treat2,n1,n2,r1,r2,z1,z2
43,Gottlieb_2004,L,IFX,PBO,99,51,57,1,8,0
43,Gottlieb_2004,L,IFX,PBO,99,51,45,1,4,0
43,Gottlieb_2004,L,IFX,IFX,99,99,57,45,8,4
44,Nugteren-Huying_1990,H,FUM,PBO,.,.,6,0,.,.
45,Bisonnette_2013,M,ADA,PBO,20,10,.,.,2,0
46,Dogra_2013,H,ACI,ACI,20,41,1,7,.,.
47,Ruzicka_1991,H,ACI,PBO,42,40,16,6,.,.
48,Sommerburg_1993,H,ACI,PBO,44,44,28,19,3,3
49,Sterry_2010_PRESTA,L,ETA,ETA,.,.,.,.,11,15
50,Chladek_2005,H,METHO,METHO,19,21,.,.,.,.
51,Hunter_1963,H,METHO,PBO,19,17,1,0,0,0
52,Piskin_2003,H,METHO,CICLO,5,5,.,.,.,.
53,Reich_2012,L,CERTO,PBO,59,58,23,1,2,1
53,Reich_2012,L,CERTO,PBO,59,58,27,1,5,1
53,Reich_2012,L,CERTO,CERTO,59,59,23,27,2,5
54,Saurat_1988,H,ACI,PBO,.,.,17,16,1,1
55,Shehzad_2004,H,METHO,PBO,20,20,.,.,.,.
56,Yang_2012,H,IFX,PBO,84,45,48,0,1,0
57,Dubertret_1989,H,CICLO,CICLO,18,19,.,.,.,.
58,Engst_1989,H,CICLO,CICLO,10,12,.,.,.,.
59,Meffert_1997,H,CICLO,PBO,84,43,.,.,5,0
60,Zhu_2013_LOTUS,M,USK,PBO,160,162,.,.,1,1
61,Goldfarb_1998,H,ACI,PBO,10,12,.,.,.,.
61,Goldfarb_1998,H,ACI,PBO,16,12,.,.,.,.
61,Goldfarb_1998,H,ACI,ACI,10,16,.,.,.,.
62,Lowe_1991,H,ACI,PBO,16,18,.,.,.,.
63,Olsen_1989,H,ACI,PBO,10,5,.,.,.,.
64,Tanew_1991,H,ACI,PBO,30,30,.,.,.,.
65,Yilmaz_2002,H,ACI,PBO,25,25,23,23,1,0
66,Strohal_2013_PRISTINE,L,ETA,ETA,137,136,45,66,4,3
67,Paul_2015_ESTEEM-2,L,APRE,PBO,275,138,24,2,5,3
68,Bisonnette_2015,M,TOFA,TOFA,336,338,74,140,6,11
69,Bachelez_2015,L,TOFA,PBO,330,108,69,1,7,2
69,Bachelez_2015,L,TOFA,PBO,332,108,119,1,5,2
69,Bachelez_2015,L,ETA,PBO,336,108,108,1,7,2
69,Bachelez_2015,L,TOFA,TOFA,330,332,69,119,7,5
69,Bachelez_2015,L,TOFA,ETA,330,336,69,108,7,7
69,Bachelez_2015,L,TOFA,ETA,332,336,119,108,5,7
70,Papp_2015_OPT Pivotal-1,M,TOFA,PBO,363,177,72,10,8,5
