"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob.x","year.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","bmi.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","previous_bio.x","X_merge.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","z11.x","z12.x","n.orig1.x","n.orig2.x","r1.x","r2.x","n.orig.11.x","n.orig.12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","bmi.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","previous_bio.y","X_merge.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","z11.y","z12.y","n.orig1.y","n.orig2.y","r1.y","r2.y","n.orig.11.y","n.orig.12.y","n2.1","n2.2","year","rob"
"47","70","ETA","PBO",2.11047758974083,0.411183170985803,98,382,6,193,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","ETA","PBO",5,5,382,193,98,6,382,193,382,193,-0.682730419701689,0.626259412546127,5,382,5,193,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","ETA","PBO",5,5,382,193,98,6,382,193,382,193,2015,"L"
"48","70","PBO","IXE",-3.06546561156867,0.402658450733394,6,193,514,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","PBO","IXE",5,15,193,771,6,514,193,771,193,771,0.286385895990334,0.510086563884198,5,193,15,771,0,FALSE,70,"UNCOVER-3_2015","L",2015,0,1346,46,918,18,"30.5",91,21,1063,522,615,"209","Matched (3)","RR","RR","PBO","IXE",5,15,193,771,6,514,193,771,193,771,2015,"L"
"49","72","USK","SECU",-0.319176091269519,0.0552450394181968,193,339,264,337,0,FALSE,72,"CLEAR_2015","L",2015,0,676,45,481,18,"29",87,22,NA,NA,441,"92","Matched (3)","RR","RR","USK","SECU",10,10,339,337,193,264,339,337,339,337,-0.00591717702808862,0.440548281624364,10,339,10,337,0,FALSE,72,"CLEAR_2015","L",2015,0,676,45,481,18,"29",87,22,NA,NA,441,"92","Matched (3)","RR","RR","USK","SECU",10,10,339,337,193,264,339,337,339,337,2015,"L"
"50","73","SECU","PBO",4.06405504039512,1.41170134556545,57,121,0,61,0.5,FALSE,73,"JUNCTURE_2015","L",2015,0,182,45,125,21,".",91,20,NA,NA,90,"43","Matched (3)","RR","RR","SECU","PBO",4,1,121,61,57,0,121,61,121,61,0.701377679696461,1.10695171284349,4,121,1,61,0,FALSE,73,"JUNCTURE_2015","L",2015,0,182,45,125,21,".",91,20,NA,NA,90,"43","Matched (3)","RR","RR","SECU","PBO",4,1,121,61,57,0,121,61,121,61,2015,"L"
"51","74","PBO","BRODA",-4.22913355300021,0.705319207765236,2,220,186,298,0,FALSE,74,"AMAGINE-1 2016","L",2016,0,661,46,484,20,".",91,20,NA,NA,NA,"305","Matched (3)","RR","RR","PBO","BRODA",3,6,220,298,2,186,220,298,220,298,-0.389681240406902,0.701497570028977,3,220,6,298,0,FALSE,74,"AMAGINE-1 2016","L",2016,0,661,46,484,20,".",91,20,NA,NA,NA,"305","Matched (3)","RR","RR","PBO","BRODA",3,6,220,298,2,186,220,298,220,298,2016,"L"
"52","75","PBO","BRODA",-3.06908142437372,0.990181626270752,1,38,64,113,0,FALSE,75,"Nakagawa_2016","H",2015,0,151,45,120,15,".",74,26,NA,NA,NA,"16","Matched (3)","RR","RR","PBO","BRODA",1,3,38,113,1,64,38,113,38,113,-0.00881062968215492,1.13937175071946,1,38,3,113,0,FALSE,75,"Nakagawa_2016","H",2015,0,151,45,120,15,".",74,26,NA,NA,NA,"16","Matched (3)","RR","RR","PBO","BRODA",1,3,38,113,1,64,38,113,38,113,2015,"H"
"53","76","PBO","BRODA",-2.91692550392194,0.311950977712573,10,309,731,1222,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","PBO","BRODA",8,19,309,1222,10,731,309,1222,309,1222,0.509905425347191,0.416625734187305,8,309,19,1222,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","PBO","BRODA",8,19,309,1222,10,731,309,1222,309,1222,2015,"M"
"54","76","PBO","USK",-2.67573359962567,0.317053022842449,10,309,141,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","PBO","USK",8,4,309,300,10,141,309,300,309,300,0.663588378318401,0.606984695615939,8,309,4,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","PBO","USK",8,4,309,300,10,141,309,300,309,300,2015,"M"
"55","76","USK","BRODA",-0.241191904296271,0.0656393456605857,141,300,731,1222,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","USK","BRODA",4,19,300,1222,141,731,300,1222,300,1222,-0.15368295297121,0.546333153861699,4,300,19,1222,0,FALSE,76,"AMAGINE-2_2015","M",2015,0,1831,45,1258,19,"31",91,20,NA,NA,NA,"530","Matched (3)","RR","RR","USK","BRODA",4,19,300,1222,141,731,300,1222,300,1222,2015,"M"
"56","77","USK","BRODA",-0.237002305878159,0.0635703385459245,149,313,756,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","USK","BRODA",2,19,313,1253,149,756,313,1253,313,1253,-0.86419903425058,0.740701428492944,2,313,19,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","USK","BRODA",2,19,313,1253,149,756,313,1253,313,1253,2015,"M"
"57","77","USK","PBO",3.40087784179684,0.447595708248478,149,313,5,315,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","USK","PBO",2,3,313,315,149,5,313,315,313,315,-0.399095659822685,0.909375523081536,2,313,3,315,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","USK","PBO",2,3,313,315,149,5,313,315,313,315,2015,"M"
"58","77","PBO","BRODA",-3.637880147675,0.44424099715265,5,315,756,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","PBO","BRODA",3,19,315,1253,5,756,315,1253,315,1253,-0.465103374427895,0.618055195358094,3,315,19,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,0,1881,45,1288,18,"30",89,20,NA,NA,NA,"468","Matched (3)","RR","RR","PBO","BRODA",3,19,315,1253,5,756,315,1253,315,1253,2015,"M"
"59","78","PBO","TILDRA",-2.74926046974887,0.992244139884098,1,46,105,309,0,FALSE,78,"Papp_2015","M",2015,0,355,45,270,NA,"29",NA,NA,NA,NA,NA,"95","Matched (3)","RR","RR","PBO","TILDRA",0,4,46,309,1,105,46,309,46,309,-0.301718797804879,1.48239192796896,0,46,4,309,0.5,FALSE,78,"Papp_2015","M",2015,0,355,45,270,NA,"29",NA,NA,NA,NA,NA,"95","Matched (3)","RR","RR","PBO","TILDRA",0,4,46,309,1,105,46,309,46,309,2015,"M"
"60","79","ETA","IFX",-2.21920348405499,1.00822702757387,1,23,10,25,0,FALSE,79,"PIECE_2016","H",2016,0,48,44,31,20,".",NA,17,NA,NA,NA,".","Matched (3)","RR","RR","ETA","IFX",1,1,23,25,1,10,23,25,23,25,0.083381608939051,1.38438496782161,1,23,1,25,0,FALSE,79,"PIECE_2016","H",2016,0,48,44,31,20,".",NA,17,NA,NA,NA,".","Matched (3)","RR","RR","ETA","IFX",1,1,23,25,1,10,23,25,23,25,2016,"H"
"61","80","PBO","ADA",-2.7806918973334,0.569385326044045,3,87,188,338,0,FALSE,80,"Cai_2016","L",2016,0,425,43,312,15,"24",70,28,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ADA",3,4,87,338,3,188,87,338,87,338,1.06945570437665,0.754241672528185,3,87,4,338,0,FALSE,80,"Cai_2016","L",2016,0,425,43,312,15,"24",70,28,NA,NA,NA,".","Matched (3)","RR","RR","PBO","ADA",3,4,87,338,3,188,87,338,87,338,2016,"L"
"62","81","PBO","SECU",-2.28867666294791,1.38464493382589,0,10,42,90,0.5,FALSE,81,"Reich_2015","L",2015,0,100,NA,NA,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",0,7,10,90,0,42,10,90,10,90,-0.554075607559807,1.4237434861443,0,10,7,90,0.5,FALSE,81,"Reich_2015","L",2015,0,100,NA,NA,NA,".",NA,NA,NA,NA,NA,".","Matched (3)","RR","RR","PBO","SECU",0,7,10,90,0,42,10,90,10,90,2015,"L"
"63","84","PBO","ETA",-2.76725537626442,1.00424347116052,1,68,33,141,0,FALSE,84,"Gottlieb_2011","L",2011,0,209,43.5,145,18,".",95,19,192,53,56,"30","Matched (3)","RR","RR","PBO","ETA",1,1,68,141,1,33,68,141,68,141,0.729252185202062,1.40648566258796,1,68,1,141,0,FALSE,84,"Gottlieb_2011","L",2011,0,209,43.5,145,18,".",95,19,192,53,56,"30","Matched (3)","RR","RR","PBO","ETA",1,1,68,141,1,33,68,141,68,141,2011,"L"
"64","85","PBO","ETA",-1.53941676322158,0.59100527652227,3,72,27,139,0,FALSE,85,"Strober_2011","L",2011,0,211,45,131,15,".",95,18,202,39,64,"14","Matched (3)","RR","RR","PBO","ETA",2,1,72,139,3,27,72,139,72,139,1.35095499467458,1.21610725945814,2,72,1,139,0,FALSE,85,"Strober_2011","L",2011,0,211,45,131,15,".",95,18,202,39,64,"14","Matched (3)","RR","RR","PBO","ETA",2,1,72,139,3,27,72,139,72,139,2011,"L"
"65","86","IXE","PBO",4.98355119218894,0.705854255255734,586,865,2,431,0,FALSE,86,"UNCOVER-1_2016","L",2016,0,1296,46,883,20,".",92,20,NA,1261,684,"522","Matched (3)","RR","RR","IXE","PBO",18,5,865,431,586,2,865,431,865,431,0.584312428633933,0.502074994972409,18,865,5,431,0,FALSE,86,"UNCOVER-1_2016","L",2016,0,1296,46,883,20,".",92,20,NA,1261,684,"522","Matched (3)","RR","RR","IXE","PBO",18,5,865,431,586,2,865,431,865,431,2016,"L"
"66","87","PBO","MTX",-2.36455885253078,1.41978124856355,0,29,16,91,0.5,FALSE,87,"METOP_2017","L",2016,0,120,45,100,18,"30",93,15,NA,8,36,"6","Matched (3)","RR","RR","PBO","MTX",4,1,29,91,0,16,29,91,29,91,2.52985803765027,1.09751001379956,4,29,1,91,0,FALSE,87,"METOP_2017","L",2016,0,120,45,100,18,"30",93,15,NA,8,36,"6","Matched (3)","RR","RR","PBO","MTX",4,1,29,91,0,16,29,91,29,91,2016,"L"
"67","88","PBO","FUM",-1.49738050351838,0.408343500613986,6,138,110,566,0,FALSE,88,"BRIDGE_2017","H",2016,0,704,44.5,452,NA,".",NA,16,NA,NA,NA,".","Matched (3)","RR","RR","PBO","FUM",5,17,138,566,6,110,138,566,138,566,0.187564961423863,0.499810332173989,5,138,17,566,0,FALSE,88,"BRIDGE_2017","H",2016,0,704,44.5,452,NA,".",NA,16,NA,NA,NA,".","Matched (3)","RR","RR","PBO","FUM",5,17,138,566,6,110,138,566,138,566,2016,"H"
"68","91","APRE","PBO",1.99243016469021,1.0150384378451,22,264,1,88,0,FALSE,91,"Papp_2012c","L",2012,0,352,44,221,19,"31",92,18.5,NA,NA,176,".","Matched (3)","RR","RR","APRE","PBO",7,2,264,88,22,1,264,88,264,88,0.154150679827258,0.792278756313476,7,264,2,88,0,FALSE,91,"Papp_2012c","L",2012,0,352,44,221,19,"31",92,18.5,NA,NA,176,".","Matched (3)","RR","RR","APRE","PBO",7,2,264,88,22,1,264,88,264,88,2012,"L"
"69","92","APRE","PBO",NA,NA,NA,173,NA,87,0,FALSE,92,"Papp_2013b","H",2013,0,260,46,163,19,".",NA,19.5,NA,NA,NA,".","Matched (3)","RR","RR","APRE","PBO",2,4,173,87,NA,NA,173,87,173,87,-1.38053065640314,0.855993808567344,2,173,4,87,0,FALSE,92,"Papp_2013b","H",2013,0,260,46,163,19,".",NA,19.5,NA,NA,NA,".","Matched (3)","RR","RR","APRE","PBO",2,4,173,87,NA,NA,173,87,173,87,2013,"H"
"70","93","ETA","APRE",0.348306694268216,0.343599297442427,17,83,12,83,0,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","ETA","APRE",2,3,83,83,17,12,83,83,83,83,-0.336472236621213,0.813487670408042,2,83,3,83,0.5,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","ETA","APRE",2,3,83,83,17,12,83,83,83,83,2016,"M"
"71","93","ETA","PBO",1.74657724643482,0.606798078498319,17,83,3,84,0,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","ETA","PBO",2,0,83,84,17,3,83,84,83,84,1.62134281494042,1.54148942019372,2,83,0,84,0.5,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","ETA","PBO",2,0,83,84,17,3,83,84,83,84,2016,"M"
"72","93","PBO","APRE",-1.39827055216661,0.626668741833212,3,84,12,83,0,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","PBO","APRE",0,3,84,83,3,12,84,83,84,83,-1.95781505156163,1.50396273832947,0,84,3,83,0.5,FALSE,93,"LIBERATE_2017","M",2016,0,250,45,157,18,"29.5",88.5,19.5,NA,NA,194,"","Matched (3)","RR","RR","PBO","APRE",0,3,84,83,3,12,84,83,84,83,2016,"M"
"73","94","GUSEL","ADA",0.38789238734544,0.0643424302077852,241,329,166,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","GUSEL","ADA",8,6,329,334,241,166,329,334,329,334,0.30276531466311,0.534446574516862,8,329,6,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","GUSEL","ADA",8,6,329,334,241,166,329,334,329,334,2016,"L"
"74","94","GUSEL","PBO",3.23835656950571,0.441998571806254,241,329,5,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","GUSEL","PBO",8,3,329,174,241,5,329,174,329,174,0.343826801460883,0.670482433191758,8,329,3,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","GUSEL","PBO",8,3,329,174,241,5,329,174,329,174,2016,"L"
"75","94","ADA","PBO",2.85046418216027,0.444165462381659,166,334,5,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","ADA","PBO",6,3,334,174,166,5,334,174,334,174,0.0410614867977739,0.700898610062233,6,334,3,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,0,837,44,608,17.5,"30",NA,22,762,454,517,"175","Matched (3)","RR","RR","ADA","PBO",6,3,334,174,166,5,334,174,334,174,2016,"L"
"76","95","PBO","ADA",-2.96183072187831,0.408928893810167,6,248,116,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","PBO","ADA",3,6,248,248,6,116,248,248,248,248,-0.693147180559945,0.701381125972868,3,248,6,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","PBO","ADA",3,6,248,248,6,116,248,248,248,248,2016,"L"
"77","95","PBO","GUSEL",-3.36441813015886,0.404351485653628,6,248,347,496,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","PBO","GUSEL",3,8,248,496,6,347,248,496,248,496,-0.287682072451781,0.672521335153435,3,248,8,496,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","PBO","GUSEL",3,8,248,496,6,347,248,496,248,496,2016,"L"
"78","95","GUSEL","ADA",0.402587408280549,0.0738521965739793,347,496,116,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","GUSEL","ADA",8,6,496,248,347,116,496,248,496,248,-0.405465108108164,0.534432670754598,8,496,6,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,0,992,44,692,18,"30",NA,22,947,565,639,"204","Matched (3)","RR","RR","GUSEL","ADA",8,6,496,248,347,116,496,248,496,248,2016,"L"
"79","97","USK","SECU",-0.345819028342274,0.0457165451055175,299,552,421,550,0,FALSE,97,"CLARITY_2018","L",2018,0,1102,45,732,17,".",92,21,NA,NA,NA,"240","Matched (3)","RR","RR","USK","SECU",9,14,552,550,299,421,552,550,552,550,-0.445462520329618,0.422977430270933,9,552,14,550,0,FALSE,97,"CLARITY_2018","L",2018,0,1102,45,732,17,".",92,21,NA,NA,NA,"240","Matched (3)","RR","RR","USK","SECU",9,14,552,550,299,421,552,550,552,550,2018,"L"
"80","99","ADA","PBO",1.89502079754982,0.381706912979001,47,109,7,108,0,FALSE,99,"Elewski_2016","L",2016,0,217,47,183,19,"29",90,12.5,NA,NA,NA,".","Matched (3)","RR","RR","ADA","PBO",8,5,109,108,47,7,109,108,109,108,0.460786974140812,0.553684412652312,8,109,5,108,0,FALSE,99,"Elewski_2016","L",2016,0,217,47,183,19,"29",90,12.5,NA,NA,NA,".","Matched (3)","RR","RR","ADA","PBO",8,5,109,108,47,7,109,108,109,108,2016,"L"
"81","101","RISAN","PBO",2.73222920299819,0.437348164480241,229,304,5,102,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","RISAN","PBO",7,3,304,102,229,5,304,102,304,102,-0.244757027734747,0.680512366483988,7,304,3,102,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","RISAN","PBO",7,3,304,102,229,5,304,102,304,102,2018,"L"
"82","101","RISAN","USK",0.584194869852741,0.122011730388465,229,304,42,100,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","RISAN","USK",7,8,304,100,229,42,304,100,304,100,-1.24538890804265,0.50454699401833,7,304,8,100,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","RISAN","USK",7,8,304,100,229,42,304,100,304,100,2018,"L"
"83","101","PBO","USK",-2.14803433314545,0.451669793367784,5,102,42,100,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","PBO","USK",3,8,102,100,5,42,102,100,102,100,-1.00063188030791,0.662215532711749,3,102,8,100,0,FALSE,101,"UltIMMa-1_2018 Ê","L",2018,0,506,48,361,NA,"29.5",NA,20.5,NA,NA,NA,"174","Matched (3)","RR","RR","PBO","USK",3,8,102,100,5,42,102,100,102,100,2018,"L"
"84","102","USK","PBO",3.1468480496861,0.7077934048937,47,99,2,98,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","USK","PBO",3,1,99,98,47,2,99,98,99,98,1.08845991720409,1.14587444408175,3,99,1,98,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","USK","PBO",3,1,99,98,47,2,99,98,99,98,2018,"L"
"85","102","USK","RISAN",-0.455020027438211,0.110994052295191,47,99,220,294,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","USK","RISAN",3,6,99,294,47,220,99,294,99,294,0.395312736644147,0.697493820298626,3,99,6,294,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","USK","RISAN",3,6,99,294,47,220,99,294,99,294,2018,"L"
"86","102","PBO","RISAN",-3.60186807712431,0.700671115694506,2,98,220,294,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","PBO","RISAN",1,6,98,294,2,220,98,294,98,294,-0.693147180559945,1.07380688416949,1,98,6,294,0,FALSE,102,"UltIMMa-2_2018 Ê","L",2018,0,491,47,336,NA,"31",NA,19,NA,NA,NA,"203","Matched (3)","RR","RR","PBO","RISAN",1,6,98,294,2,220,98,294,98,294,2018,"L"
"87","103","PBO","CERTO",-2.99900559889896,0.994392560751194,1,51,72,183,0,FALSE,103,"CIMPASI-1_2018","L",2018,0,234,46,162,17,"31",93,20,NA,NA,NA,"74","Matched (3)","RR","RR","PBO","CERTO",1,7,51,183,1,72,51,183,51,183,-0.668249628938218,1.05725343170196,1,51,7,183,0,FALSE,103,"CIMPASI-1_2018","L",2018,0,234,46,162,17,"31",93,20,NA,NA,NA,"74","Matched (3)","RR","RR","PBO","CERTO",1,7,51,183,1,72,51,183,51,183,2018,"L"
"88","104","CERTO","PBO",2.57076645885914,0.696060467916457,95,178,2,49,0,FALSE,104,"CIMPASI-2_2018","L",2018,0,227,45,127,17,"31",93,18,NA,NA,NA,"76","Matched (3)","RR","RR","CERTO","PBO",6,0,178,49,95,2,178,49,178,49,1.28233342581649,1.45878096119595,6,178,0,49,0.5,FALSE,104,"CIMPASI-2_2018","L",2018,0,227,45,127,17,"31",93,18,NA,NA,NA,"76","Matched (3)","RR","RR","CERTO","PBO",6,0,178,49,95,2,178,49,178,49,2018,"L"
"89","108","PBO","ADA",NA,NA,NA,31,NA,33,0,FALSE,108,"VIP trial_2018 Ê","M",2018,0,96,43,67,13,"32",NA,17,NA,29,31,"29","Matched (3)","RR","RR","PBO","ADA",0,2,31,33,NA,NA,31,33,31,33,-1.54788001943467,1.52918384178794,0,31,2,33,0.5,FALSE,108,"VIP trial_2018 Ê","M",2018,0,96,43,67,13,"32",NA,17,NA,29,31,"29","Matched (3)","RR","RR","PBO","ADA",0,2,31,33,NA,NA,31,33,31,33,2018,"M"
"90","114","PBO","GUSEL",-3.22207071576472,1.39443414006287,0,16,47,62,0.5,FALSE,114,"ORION_2020Ê","L",2019,0,78,46,53,19,"31",NA,18,NA,NA,NA,"","Matched (3)","RR","RR","PBO","GUSEL",0,2,16,62,0,47,16,62,16,62,-0.277631736598279,1.5242683291973,0,16,2,62,0.5,FALSE,114,"ORION_2020Ê","L",2019,0,78,46,53,19,"31",NA,18,NA,NA,NA,"","Matched (3)","RR","RR","PBO","GUSEL",0,2,16,62,0,47,16,62,16,62,2019,"L"
"91","116","PBO","RISAN",-3.7757064483244,0.992811043980618,1,58,85,113,0,FALSE,116,"SustaIMM_2019","L",2019,0,171,52,143,NA,"26.5",74,26,NA,NA,NA,"38","Matched (3)","RR","RR","PBO","RISAN",1,4,58,113,1,85,58,113,58,113,-0.719349552953969,1.10630423626032,1,58,4,113,0,FALSE,116,"SustaIMM_2019","L",2019,0,171,52,143,NA,"26.5",74,26,NA,NA,NA,"38","Matched (3)","RR","RR","PBO","RISAN",1,4,58,113,1,85,58,113,58,113,2019,"L"
"92","117","APRE","PBO",2.18539011968922,1.01870920321239,18,170,1,84,0,FALSE,117,"Ohtsuki_2017 Ê","L",2017,0,254,50.5,202,13,"25",70,21,NA,NA,NA,".","Matched (3)","RR","RR","APRE","PBO",4,0,170,84,18,1,170,84,170,84,1.49524081497578,1.48476355021811,4,170,0,84,0.5,FALSE,117,"Ohtsuki_2017 Ê","L",2017,0,254,50.5,202,13,"25",70,21,NA,NA,NA,".","Matched (3)","RR","RR","APRE","PBO",4,0,170,84,18,1,170,84,170,84,2017,"L"
"93","118","PBO","GUSEL",-4.50923335073228,1.40988075617075,0,64,90,128,0.5,FALSE,118,"Ohtsuki_2018","M",2018,0,192,49,145,14,"25",71,26,191,96,115,"35","Matched (3)","RR","RR","PBO","GUSEL",2,2,64,128,0,90,64,128,64,128,0.693147180559945,0.988211768802619,2,64,2,128,0,FALSE,118,"Ohtsuki_2018","M",2018,0,192,49,145,14,"25",71,26,191,96,115,"35","Matched (3)","RR","RR","PBO","GUSEL",2,2,64,128,0,90,64,128,64,128,2018,"M"
"94","120","PBO","BIME",-4.06205421496017,1.40665986259131,0,42,142,208,0.5,FALSE,120,"BE ABLE 1_2018","L",2018,0,250,44,163,15,"",88,19,NA,122,90,"58","Matched (3)","RR","RR","PBO","BIME",1,1,42,208,0,142,42,208,42,208,1.59986846141795,1.40405939471334,1,42,1,208,0,FALSE,120,"BE ABLE 1_2018","L",2018,0,250,44,163,15,"",88,19,NA,122,90,"58","Matched (3)","RR","RR","PBO","BIME",1,1,42,208,0,142,42,208,42,208,2018,"L"
"95","121","RISAN","USK",0.436717651612269,0.205873759580974,78,126,16,40,0,FALSE,121,"Papp_2017b","H",2017,0,166,46,109,NA,".",90,20,NA,NA,NA,".","Matched (3)","RR","RR","RISAN","USK",11,3,126,40,78,16,126,40,126,40,0.151880531292719,0.625544495864136,11,126,3,40,0,FALSE,121,"Papp_2017b","H",2017,0,166,46,109,NA,".",90,20,NA,NA,NA,".","Matched (3)","RR","RR","RISAN","USK",11,3,126,40,78,16,126,40,126,40,2017,"H"
"96","122","DEUCRAVA","PBO",2.6380916124953,0.993864189362139,69,222,1,45,0,FALSE,122,"Papp_2018","L",2018,0,267,45,194,15,"29",88,18,NA,NA,NA,"115","Matched (3)","RR","RR","DEUCRAVA","PBO",3,1,222,45,69,1,222,45,222,45,-0.49740260343385,1.14306894219317,3,222,1,45,0,FALSE,122,"Papp_2018","L",2018,0,267,45,194,15,"29",88,18,NA,NA,NA,"115","Matched (3)","RR","RR","DEUCRAVA","PBO",3,1,222,45,69,1,222,45,222,45,2018,"L"
