id,unique_id,studlab,naif,rob,treat,treatdose,n1,n_completers,r1,rPASI75,rPGA,rAE,rSAE,r2,n2,age,male
177,84,Cai_2016,,L,PBO,PBO,87,,3,10,13,37,3,1,87,44,929
178,85,Reich_2015,,L,PBO,PBO,10,10,0,1,,3,0,0,10,46,91
178,85,Reich_2015,,L,SECU,SECU_other,90,84,42,59,,71,7,6,90,44,306
179,86,Dogra_2012,,M,MTX,MTX_AMM,30,26,20,24,,,,,30,39,33
180,87,Laburte_1994,,H,CICLO,CICLO_AMM,132,,,117,,,17,,132,44,66
181,88,Gottlieb_2011,,L,ETA,ETA_AMM,141,141,33,79,56,76,1,1,141,46.5,55
181,88,Gottlieb_2011,,L,PBO,PBO,68,68,1,5,2,31,1,1,68,42.5,57
182,89,Strober_2011,,L,ETA,ETA_AMM,139,139,27,55,41,69,1,1,139,42.5,25
182,89,Strober_2011,,L,PBO,PBO,72,72,3,5,3,32,2,1,72,43,268
183,90,Asahina_2016,,L,TOFA,TOFA_AMM,44,44,24,32,30,28,1,1,44,45,36
185,91,Gordon_2016_UNCOVER1,,L,IXE,IXE_AMM,433,433,307,386,354,168,6,6,433,42.5,127
185,91,Gordon_2016_UNCOVER1,,L,PBO,PBO,431,431,2,17,14,122,5,5,431,46.5,573
187,92,Warren_2016_METOP,,L,MTX,MTX_AMM,91,91,16,37,25,75,1,,91,45,143
187,92,Warren_2016_METOP,,L,PBO,PBO,29,29,0,3,2,27,4,,29,44,99
188,93,Mrowietz_2016_BRIDGE,,H,FUM,FUM,566,540,110,210,190,472,17,,566,44,803
188,93,Mrowietz_2016_BRIDGE,,H,PBO,PBO,138,131,6,20,17,82,5,,138,42,178
189,94,vanbezooijen_2016,,M,FUM,FUM,18,18,,14,17,,1,1,18,40.5,69
189,94,vanbezooijen_2016,,M,PBO,PBO,15,15,,8,9,,1,1,15,.,24
190,95,Ortonne_2013,,H,ETA,ETA_AMM,38,35,,27,24,22,2,2,38,54.5,33
191,96,Krueger_2016,,L,PBO,PBO,3,3,,1,1,1,1,1,3,47.5,70
191,96,Krueger_2016,,L,TOFA,TOFA_AMM,9,8,,5,4,2,0,0,9,45,439
193,97,Papp_2012b,,L,APRE,APRE_AMM,88,88,10,36,29,55,4,4,88,45,382
192,97,Papp_2012b,,L,PBO,PBO,88,88,1,5,11,35,2,2,88,46,419
195,98,Papp_2013b,,H,APRE,APRE_other,173,173,,30,,97,2,1,173,45,84
195,98,Papp_2013b,,H,PBO,PBO,87,87,,9,,47,4,3,87,41,62
196,99,Reich_2016_LIBERATE,,M,APRE,APRE_AMM,83,83,12,33,18,58,3,3,83,44,15
197,99,Reich_2016_LIBERATE,,M,ETA,ETA_other,83,83,17,40,24,44,2,2,83,42,36
196,99,Reich_2016_LIBERATE,,M,PBO,PBO,84,84,3,10,3,50,0,0,84,44,320
201,100,Blauvelt_2016_VOYAGE1,,L,ADA,ADA_AMM,334,334,166,244,220,170,6,6,334,27,29
201,100,Blauvelt_2016_VOYAGE1,,L,GUSEL,GUSEL_AMM,329,329,241,300,280,170,8,8,329,46,81
200,100,Blauvelt_2016_VOYAGE1,,L,PBO,PBO,174,174,5,10,12,86,3,2,174,44,23
