,studlab,treat1,treat2,id,TE,seTE,type_outcome1,n1,n2,rob,TE2,seTE2,type_outcome2,n21,n22,treat1_class,treat2_class,year,age
43,Griffith_2015_UNCOVER3,ETA,PBO,74,2.11047759,0.411183171,binary,382,193,L,-0.68273042,0.626259413,binary,382,193,ATA,PBO,2015,44
44,Griffith_2015_UNCOVER3,IXE,PBO,74,3.086031889,0.40336672,binary,385,193,L,-0.10276648,0.550756172,binary,385,193,AIL17,PBO,2015,
45,Heydendael_2003,CICLO,MTX,16,-0.194156014,0.291200198,binary,44,44,H,NA,NA,binary,44,44,CSA,CSA,2003,56.5
46,Hunter_1963,MTX,PBO,51,0.990398704,1.599450455,binary,19,17,H,NA,NA,binary,19,17,CSA,PBO,1963,
47,Igarashi_2012,PBO,USK,2,-2.351375257,1.000371955,binary,32,64,M,2.294863047,1.534186069,binary,32,64,PBO,AIL1223,2012,43
48,Ikonomidis 2017  ,CICLO,ETA,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,CSA,ATA,2017,43
49,Ikonomidis 2017  ,CICLO,USK,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,CSA,AIL1223,2017,
50,Ikonomidis 2017  ,ETA,USK,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,ATA,AIL1223,2017,
51,Jin 2017  ,PBO,TOFA,112,NA,NA,binary,6,7,H,NA,NA,binary,6,7,PBO,SM,2017,
52,Krueger_2007,PBO,USK,3,-3.068052935,0.999909153,binary,64,128,L,-0.916290732,1.084694657,binary,64,128,PBO,AIL1223,2007,40
53,Krueger_2016,PBO,TOFA,96,NA,NA,binary,3,9,L,2.097141119,1.508538771,binary,3,9,PBO,SM,2016,45.5
54,Langley_2014_ERASURE,PBO,SECU,9,-3.890291989,0.576295058,binary,248,245,L,-0.417635644,0.639181333,binary,248,245,PBO,AIL17,2014,44
55,Langley_2014_FIXTURE,ETA,PBO,10,2.595254707,0.456935886,binary,326,326,L,-0.693147181,0.702755314,binary,326,326,ATA,PBO,2014,44
56,Langley_2014_FIXTURE,ETA,SECU,10,-0.957030565,0.120474355,binary,326,327,L,-0.284619283,0.759741893,binary,326,327,ATA,AIL17,2014,44
57,Langley_2014_FIXTURE,PBO,SECU,10,-3.552285272,0.446753508,binary,326,327,L,0.408527898,0.640734795,binary,326,327,PBO,AIL17,2014,46
58,"Lebwohl CIMPACT, 2018",CERTO,ETA,136,0.230084581,0.164503583,binary,167,170,M,1.404098986,1.112712732,binary,167,170,ATA,ATA,2018,45
59,"Lebwohl CIMPACT, 2018",CERTO,PBO,136,3.675733725,1.412101218,binary,167,57,M,-1.298086096,0.653045264,binary,167,57,ATA,PBO,2018,47
60,"Lebwohl CIMPACT, 2018",ETA,PBO,136,3.445649144,1.413594344,binary,170,57,M,-2.702185082,1.084699861,binary,170,57,ATA,PBO,2018,47
61,Lebwohl_2015_AMAGINE2,BRODA,PBO,80,3.07780911,0.312178392,binary,612,309,M,-0.56560797,0.480875117,binary,612,309,AIL17,PBO,2015,47
62,Lebwohl_2015_AMAGINE2,BRODA,USK,80,0.40207551,0.066711766,binary,612,300,M,0.097980408,0.59677784,binary,612,300,AIL17,AIL1223,2015,45
63,Lebwohl_2015_AMAGINE2,PBO,USK,80,-2.6757336,0.317053023,binary,309,300,M,0.663588378,0.606984696,binary,309,300,PBO,AIL1223,2015,45
64,Lebwohl_2015_AMAGINE3,BRODA,PBO,81,3.768441277,0.444470286,binary,624,315,M,0.415034559,0.663074111,binary,624,315,AIL17,PBO,2015,45
65,Lebwohl_2015_AMAGINE3,BRODA,USK,81,0.367563435,0.065153353,binary,624,313,M,0.814130219,0.778661453,binary,624,313,AIL17,AIL1223,2015,46
66,Lebwohl_2015_AMAGINE3,PBO,USK,81,-3.400877842,0.447595708,binary,315,313,M,0.39909566,0.909375523,binary,315,313,PBO,AIL1223,2015,46
67,Leonardi_2003,ETA,PBO,30,3.583518938,1.007905261,binary,168,168,L,NA,NA,binary,168,168,ATA,PBO,2003,46
68,Leonardi_2008_PHOENIX1,PBO,USK,4,-3.054001182,0.448988669,binary,255,255,L,0,0.996070712,binary,255,255,PBO,AIL1223,2008,45
69,Leonardi_2012,IXE,PBO,39,3.309847603,1.404410787,binary,115,27,L,-0.755948082,1.20593006,binary,115,27,AIL17,PBO,2012,45
70,Meffert_1997,CICLO,PBO,59,NA,NA,binary,84,43,H,1.733904677,1.465262897,binary,84,43,CSA,PBO,1997,46
71,"Mehta VIP trial, 2018",ADA,PBO,115,NA,NA,binary,33,31,M,1.547880019,1.529183842,binary,33,31,ATA,PBO,2018,45
72,Menter_2007_EXPRESSII,IFX,PBO,41,4.543972151,0.999524811,binary,314,208,L,0.175931759,0.550562172,binary,314,208,ATA,PBO,2007,45
73,Menter_2008_REVEAL,ADA,PBO,24,2.989900395,0.331816647,binary,814,398,L,0.046631691,0.453632831,binary,814,398,ATA,PBO,2008,45
74,Mrowietz_2016_BRIDGE,FUM,PBO,93,1.497380504,0.408343501,binary,566,138,H,-0.187564961,0.499810332,binary,566,138,CSA,PBO,2016,45
75,Nakagawa_2016,BRODA,PBO,79,3.553028772,0.987962018,binary,37,38,H,0.026668247,1.395226571,binary,37,38,AIL17,PBO,2016,45
76,"NCT02187172 Gelfand VIP-U, 2020",PBO,USK,145,-2.898976605,1.419262867,binary,21,22,M,NA,NA,binary,21,22,PBO,AIL1223,2020,45
77,NCT02559622 von Stebut CARIMA 2019,PBO,SECU,143,-4.027742057,1.412636917,binary,49,48,H,0.672527893,1.207790753,binary,49,48,PBO,AIL17,2019,45
78,NCT02672852 IMMhance,PBO,RISAN,139,-3.600303306,0.700641636,binary,100,407,L,1.403642999,0.48738383,binary,100,407,PBO,AIL23,2020,45
79,"NCT02690701 Gelfand VIP-S, 2020",PBO,SECU,147,-4.212366518,1.409078461,binary,45,46,L,-1.587697926,1.535094981,binary,45,46,PBO,AIL17,2020,44
80,NCT02748863 ALLURE,PBO,SECU,148,-3.884802725,0.994548424,binary,71,143,L,1.393311934,1.21610957,binary,71,143,PBO,AIL17,2020,43
81,NCT03000075  ,PBO,RISAN,123,-3.766681892,0.994468223,binary,58,55,L,-0.746257006,1.21019701,binary,58,55,PBO,AIL23,2020,
82,NCT03051217,CERTO,PBO,149,3.691912234,1.402948296,binary,53,26,L,NA,NA,binary,53,26,ATA,PBO,2020,43.5
83,NCT03055494 ObePso-S,PBO,SECU,156,-3.42924083,1.407288869,binary,28,54,L,NA,NA,binary,28,54,PBO,AIL17,2020,45
84,NCT03066609,PBO,SECU,150,-3.953433062,0.70262225,binary,135,272,L,-0.803550109,0.774614248,binary,135,272,PBO,AIL17,2020,46
85,"NCT03482011 OASIS-1, 2020",MIRI,PBO,158,2.285348573,0.367183541,binary,423,107,L,-0.458252613,0.829632533,binary,423,107,AIL23,PBO,2020,45
86,Nugteren-Huying_1990,FUM,PBO,44,NA,NA,binary,NA,NA,H,NA,NA,NA,NA,NA,CSA,PBO,1990,44.5
87,Ohtsuki 2017  ,APRE,PBO,124,2.473072192,1.02939976,binary,85,84,L,NA,NA,binary,85,84,SM,PBO,2017,
88,Ohtsuki 2018,GUSEL,PBO,125,4.504261688,1.41110595,binary,63,64,M,-0.677398824,1.211817636,binary,63,64,AIL23,PBO,2018,45.5
90,"Papp BE ABLE, 2018",BIME,PBO,127,4.062054215,1.406659863,binary,208,42,L,-1.599868461,1.404059395,binary,208,42,AIL17,PBO,2018,46
91,"Papp NCT02054481, 2017  ",RISAN,USK,128,0.436717652,0.20587376,binary,126,40,H,0.151880531,0.625544496,binary,126,40,AIL23,AIL1223,2017,45
92,"Papp TYK2, 2018",PBO,TYK2,129,-2.638091612,0.993864189,binary,45,222,L,0.497402603,1.143068942,binary,45,222,PBO,SM,2018,45
93,Papp_2005,ETA,PBO,31,3.668475661,1.007875467,binary,203,204,M,NA,NA,binary,203,204,ATA,PBO,2005,45
94,Papp_2008_PHOENIX2,PBO,USK,5,-4.057121309,0.578125997,binary,410,409,L,-0.002442004,0.495091898,binary,410,409,PBO,AIL1223,2008,44
95,Papp_2012,BRODA,PBO,20,4.060230131,1.407878369,binary,40,38,L,-0.051293294,1.395952797,binary,40,38,AIL17,PBO,2012,44
96,Papp_2012a,PBO,TOFA,7,-3.516508228,1.421478829,binary,50,49,L,-1.118612955,1.620698203,binary,50,49,PBO,SM,2012,44
97,Papp_2012b,APRE,PBO,97,2.302585093,1.037917495,binary,88,88,L,0.693147181,0.852802865,binary,88,88,SM,PBO,2012,44
98,Papp_2013a,PBO,SECU,11,-1.452045739,0.997415017,binary,22,103,H,1.138221427,0.882139473,binary,22,103,PBO,AIL17,2013,44
99,Papp_2013b,APRE,PBO,98,NA,NA,binary,173,87,H,-1.380530656,0.855993809,binary,173,87,SM,PBO,2013,44
100,Papp_2015_ESTEEM-1,APRE,PBO,21,3.317738406,1.006407651,binary,562,282,L,-0.284129671,0.450563952,binary,562,282,SM,PBO,2015,45
101,Papp_2015_OPT Pivotal-1,PBO,TOFA,70,-1.943287666,0.314029868,binary,177,360,M,0.016807118,0.539974541,binary,177,360,PBO,SM,2015,51
102,Papp_2015_OPT Pivotal-2,PBO,TOFA,71,-2.009463934,0.314912431,binary,196,381,M,-0.251606016,0.832029619,binary,196,381,PBO,SM,2015,47
103,Papp_2015a,PBO,TILDRA,82,-2.866365551,0.99821675,binary,46,89,M,-0.443825976,1.622956594,binary,46,89,PBO,AIL23,2015,48
104,Papp_2016_AMAGINE-1,BRODA,PBO,78,4.347658991,0.705237759,binary,222,220,L,0.278632237,0.757814868,binary,222,220,AIL17,PBO,2016,48
105,Paul_2015_ESTEEM-2,APRE,PBO,67,1.795389237,0.728549193,binary,275,138,L,-0.178691789,0.722807438,binary,275,138,SM,PBO,2015,48
106,Paul_2015_JUNCTURE,PBO,SECU,77,-4.221086429,1.41317432,binary,61,60,L,-0.016529302,1.402476342,binary,61,60,PBO,AIL17,2015,47
107,Piskin_2003,CICLO,MTX,52,NA,NA,binary,5,5,H,NA,NA,binary,5,5,CSA,CSA,2003,47
108,Reich 2019,MIRI,PBO,144,3.996016805,1.409615671,binary,153,52,L,-0.386047022,1.214180087,binary,153,52,AIL23,PBO,2019,47
109,"Reich IXORA-S, 2017  ",IXE,USK,131,0.545957511,0.104927055,binary,136,166,L,1.808108607,1.544884457,binary,136,166,AIL17,AIL1223,2017,46
110,"Reich ReSURFACE-1, 2017  ",PBO,TILDRA,132,-2.596618313,0.499657818,binary,155,309,L,-0.919521752,1.091014272,binary,155,309,PBO,AIL23,2017,45
111,"Reich ReSURFACE-2, 2017",ETA,PBO,133,2.815198256,0.710858796,binary,313,156,L,-0.136731395,0.6190735,binary,313,156,ATA,PBO,2017,43
112,"Reich ReSURFACE-2, 2017",ETA,TILDRA,133,-0.593786317,0.129909651,binary,313,307,L,0.540260345,0.621614773,binary,313,307,ATA,AIL23,2017,42
113,"Reich ReSURFACE-2, 2017",PBO,TILDRA,133,-3.408984572,0.706212274,binary,156,307,L,0.67699174,0.700237399,binary,156,307,PBO,AIL23,2017,42
114,"Reich TRANSFIGURE, 2016",PBO,SECU,130,-3.855933539,0.995136776,binary,65,66,L,0.015267472,0.984613564,binary,65,66,PBO,AIL17,2016,42
115,Reich_2005_EXPRESS,IFX,PBO,18,3.784189634,0.994738499,binary,301,77,L,0.776761321,0.736555672,binary,301,77,ATA,PBO,2005,46
116,Reich_2012,CERTO,PBO,53,3.278742433,1.001422241,binary,59,58,L,1.592343479,1.079726571,binary,59,58,ATA,PBO,2012,42
117,Reich_2015,PBO,SECU,85,-2.288676663,1.384644934,binary,10,90,L,-0.554075608,1.423743486,binary,10,90,PBO,AIL17,2015,52
118,Reich_2016_LIBERATE,APRE,ETA,99,-0.348306694,0.343599297,binary,83,83,M,0.336472237,0.81348767,binary,83,83,SM,ATA,2016,50.5
119,Reich_2016_LIBERATE,APRE,PBO,99,1.398270552,0.626668742,binary,83,84,M,1.957815052,1.503962738,binary,83,84,SM,PBO,2016,49
