"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob","year","funding.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","r1.x","r2.x","n.orig1.x","n.orig2.x","z11.x","z12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","funding.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","r1.y","r2.y","n.orig1.y","n.orig2.y","z11.y","z12.y","n2.1","n2.2"
"13","11","SECU","PBO",2.675069130187,0.997900745541466,73,337,1,67,0,FALSE,11,"Rich_2013","L",2013,1,0,404,44,306,17,NA,20.5,NA,263,292,"RR","RR","SECU","PBO",73,1,337,67,12,1,337,67,0.869516338826605,1.03220182190721,12,337,1,67,0,FALSE,11,"Rich_2013","L",2013,1,0,404,44,306,17,NA,20.5,NA,263,292,"RR","RR","SECU","PBO",73,1,337,67,12,1,337,67
"14","14","CICLO","MTX",0.763302167227074,0.559879498870233,9,43,4,41,0,FALSE,14,"Flystrom_2008","H",2007,1,0,84,46.5,55,NA,86,15,NA,58,8,"RR","RR","CICLO","MTX",9,4,43,41,NA,NA,43,41,NA,NA,NA,43,NA,41,0,FALSE,14,"Flystrom_2008","H",2007,1,0,84,46.5,55,NA,86,15,NA,58,8,"RR","RR","CICLO","MTX",9,4,43,41,NA,NA,43,41
"15","15","MTX","CICLO",0.194156014440957,0.291200198121139,17,44,14,44,0,FALSE,15,"Heydendael_2003","H",2003,1,0,88,42.5,57,NA,NA,13.5,NA,71,13,"RR","RR","MTX","CICLO",17,14,44,44,NA,NA,44,44,NA,NA,NA,44,NA,44,0,FALSE,15,"Heydendael_2003","H",2003,1,0,88,42.5,57,NA,NA,13.5,NA,71,13,"RR","RR","MTX","CICLO",17,14,44,44,NA,NA,44,44
"16","17","IFX","PBO",3.78418963391826,0.994738498986114,172,301,1,77,0,FALSE,17,"EXPRESS_2005","L",2005,1,0,378,43,268,19,NA,23,NA,NA,NA,"RR","RR","IFX","PBO",172,1,301,77,17,2,301,77,0.776761320601079,0.736555671547331,17,301,2,77,0,FALSE,17,"EXPRESS_2005","L",2005,1,0,378,43,268,19,NA,23,NA,NA,NA,"RR","RR","IFX","PBO",172,1,301,77,17,2,301,77
"17","18","PBO","IFX",-3.06444341521798,1.40421899499882,0,19,19,35,0.5,FALSE,18,"Torii_2010","M",2010,NA,0,54,45,36,13,69,32,54,36,NA,"RR","RR","PBO","IFX",0,19,19,35,1,1,19,35,0.610909082322973,1.38520648008923,1,19,1,35,0,FALSE,18,"Torii_2010","M",2010,NA,0,54,45,36,13,69,32,54,36,NA,"RR","RR","PBO","IFX",0,19,19,35,1,1,19,35
"18","19","PBO","BRODA",-3.75975010456442,1.40675819840813,0,38,89,160,0.5,FALSE,19,"Papp_2012a","L",2012,1,0,198,42.5,127,19,90,19,187,110,141,"RR","RR","PBO","BRODA",0,89,38,160,1,2,38,160,0.744440474947496,1.2113769894324,1,38,2,160,0,FALSE,19,"Papp_2012a","L",2012,1,0,198,42.5,127,19,90,19,187,110,141,"RR","RR","PBO","BRODA",0,89,38,160,1,2,38,160
"19","20","PBO","APRE",-3.31773840627689,1.00640765073624,1,282,55,562,0,FALSE,20,"ESTEEM-1_2015","L",2015,1,0,844,46.5,573,19.5,93.5,19,NA,NA,314,"RR","RR","PBO","APRE",1,55,282,562,8,12,282,562,0.284129670847413,0.450563951744864,8,282,12,562,0,FALSE,20,"ESTEEM-1_2015","L",2015,1,0,844,46.5,573,19.5,93.5,19,NA,NA,314,"RR","RR","PBO","APRE",1,55,282,562,8,12,282,562
"20","21","PBO","ADA",-3.76814328488853,1.40988962759921,0,46,57,123,0.5,FALSE,21,"Asahina_2010","M",2010,1,0,169,45,143,14,70,28,163,43,71,"RR","RR","PBO","ADA",0,57,46,123,2,4,46,123,0.290395778323377,0.848605201648213,2,46,4,123,0,FALSE,21,"Asahina_2010","M",2010,1,0,169,45,143,14,70,28,163,43,71,"RR","RR","PBO","ADA",0,57,46,123,2,4,46,123
"21","22","ADA","PBO",3.65395003829395,1.41377462869312,35,96,0,52,0.5,FALSE,22,"Gordon_2006","L",2006,1,0,148,44,99,20,95,16,NA,NA,NA,"RR","RR","ADA","PBO",35,0,96,52,14,0,96,52,2.75856599123911,1.42812996743757,14,96,0,52,0.5,FALSE,22,"Gordon_2006","L",2006,1,0,148,44,99,20,95,16,NA,NA,NA,"RR","RR","ADA","PBO",35,0,96,52,14,0,96,52
"22","23","PBO","ADA",-2.98990039534704,0.331816647420979,9,398,366,814,0,FALSE,23,"REVEAL_2008","L",2008,1,0,1212,44,803,18,93,19,908,197,276,"RR","RR","PBO","ADA",9,366,398,814,7,15,398,814,-0.0466316913287941,0.453632831132446,7,398,15,814,0,FALSE,23,"REVEAL_2008","L",2008,1,0,1212,44,803,18,93,19,908,197,276,"RR","RR","PBO","ADA",9,366,398,814,7,15,398,814
