"","studlab","treat1","treat2","TE","seTE","event1.x","n1","event2.x","n2","incr.x","allstudies.x","studlab.orig.x","name.x","rob","year","funding.x","co_intervention.x","sample_size.x","age.x","male.x","duration_pso.x","weight.x","pasi_score.x","previous_topical.x","previous_photo.x","previous_systemic.x","effect_size1","effect_size2","treat.orig1.x","treat.orig2.x","r1.x","r2.x","n.orig1.x","n.orig2.x","z11.x","z12.x","nz1.x","nz2.x","TE2","seTE2","event1.y","n1.y","event2.y","n2.y","incr.y","allstudies.y","studlab.orig.y","name.y","rob.y","year.y","funding.y","co_intervention.y","sample_size.y","age.y","male.y","duration_pso.y","weight.y","pasi_score.y","previous_topical.y","previous_photo.y","previous_systemic.y","effect_size1.y","effect_size2.y","treat.orig1.y","treat.orig2.y","r1.y","r2.y","n.orig1.y","n.orig2.y","z11.y","z12.y","n2.1","n2.2"
"47","70","IXE","ETA",0.954988021827839,0.0907457382808815,514,771,98,382,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","IXE","ETA",514,98,771,382,15,5,771,382,0.396344523711355,0.512593258596255,15,771,5,382,0,FALSE,70,"UNCOVER-3_2015","L",2015,1,0,1346,46,918,18,91,21,1063,522,615,"RR","RR","IXE","ETA",514,98,771,382,15,5,771,382
"48","72","USK","SECU",-0.319176091269519,0.0552450394181968,193,339,264,337,0,FALSE,72,"CLEAR_2015","L",2015,1,0,676,45,481,18,87,22,NA,NA,441,"RR","RR","USK","SECU",193,264,339,337,10,10,339,337,-0.00591717702808862,0.440548281624364,10,339,10,337,0,FALSE,72,"CLEAR_2015","L",2015,1,0,676,45,481,18,87,22,NA,NA,441,"RR","RR","USK","SECU",193,264,339,337,10,10,339,337
"49","73","PBO","SECU",-4.06405504039512,1.41170134556545,0,61,57,121,0.5,FALSE,73,"JUNCTURE_2015","L",2015,1,0,182,45,125,21,91,20,NA,NA,90,"RR","RR","PBO","SECU",0,57,61,121,1,4,61,121,-0.701377679696461,1.10695171284349,1,61,4,121,0,FALSE,73,"JUNCTURE_2015","L",2015,1,0,182,45,125,21,91,20,NA,NA,90,"RR","RR","PBO","SECU",0,57,61,121,1,4,61,121
"50","74","PBO","BRODA",-4.22913355300021,0.705319207765236,2,220,186,298,0,FALSE,74,"AMAGINE-1 2016","L",2016,1,0,661,46,484,20,91,20,NA,NA,NA,"RR","RR","PBO","BRODA",2,186,220,298,3,6,220,298,-0.389681240406902,0.701497570028977,3,220,6,298,0,FALSE,74,"AMAGINE-1 2016","L",2016,1,0,661,46,484,20,91,20,NA,NA,NA,"RR","RR","PBO","BRODA",2,186,220,298,3,6,220,298
"51","75","PBO","BRODA",-3.06908142437372,0.990181626270752,1,38,64,113,0,FALSE,75,"Nakagawa_2016","H",2015,1,0,151,45,120,15,74,26,NA,NA,NA,"RR","RR","PBO","BRODA",1,64,38,113,1,3,38,113,-0.00881062968215492,1.13937175071946,1,38,3,113,0,FALSE,75,"Nakagawa_2016","H",2015,1,0,151,45,120,15,74,26,NA,NA,NA,"RR","RR","PBO","BRODA",1,64,38,113,1,3,38,113
"52","76","BRODA","PBO",2.91692550392194,0.311950977712573,731,1222,10,309,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","BRODA","PBO",731,10,1222,309,19,8,1222,309,-0.509905425347191,0.416625734187305,19,1222,8,309,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","BRODA","PBO",731,10,1222,309,19,8,1222,309
"53","76","BRODA","USK",0.241191904296271,0.0656393456605857,731,1222,141,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","BRODA","USK",731,141,1222,300,19,4,1222,300,0.15368295297121,0.546333153861699,19,1222,4,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","BRODA","USK",731,141,1222,300,19,4,1222,300
"54","76","PBO","USK",-2.67573359962567,0.317053022842449,10,309,141,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","PBO","USK",10,141,309,300,8,4,309,300,0.663588378318401,0.606984695615939,8,309,4,300,0,FALSE,76,"AMAGINE-2_2015","M",2015,1,0,1831,45,1258,19,91,20,NA,NA,NA,"RR","RR","PBO","USK",10,141,309,300,8,4,309,300
"55","77","USK","BRODA",-0.237002305878159,0.0635703385459245,149,313,756,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","USK","BRODA",149,756,313,1253,2,19,313,1253,-0.86419903425058,0.740701428492944,2,313,19,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","USK","BRODA",149,756,313,1253,2,19,313,1253
"56","77","USK","PBO",3.40087784179684,0.447595708248478,149,313,5,315,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","USK","PBO",149,5,313,315,2,3,313,315,-0.399095659822685,0.909375523081536,2,313,3,315,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","USK","PBO",149,5,313,315,2,3,313,315
"57","77","PBO","BRODA",-3.637880147675,0.44424099715265,5,315,756,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","PBO","BRODA",5,756,315,1253,3,19,315,1253,-0.465103374427895,0.618055195358094,3,315,19,1253,0,FALSE,77,"AMAGINE-3_2015","M",2015,1,0,1881,45,1288,18,89,20,NA,NA,NA,"RR","RR","PBO","BRODA",5,756,315,1253,3,19,315,1253
"58","78","PBO","TILDRA",-2.74926046974887,0.992244139884098,1,46,105,309,0,FALSE,78,"Papp_2015","M",2015,1,0,355,45,270,NA,NA,NA,NA,NA,NA,"RR","RR","PBO","TILDRA",1,105,46,309,0,4,46,309,-0.301718797804879,1.48239192796896,0,46,4,309,0.5,FALSE,78,"Papp_2015","M",2015,1,0,355,45,270,NA,NA,NA,NA,NA,NA,"RR","RR","PBO","TILDRA",1,105,46,309,0,4,46,309
"59","79","IFX","ETA",2.21920348405499,1.00822702757387,10,25,1,23,0,FALSE,79,"PIECE_2016","H",2016,1,0,48,44,31,20,NA,17,NA,NA,NA,"RR","RR","IFX","ETA",10,1,25,23,1,1,25,23,-0.083381608939051,1.38438496782161,1,25,1,23,0,FALSE,79,"PIECE_2016","H",2016,1,0,48,44,31,20,NA,17,NA,NA,NA,"RR","RR","IFX","ETA",10,1,25,23,1,1,25,23
"60","80","PBO","ADA",-2.7806918973334,0.569385326044045,3,87,188,338,0,FALSE,80,"Cai_2016","L",2016,1,0,425,43,312,15,70,28,NA,NA,NA,"RR","RR","PBO","ADA",3,188,87,338,3,4,87,338,1.06945570437665,0.754241672528185,3,87,4,338,0,FALSE,80,"Cai_2016","L",2016,1,0,425,43,312,15,70,28,NA,NA,NA,"RR","RR","PBO","ADA",3,188,87,338,3,4,87,338
"61","81","PBO","SECU",-2.28867666294791,1.38464493382589,0,10,42,90,0.5,FALSE,81,"Reich_2015","L",2015,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,"RR","RR","PBO","SECU",0,42,10,90,0,7,10,90,-0.554075607559807,1.4237434861443,0,10,7,90,0.5,FALSE,81,"Reich_2015","L",2015,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,"RR","RR","PBO","SECU",0,42,10,90,0,7,10,90
"62","84","ETA","PBO",2.76725537626442,1.00424347116052,33,141,1,68,0,FALSE,84,"Gottlieb_2011","L",2011,1,0,209,43.5,145,18,95,19,192,53,56,"RR","RR","ETA","PBO",33,1,141,68,1,1,141,68,-0.729252185202062,1.40648566258796,1,141,1,68,0,FALSE,84,"Gottlieb_2011","L",2011,1,0,209,43.5,145,18,95,19,192,53,56,"RR","RR","ETA","PBO",33,1,141,68,1,1,141,68
"63","85","ETA","PBO",1.53941676322158,0.59100527652227,27,139,3,72,0,FALSE,85,"Strober_2011","L",2011,1,0,211,45,131,15,95,18,202,39,64,"RR","RR","ETA","PBO",27,3,139,72,1,2,139,72,-1.35095499467458,1.21610725945814,1,139,2,72,0,FALSE,85,"Strober_2011","L",2011,1,0,211,45,131,15,95,18,202,39,64,"RR","RR","ETA","PBO",27,3,139,72,1,2,139,72
"64","86","PBO","IXE",-4.98355119218894,0.705854255255734,2,431,586,865,0,FALSE,86,"UNCOVER-1_2016","L",2016,1,0,1296,46,883,20,92,20,NA,1261,684,"RR","RR","PBO","IXE",2,586,431,865,5,18,431,865,-0.584312428633933,0.502074994972409,5,431,18,865,0,FALSE,86,"UNCOVER-1_2016","L",2016,1,0,1296,46,883,20,92,20,NA,1261,684,"RR","RR","PBO","IXE",2,586,431,865,5,18,431,865
"65","87","PBO","MTX",-2.36455885253078,1.41978124856355,0,29,16,91,0.5,FALSE,87,"METOP_2017","L",2016,1,0,120,45,100,18,93,15,NA,8,36,"RR","RR","PBO","MTX",0,16,29,91,4,1,29,91,2.52985803765027,1.09751001379956,4,29,1,91,0,FALSE,87,"METOP_2017","L",2016,1,0,120,45,100,18,93,15,NA,8,36,"RR","RR","PBO","MTX",0,16,29,91,4,1,29,91
"66","88","PBO","FUM",-1.49738050351838,0.408343500613986,6,138,110,566,0,FALSE,88,"BRIDGE_2017","H",2016,1,0,704,44.5,452,NA,NA,16,NA,NA,NA,"RR","RR","PBO","FUM",6,110,138,566,5,17,138,566,0.187564961423863,0.499810332173989,5,138,17,566,0,FALSE,88,"BRIDGE_2017","H",2016,1,0,704,44.5,452,NA,NA,16,NA,NA,NA,"RR","RR","PBO","FUM",6,110,138,566,5,17,138,566
"67","91","APRE","PBO",1.99243016469021,1.0150384378451,22,264,1,88,0,FALSE,91,"Papp_2012c","L",2012,1,0,352,44,221,19,92,18.5,NA,NA,176,"RR","RR","APRE","PBO",22,1,264,88,7,2,264,88,0.154150679827258,0.792278756313476,7,264,2,88,0,FALSE,91,"Papp_2012c","L",2012,1,0,352,44,221,19,92,18.5,NA,NA,176,"RR","RR","APRE","PBO",22,1,264,88,7,2,264,88
"68","92","PBO","APRE",NA,NA,NA,87,NA,173,0,FALSE,92,"Papp_2013b","H",2013,1,0,260,46,163,19,NA,19.5,NA,NA,NA,"RR","RR","PBO","APRE",NA,NA,87,173,4,2,87,173,1.38053065640314,0.855993808567344,4,87,2,173,0,FALSE,92,"Papp_2013b","H",2013,1,0,260,46,163,19,NA,19.5,NA,NA,NA,"RR","RR","PBO","APRE",NA,NA,87,173,4,2,87,173
"69","93","PBO","APRE",-1.39827055216661,0.626668741833212,3,84,12,83,0,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","PBO","APRE",3,12,84,83,0,3,84,83,-1.95781505156163,1.50396273832947,0,84,3,83,0.5,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","PBO","APRE",3,12,84,83,0,3,84,83
"70","93","PBO","ETA",-1.74657724643482,0.606798078498319,3,84,17,83,0,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","PBO","ETA",3,17,84,83,0,2,84,83,-1.62134281494042,1.54148942019372,0,84,2,83,0.5,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","PBO","ETA",3,17,84,83,0,2,84,83
"71","93","ETA","APRE",0.348306694268216,0.343599297442427,17,83,12,83,0,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","ETA","APRE",17,12,83,83,2,3,83,83,-0.336472236621213,0.813487670408042,2,83,3,83,0.5,FALSE,93,"LIBERATE_2017","M",2016,1,0,250,45,157,18,88.5,19.5,NA,NA,194,"RR","RR","ETA","APRE",17,12,83,83,2,3,83,83
"72","94","GUSEL","ADA",0.38789238734544,0.0643424302077852,241,329,166,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","GUSEL","ADA",241,166,329,334,8,6,329,334,0.30276531466311,0.534446574516862,8,329,6,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","GUSEL","ADA",241,166,329,334,8,6,329,334
"73","94","GUSEL","PBO",3.23835656950571,0.441998571806254,241,329,5,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","GUSEL","PBO",241,5,329,174,8,3,329,174,0.343826801460883,0.670482433191758,8,329,3,174,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","GUSEL","PBO",241,5,329,174,8,3,329,174
"74","94","PBO","ADA",-2.85046418216027,0.444165462381659,5,174,166,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","PBO","ADA",5,166,174,334,3,6,174,334,-0.0410614867977739,0.700898610062233,3,174,6,334,0,FALSE,94,"VOYAGE-1_2016","L",2016,1,0,837,44,608,17.5,NA,22,762,454,517,"RR","RR","PBO","ADA",5,166,174,334,3,6,174,334
"75","95","GUSEL","ADA",0.402587408280549,0.0738521965739793,347,496,116,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","GUSEL","ADA",347,116,496,248,8,6,496,248,-0.405465108108164,0.534432670754598,8,496,6,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","GUSEL","ADA",347,116,496,248,8,6,496,248
"76","95","GUSEL","PBO",3.36441813015886,0.404351485653628,347,496,6,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","GUSEL","PBO",347,6,496,248,8,3,496,248,0.287682072451781,0.672521335153435,8,496,3,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","GUSEL","PBO",347,6,496,248,8,3,496,248
"77","95","ADA","PBO",2.96183072187831,0.408928893810167,116,248,6,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","ADA","PBO",116,6,248,248,6,3,248,248,0.693147180559945,0.701381125972868,6,248,3,248,0,FALSE,95,"VOYAGE-2_2017","L",2016,1,0,992,44,692,18,NA,22,947,565,639,"RR","RR","ADA","PBO",116,6,248,248,6,3,248,248
"78","97","USK","SECU",-0.345819028342274,0.0457165451055175,299,552,421,550,0,FALSE,97,"CLARITY_2018","L",2018,1,0,1102,45,732,17,92,21,NA,NA,NA,"RR","RR","USK","SECU",299,421,552,550,9,14,552,550,-0.445462520329618,0.422977430270933,9,552,14,550,0,FALSE,97,"CLARITY_2018","L",2018,1,0,1102,45,732,17,92,21,NA,NA,NA,"RR","RR","USK","SECU",299,421,552,550,9,14,552,550
"79","99","PBO","ADA",-1.89502079754982,0.381706912979001,7,108,47,109,0,FALSE,99,"Elewski_2016","L",2016,1,0,217,47,183,19,90,12.5,NA,NA,NA,"RR","RR","PBO","ADA",7,47,108,109,5,8,108,109,-0.460786974140812,0.553684412652312,5,108,8,109,0,FALSE,99,"Elewski_2016","L",2016,1,0,217,47,183,19,90,12.5,NA,NA,NA,"RR","RR","PBO","ADA",7,47,108,109,5,8,108,109
"80","101","PBO","RISAN",-2.73222920299819,0.437348164480241,5,102,229,304,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","PBO","RISAN",5,229,102,304,3,7,102,304,0.244757027734747,0.680512366483988,3,102,7,304,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","PBO","RISAN",5,229,102,304,3,7,102,304
"81","101","PBO","USK",-2.14803433314545,0.451669793367784,5,102,42,100,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","PBO","USK",5,42,102,100,3,8,102,100,-1.00063188030791,0.662215532711749,3,102,8,100,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","PBO","USK",5,42,102,100,3,8,102,100
"82","101","RISAN","USK",0.584194869852741,0.122011730388465,229,304,42,100,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","RISAN","USK",229,42,304,100,7,8,304,100,-1.24538890804265,0.50454699401833,7,304,8,100,0,FALSE,101,"UltIMMa-1_2018 Ã","L",2018,1,0,506,48,361,NA,NA,20.5,NA,NA,NA,"RR","RR","RISAN","USK",229,42,304,100,7,8,304,100
"83","102","PBO","RISAN",-3.60186807712431,0.700671115694506,2,98,220,294,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","PBO","RISAN",2,220,98,294,1,6,98,294,-0.693147180559945,1.07380688416949,1,98,6,294,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","PBO","RISAN",2,220,98,294,1,6,98,294
"84","102","PBO","USK",-3.1468480496861,0.7077934048937,2,98,47,99,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","PBO","USK",2,47,98,99,1,3,98,99,-1.08845991720409,1.14587444408175,1,98,3,99,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","PBO","USK",2,47,98,99,1,3,98,99
"85","102","USK","RISAN",-0.455020027438211,0.110994052295191,47,99,220,294,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","USK","RISAN",47,220,99,294,3,6,99,294,0.395312736644147,0.697493820298626,3,99,6,294,0,FALSE,102,"UltIMMa-2_2018 Ã","L",2018,1,0,491,47,336,NA,NA,19,NA,NA,NA,"RR","RR","USK","RISAN",47,220,99,294,3,6,99,294
"86","103","PBO","CERTO",-2.99900559889896,0.994392560751194,1,51,72,183,0,FALSE,103,"CIMPASI-1_2018","L",2018,1,0,234,46,162,17,93,20,NA,NA,NA,"RR","RR","PBO","CERTO",1,72,51,183,1,7,51,183,-0.668249628938218,1.05725343170196,1,51,7,183,0,FALSE,103,"CIMPASI-1_2018","L",2018,1,0,234,46,162,17,93,20,NA,NA,NA,"RR","RR","PBO","CERTO",1,72,51,183,1,7,51,183
"87","104","PBO","CERTO",-2.57076645885914,0.696060467916457,2,49,95,178,0,FALSE,104,"CIMPASI-2_2018","L",2018,1,0,227,45,127,17,93,18,NA,NA,NA,"RR","RR","PBO","CERTO",2,95,49,178,0,6,49,178,-1.28233342581649,1.45878096119595,0,49,6,178,0.5,FALSE,104,"CIMPASI-2_2018","L",2018,1,0,227,45,127,17,93,18,NA,NA,NA,"RR","RR","PBO","CERTO",2,95,49,178,0,6,49,178
"88","108","PBO","ADA",NA,NA,NA,31,NA,33,0,FALSE,108,"VIP trial_2018 Ã","M",2018,1,0,96,43,67,13,NA,17,NA,29,31,"RR","RR","PBO","ADA",NA,NA,31,33,0,2,31,33,-1.54788001943467,1.52918384178794,0,31,2,33,0.5,FALSE,108,"VIP trial_2018 Ã","M",2018,1,0,96,43,67,13,NA,17,NA,29,31,"RR","RR","PBO","ADA",NA,NA,31,33,0,2,31,33
"89","114","GUSEL","PBO",3.22207071576472,1.39443414006287,47,62,0,16,0.5,FALSE,114,"ORION_2020Ã","L",2019,1,0,78,46,53,19,NA,18,NA,NA,NA,"RR","RR","GUSEL","PBO",47,0,62,16,2,0,62,16,0.27763173659828,1.5242683291973,2,62,0,16,0.5,FALSE,114,"ORION_2020Ã","L",2019,1,0,78,46,53,19,NA,18,NA,NA,NA,"RR","RR","GUSEL","PBO",47,0,62,16,2,0,62,16
"90","116","PBO","RISAN",-3.7757064483244,0.992811043980618,1,58,85,113,0,FALSE,116,"SustaIMM_2019","L",2019,1,0,171,52,143,NA,74,26,NA,NA,NA,"RR","RR","PBO","RISAN",1,85,58,113,1,4,58,113,-0.719349552953969,1.10630423626032,1,58,4,113,0,FALSE,116,"SustaIMM_2019","L",2019,1,0,171,52,143,NA,74,26,NA,NA,NA,"RR","RR","PBO","RISAN",1,85,58,113,1,4,58,113
"91","117","PBO","APRE",-2.18539011968922,1.01870920321239,1,84,18,170,0,FALSE,117,"Ohtsuki_2017 Ã","L",2017,1,0,254,50.5,202,13,70,21,NA,NA,NA,"RR","RR","PBO","APRE",1,18,84,170,0,4,84,170,-1.49524081497578,1.48476355021811,0,84,4,170,0.5,FALSE,117,"Ohtsuki_2017 Ã","L",2017,1,0,254,50.5,202,13,70,21,NA,NA,NA,"RR","RR","PBO","APRE",1,18,84,170,0,4,84,170
"92","118","GUSEL","PBO",4.50923335073228,1.40988075617075,90,128,0,64,0.5,FALSE,118,"Ohtsuki_2018","M",2018,1,0,192,49,145,14,71,26,191,96,115,"RR","RR","GUSEL","PBO",90,0,128,64,2,2,128,64,-0.693147180559945,0.988211768802619,2,128,2,64,0,FALSE,118,"Ohtsuki_2018","M",2018,1,0,192,49,145,14,71,26,191,96,115,"RR","RR","GUSEL","PBO",90,0,128,64,2,2,128,64
"93","120","BIME","PBO",4.06205421496017,1.40665986259131,142,208,0,42,0.5,FALSE,120,"BE ABLE 1_2018","L",2018,1,0,250,44,163,15,88,19,NA,122,90,"RR","RR","BIME","PBO",142,0,208,42,1,1,208,42,-1.59986846141795,1.40405939471334,1,208,1,42,0,FALSE,120,"BE ABLE 1_2018","L",2018,1,0,250,44,163,15,88,19,NA,122,90,"RR","RR","BIME","PBO",142,0,208,42,1,1,208,42
"94","121","RISAN","USK",0.436717651612269,0.205873759580974,78,126,16,40,0,FALSE,121,"Papp_2017b","H",2017,1,0,166,46,109,NA,90,20,NA,NA,NA,"RR","RR","RISAN","USK",78,16,126,40,11,3,126,40,0.151880531292719,0.625544495864136,11,126,3,40,0,FALSE,121,"Papp_2017b","H",2017,1,0,166,46,109,NA,90,20,NA,NA,NA,"RR","RR","RISAN","USK",78,16,126,40,11,3,126,40
"95","122","DEUCRAVA","PBO",2.6380916124953,0.993864189362139,69,222,1,45,0,FALSE,122,"Papp_2018","L",2018,1,0,267,45,194,15,88,18,NA,NA,NA,"RR","RR","DEUCRAVA","PBO",69,1,222,45,3,1,222,45,-0.49740260343385,1.14306894219317,3,222,1,45,0,FALSE,122,"Papp_2018","L",2018,1,0,267,45,194,15,88,18,NA,NA,NA,"RR","RR","DEUCRAVA","PBO",69,1,222,45,3,1,222,45
"96","123","PBO","SECU",-3.7148549405172,0.994485469741849,1,65,84,133,0,FALSE,123,"TRANSFIGURE_2016","L",2018,1,0,198,44,160,18.5,90.5,20,NA,NA,NA,"RR","RR","PBO","SECU",1,84,65,133,2,4,65,133,0.0228146777661715,0.852699588145147,2,65,4,133,0,FALSE,123,"TRANSFIGURE_2016","L",2018,1,0,198,44,160,18.5,90.5,20,NA,NA,NA,"RR","RR","PBO","SECU",1,84,65,133,2,4,65,133
"97","124","USK","IXE",-0.34175324266226,0.0753432252612283,98,166,113,136,0,FALSE,124,"IXORA-S_2017 Ã","L",2017,1,0,302,43,202,18,87.5,20,NA,202,184,"RR","RR","USK","IXE",98,113,166,136,5,3,166,136,0.311492721145499,0.721079951025766,5,166,3,136,0,FALSE,124,"IXORA-S_2017 Ã","L",2017,1,0,302,43,202,18,87.5,20,NA,202,184,"RR","RR","USK","IXE",98,113,166,136,5,3,166,136
"98","125","PBO","TILDRA",-2.60754013957813,0.496545336483441,4,155,216,617,0,FALSE,125,"ReSURFACE-1_2017","L",2017,1,0,772,47,533,NA,88.5,20,NA,NA,NA,"RR","RR","PBO","TILDRA",4,216,155,617,1,13,155,617,-1.1835054504754,1.03385236783445,1,155,13,617,0,FALSE,125,"ReSURFACE-1_2017","L",2017,1,0,772,47,533,NA,88.5,20,NA,NA,NA,"RR","RR","PBO","TILDRA",4,216,155,617,1,13,155,617
"99","126","TILDRA","ETA",0.56550060457341,0.11997367740795,234,621,67,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","TILDRA","ETA",234,67,621,313,10,7,621,313,-0.328452947454593,0.487905676048247,10,621,7,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","TILDRA","ETA",234,67,621,313,10,7,621,313
"100","126","TILDRA","PBO",3.38069886011381,0.704452228263291,234,621,2,156,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","TILDRA","PBO",234,2,621,156,10,4,621,156,-0.465184342809787,0.58479007997025,10,621,4,156,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","TILDRA","PBO",234,2,621,156,10,4,621,156
"101","126","PBO","ETA",-2.8151982555404,0.710858796488556,2,156,67,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","PBO","ETA",2,67,156,313,4,7,156,313,0.136731395355193,0.61907349989155,4,156,7,313,0,FALSE,126,"ReSURFACE-2_2017","L",2017,1,0,1090,45,554,NA,88.5,20,NA,NA,NA,"RR","RR","PBO","ETA",2,67,156,313,4,7,156,313
"102","128","ETA","CERTO",-0.179393297014866,0.147815238624265,46,170,108,332,0.5,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","ETA","CERTO",46,108,170,332,1,5,170,332,-0.940101380567874,1.09137784422539,1,170,5,332,0,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","ETA","CERTO",46,108,170,332,1,5,170,332
"103","128","ETA","PBO",3.44564914423299,1.41359434398874,46,170,0,57,0.5,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","ETA","PBO",46,0,170,57,1,5,170,57,-2.70218508164981,1.08469986051889,1,170,5,57,0,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","ETA","PBO",46,0,170,57,1,5,170,57
"104","128","CERTO","PBO",3.62504244124786,1.41025450423565,108,332,0,57,0.5,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","CERTO","PBO",108,0,332,57,5,5,332,57,-1.76208370108194,0.615990334468087,5,332,5,57,0,FALSE,128,"CIMPACT_2018","M",2018,1,0,559,46,381,18,89,21,NA,NA,NA,"RR","RR","CERTO","PBO",108,0,332,57,5,5,332,57
