studlab,id,treat1,treat2,TE1,seTE1,pasi90,n11,sae,n21,co_intervention.x,sample_size.x,age1,age2,male1,male2,duration_pso.x,bmi1,bmi2,weight1,weight2,previous_topical,previous_photo,previous_systemic,previous_bio,treat1_class,treat2_class,TE2,seTE2,year,bias,rob,n12,n22,outcome1_direction,outcome2_direction
Tyring_2006,31,PBO,ETA,-2.781641273,0.508854533,4,309,65,311,0,620,46,46,419,419,20,.,.,NA,NA,NA,NA,NA,.,PBO,ATA,-0.686695545,0.702529942,2006,L,1,309,311,beneficial,harmful
Vandekerkhof_2008,32,PBO,ETA,-1.829242562,1.022138582,1,46,13,96,0,143,45,45,84,84,18,.,.,NA,NA,NA,NA,NA,.,PBO,ATA,1.141171903,0.895085212,2008,L,1,46,96,beneficial,harmful
Fallaharani_2011,35,MTX,FUM,0.693147181,1.197219,2,30,1,30,0,60,42,42,36,36,16.5,;,;,85,85,50,29,33,4,CSA,CSA,NA,NA,2011,H,3,30,30,beneficial,harmful
Leonardi_2012,38,PBO,IXE,-3.309847603,1.404410787,0,27,57,115,0,142,46,46,81,81,16,.,.,93,93,NA,NA,NA,.,PBO,AIL17,0.755948082,1.20593006,2012,L,1,27,115,beneficial,harmful
EXPRESS-II_2007,40,PBO,IFX,-4.449551124,0.998735891,1,208,258,627,0,835,44,44,551,551,18,.,.,92,92,768,NA,NA,117,PBO,ATA,0.227939724,0.526242097,2007,L,1,208,627,beneficial,harmful
Gottlieb_2004a,42,IFX,PBO,3.268531415,0.992544998,102,198,1,51,0,249,44,44,174,174,17,.,.,NA,NA,226,171,216,81,ATA,PBO,1.869668532,1.433717106,2004,L,1,198,51,beneficial,harmful
Hunter_1963,50,PBO,MTX,-0.990398704,1.599450455,0,17,1,19,0,41,NA,NA,NA,NA,NA,.,.,NA,NA,NA,NA,NA,.,PBO,CSA,NA,NA,1963,H,3,17,19,beneficial,harmful
Reich_2012a,52,CERTO,PBO,3.201781392,0.997137926,50,118,1,58,0,176,43,43,123,123,20,27,27,82,82,NA,NA,NA,41,ATA,PBO,1.235668535,1.056948999,2012,L,1,118,58,beneficial,harmful
Yang_2012,55,IFX,PBO,3.95567177,1.409541136,48,84,0,45,0,129,40,40,95,95,16,.,.,68,68,NA,NA,NA,.,ATA,PBO,0.47957308,1.622607262,2012,H,3,84,45,beneficial,harmful
Meffert_1997,58,PBO,CICLO,NA,NA,NA,43,NA,84,0,127,NA,NA,NA,NA,NA,.,.,NA,NA,NA,NA,NA,.,PBO,CSA,-1.733904677,1.465262897,1997,H,3,43,84,beneficial,harmful
LOTUS_2013,59,PBO,USK,NA,NA,NA,162,NA,160,0,322,40,40,248,248,14,.,.,70,70,309,120,132,30,PBO,AIL1223,-0.01242252,1.409814584,2013,M,2,162,160,beneficial,harmful
ESTEEM-2_2015,66,APRE,PBO,1.795389237,0.728549193,24,275,2,138,0,413,45.5,45.5,276,276,18.5,31,31,91,91,NA,NA,159,136,SM,PBO,-0.178691789,0.722807438,2015,L,1,275,138,beneficial,harmful
Bachelez_2015,67,PBO,ETA,-3.547151294,0.998510796,1,108,108,336,0,444,44,44,304,304,17.5,.,.,81,81,NA,318,NA,49,PBO,ATA,-0.117783036,0.794116927,2015,L,1,108,336,beneficial,harmful
Gordon_2015_X-PLORE,68,PBO,ADA,-2.920908482,1.002779258,1,42,19,43,0,293,47,47,207,207,19,31,31,92,92,283,154,147,126,PBO,ATA,0.023530497,1.397474387,2015,H,3,42,43,beneficial,harmful
Gordon_2015_X-PLORE,68,PBO,GUSEL,-2.974842517,0.990803746,1,42,97,208,0,293,47,47,207,207,19,31,31,92,92,283,154,147,126,PBO,AIL23,0.501256173,1.142241707,2015,H,3,42,208,beneficial,harmful
Gordon_2015_X-PLORE,68,ADA,GUSEL,-0.053934035,0.186754789,19,43,97,208,0,293,47,47,207,207,19,31,31,92,92,283,154,147,126,ATA,AIL23,0.477725675,1.14248406,2015,H,3,43,208,beneficial,harmful
UNCOVER-2_2015,69,ETA,IXE,-1.247918683,0.113565904,67,358,455,698,0,1224,45,45,821,821,19,31,31,91,91,1007,570,606,288,ATA,AIL17,0.182178301,0.444631438,2015,L,1,358,698,beneficial,harmful
UNCOVER-2_2015,69,ETA,PBO,3.448123612,1.003085089,67,358,1,168,0,1224,45,45,821,821,19,31,31,91,91,1007,570,606,288,ATA,PBO,0.629725354,0.785018677,2015,L,1,358,168,beneficial,harmful
