studlab,id,treat1,treat2,TE1,seTE1,pasi90,n11,sae,n21,co_intervention.x,sample_size.x,age1,age2,male1,male2,duration_pso.x,bmi1,bmi2,weight1,weight2,previous_topical,previous_photo,previous_systemic,previous_bio,treat1_class,treat2_class,TE2,seTE2,year,bias,rob,n12,n22,outcome1_direction,outcome2_direction
VIP-U trial_2020,136,PBO,USK,-2.898976605,1.419262867,0,21,9,22,0,43,42.5,42.5,30,30,18,33.5,33.5,100.5,100.5,NA,19,8,19,PBO,AIL1223,NA,NA,2020,M,2,21,22,beneficial,harmful
VIP-S trial_2020,138,SECU,PBO,4.212366518,1.409078461,34,46,0,45,0,91,47.5,47.5,61,61,16,32,32,94.5,94.5,76,27,27,36,AIL17,PBO,1.587697926,1.535094981,2020,L,1,46,45,beneficial,harmful
ALLURE_2021,139,PBO,SECU,-3.884802725,0.994548424,1,71,98,143,0,214,43.5,43.5,133,133,17,30.5,30.5,91,91,NA,NA,NA,.,PBO,AIL17,1.393311934,1.21610957,2021,L,1,71,143,beneficial,harmful
Umezawa_2021,140,CERTO,PBO,3.547435063,1.402658023,66,101,0,26,0,127,50,50,99,99,13,26.5,26.5,73,73,NA,NA,96,41,ATA,PBO,-0.663876798,1.204839189,2021,L,1,101,26,beneficial,harmful
Cai_2020,141,PBO,SECU,-3.88783578,0.702517931,2,135,295,408,0,441,39.5,39.5,350,350,15.5,.,.,73,73,NA,NA,NA,80,PBO,AIL17,-0.839917753,0.749379866,2020,L,1,135,408,beneficial,harmful
ECLIPSE_2019,142,SECU,GUSEL,0.096083489,0.038070821,391,514,369,534,0,1048,46,46,707,707,18.5,30,30,NA,NA,989,542,563,305,AIL17,AIL23,0.152582925,0.231326334,2019,L,1,514,534,beneficial,harmful
STYLE_2020,145,PBO,APRE,NA,NA,NA,102,NA,201,0,303,47,47,187,187,15,31,31,NA,NA,NA,66,89,86,PBO,SM,-0.014815086,1.218696416,2020,L,1,102,201,beneficial,harmful
IXORA-R_2020,146,IXE,GUSEL,0.257087207,0.047526951,378,520,285,507,0,1027,49,49,652,652,17,33,33,95,95,725,140,310,270,AIL17,AIL23,0.092465228,0.337875853,2020,L,1,520,507,beneficial,harmful
NCT03055494 ObePso-S,147,SECU,PBO,3.42924083,1.407288869,29,54,0,28,0,102,44.5,44.5,52,52,NA,.,.,NA,NA,NA,NA,NA,.,AIL17,PBO,-0.656779536,1.394907594,2020,L,1,54,28,beneficial,harmful
IMMerge_2021,148,SECU,RISAN,-0.116845484,0.073332986,107,163,121,164,0,327,47,47,213,213,18,.,.,NA,NA,NA,NA,NA,120,AIL17,AIL23,-0.399348881,0.515310826,2020,M,2,163,164,beneficial,harmful
BE READY_2021,150,BIME,PBO,4.358177148,0.994314506,317,349,1,86,0,435,44,44,313,313,19.5,30,30,89.5,89.5,NA,NA,347,192,AIL17,PBO,-0.302112337,0.807572554,2021,L,1,349,86,beneficial,harmful
BE VIVID_2021,151,BIME,PBO,2.870576919,0.488364153,273,321,4,83,0,567,46,46,406,406,17,29.5,29.5,88.5,88.5,NA,NA,463,221,AIL17,PBO,-0.436309783,0.827548514,2021,L,1,321,83,beneficial,harmful
BE VIVID_2021,151,BIME,USK,0.537331718,0.082209784,273,321,81,163,0,567,46,46,406,406,17,29.5,29.5,88.5,88.5,NA,NA,463,221,AIL17,AIL1223,-0.677690922,0.625099805,2021,L,1,321,163,beneficial,harmful
BE VIVID_2021,151,USK,PBO,2.333245201,0.494128037,81,163,4,83,0,567,46,46,406,406,17,29.5,29.5,88.5,88.5,NA,NA,463,221,AIL1223,PBO,0.241381139,0.82572201,2021,L,1,163,83,beneficial,harmful
BE RADIANT_2021,152,SECU,BIME,-0.140344591,0.037249054,275,370,319,373,0,743,45,45,486,486,18,.,.,89.5,89.5,NA,NA,539,244,AIL17,AIL17,NA,NA,2021,L,1,370,373,beneficial,harmful
BE SURE_2021,153,ADA,BIME,-0.506465647,0.080212351,82,159,273,319,0,478,45,45,328,328,18,30.5,30.5,91,91,412,173,338,153,ATA,AIL17,0.696286901,0.624960715,2021,L,1,159,319,beneficial,harmful
NCT03421197,156,FUM,PBO,NA,NA,NA,319,NA,107,0,426,50,50,257,257,NA,.,.,NA,NA,NA,NA,NA,.,CSA,PBO,0.00625002,0.808817703,2021,L,1,319,107,beneficial,harmful
NCT03535194,158,SECU,PBO,2.454692871,0.367102047,326,448,7,112,0,560,NA,NA,393,393,NA,.,.,NA,NA,NA,NA,NA,.,AIL17,PBO,1.752538756,1.440776866,2021,L,1,448,112,beneficial,harmful
NCT02762994,162,PBO,NETA,-1.295322583,0.412410979,5,28,60,92,0,120,40.5,40.5,79,79,NA,26,26,82,82,NA,NA,NA,.,PBO,AIL17,NA,NA,2021,L,1,28,92,beneficial,harmful
NCT03364309,163,IXE,PBO,3.550273986,0.69956367,277,350,2,88,0,438,40.5,40.5,335,335,NA,.,.,NA,NA,NA,NA,NA,.,AIL17,PBO,-1.38059634,0.807741226,2021,L,1,350,88,beneficial,harmful
Blauvelt_2021,164,PBO,RISAN,-2.79379093,0.697421635,2,52,66,105,0,157,49,49,87,87,18,32.5,32.5,94.300003,94.300003,NA,NA,NA,70,PBO,AIL23,-0.400714505,1.62423532,2021,H,3,52,105,beneficial,harmful
PLANETA_2021,165,NETA,PBO,3.904383277,1.407909939,94,169,0,44,0,213,41,41,156,156,9,28,28,87,87,NA,127,72,12,AIL17,PBO,-0.238751449,1.624282935,2021,M,2,169,44,beneficial,harmful
Papp_2021,166,SONELO,PBO,4.17770219,1.408502121,129,208,0,52,0,313,46,46,228,228,18.5,.,.,91,91,NA,NA,NA,50,AIL17,PBO,-0.079842888,0.908097498,2021,L,1,208,52,beneficial,harmful
Papp_2021,166,SONELO,SECU,-0.03753583,0.114977229,129,208,34,53,0,313,46,46,228,228,18.5,.,.,91,91,NA,NA,NA,50,AIL17,AIL17,1.037637885,1.469125737,2021,L,1,208,53,beneficial,harmful
Papp_2021,166,SECU,PBO,4.21523802,1.411115268,34,53,0,52,0,313,46,46,228,228,18.5,.,.,91,91,NA,NA,NA,50,AIL17,PBO,-1.117480773,1.621396762,2021,L,1,53,52,beneficial,harmful
NCT03589885 MATURE,167,PBO,SECU,-2.632064294,0.693071957,2,40,57,82,0,122,NA,NA,85,85,NA,.,.,NA,NA,NA,NA,NA,.,PBO,AIL17,-1.485728258,1.47831311,2021,L,1,40,82,beneficial,harmful
