unique_id,name,bias,treat,n,rPASI90,rSAE
1,Griffith_2010_ACCEPT,H,ETA,347,80,4
1,Griffith_2010_ACCEPT,H,USK,209,76,4
2,Igarashi_2012,M,PBO,32,1,2
2,Igarashi_2012,M,USK,64,21,0
3,Krueger_2007,L,PBO,64,1,1
3,Krueger_2007,L,USK,128,43,5
4,Leonardi_2008_PHOENIX1,L,PBO,255,5,2
4,Leonardi_2008_PHOENIX1,L,USK,255,106,2
5,Papp_2008_PHOENIX2,L,PBO,410,3,8
5,Papp_2008_PHOENIX2,L,USK,409,173,8
6,Tsai_2011_PEARL,L,PBO,60,1,2
6,Tsai_2011_PEARL,L,USK,61,30,0
