studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
28,Gottlieb_2003a,ETA,,,H,2,57,2003,1,0,112,47.5,70,21.5,91.5,19,,97,82
,,,,,,,,,,,,,,,,,,,
29,Leonardi_2003,ETA,60,504,L,,504,2003,1,0,672,45,439,19,,18,,,
,,,,,,,,,,,,,,,,,,,
29,Leonardi_2003,PBO,1,168,L,,168,2003,1,0,672,45,439,19,,18,,,
,,,,,,,,,,,,,,,,,,,
30,Papp_2005,ETA,59,407,M,,407,2005,1,0,611,45,382,19,,16.5,,,
,,,,,,,,,,,,,,,,,,,
30,Papp_2005,PBO,1,204,M,,204,2005,1,0,611,45,382,19,,16.5,,,
,,,,,,,,,,,,,,,,,,,
31,Tyring_2006,PBO,4,309,L,3,309,2006,1,0,620,46,419,20,,18,,,
,,,,,,,,,,,,,,,,,,,
31,Tyring_2006,ETA,65,311,L,6,311,2006,1,0,620,46,419,20,,18,,,
,,,,,,,,,,,,,,,,,,,
32,Vandekerkhof_2008,ETA,13,96,L,2,96,2008,1,0,143,45,84,18,,21,,,
,,,,,,,,,,,,,,,,,,,
32,Vandekerkhof_2008,PBO,1,46,L,3,46,2008,1,0,143,45,84,18,,21,,,
,,,,,,,,,,,,,,,,,,,
35,Fallaharani_2011,MTX,2,30,H,,30,2011,0,0,60,42,36,16.5,85,16.5,50,29,33
,,,,,,,,,,,,,,,,,,,
35,Fallaharani_2011,FUM,1,30,H,,30,2011,0,0,60,42,36,16.5,85,16.5,50,29,33
,,,,,,,,,,,,,,,,,,,
38,Leonardi_2012,IXE,57,115,L,2,115,2012,1,0,142,46,81,16,93,18,,,
,,,,,,,,,,,,,,,,,,,
38,Leonardi_2012,PBO,0,27,L,1,27,2012,1,0,142,46,81,16,93,18,,,
,,,,,,,,,,,,,,,,,,,
40,EXPRESS-II_2007,IFX,258,627,L,12,627,2007,1,0,835,44,551,18,92,20,768,,
,,,,,,,,,,,,,,,,,,,
40,EXPRESS-II_2007,PBO,1,208,L,5,208,2007,1,0,835,44,551,18,92,20,768,,
,,,,,,,,,,,,,,,,,,,
42,Gottlieb_2004a,PBO,1,51,L,0,51,2004,1,0,249,44,174,17,,19,226,171,216
,,,,,,,,,,,,,,,,,,,
42,Gottlieb_2004a,IFX,102,198,L,12,198,2004,1,0,249,44,174,17,,19,226,171,216
,,,,,,,,,,,,,,,,,,,
50,Hunter_1963,MTX,1,19,H,,19,1963,0,0,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,
50,Hunter_1963,PBO,0,17,H,,17,1963,0,0,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,
52,Reich_2012a,CERTO,50,118,L,7,118,2012,1,0,176,43,123,20,82,21,,,
,,,,,,,,,,,,,,,,,,,
52,Reich_2012a,PBO,1,58,L,1,58,2012,1,0,176,43,123,20,82,21,,,
,,,,,,,,,,,,,,,,,,,
55,Yang_2012,IFX,48,84,H,1,84,2012,0,0,129,40,95,16,68,,,,
,,,,,,,,,,,,,,,,,,,
55,Yang_2012,PBO,0,45,H,0,45,2012,0,0,129,40,95,16,68,,,,
,,,,,,,,,,,,,,,,,,,
58,Meffert_1997,CICLO,,84,H,5,84,1997,,0,127,,,,,16,,,
,,,,,,,,,,,,,,,,,,,
58,Meffert_1997,PBO,,43,H,0,43,1997,,0,127,,,,,16,,,
,,,,,,,,,,,,,,,,,,,
59,LOTUS_2013,USK,,160,M,1,160,2013,1,0,322,40,248,14,70,23,309,120,132
,,,,,,,,,,,,,,,,,,,
59,LOTUS_2013,PBO,,162,M,1,162,2013,1,0,322,40,248,14,70,23,309,120,132
,,,,,,,,,,,,,,,,,,,
66,ESTEEM-2_2015,APRE,24,275,L,5,275,2015,1,0,413,45.5,276,18.5,91,19.5,,,159
,,,,,,,,,,,,,,,,,,,
66,ESTEEM-2_2015,PBO,2,138,L,3,138,2015,1,0,413,45.5,276,18.5,91,19.5,,,159
,,,,,,,,,,,,,,,,,,,
67,Bachelez_2015,PBO,1,108,L,2,108,2015,1,0,444,44,304,17.5,81,19.5,,318,
,,,,,,,,,,,,,,,,,,,
67,Bachelez_2015,ETA,108,336,L,7,336,2015,1,0,444,44,304,17.5,81,19.5,,318,
,,,,,,,,,,,,,,,,,,,
68,Gordon_2015_X-PLORE,GUSEL,97,208,H,3,208,2015,1,0,293,47,207,19,92,21,283,154,147
,,,,,,,,,,,,,,,,,,,
68,Gordon_2015_X-PLORE,PBO,1,42,H,1,42,2015,1,0,293,47,207,19,92,21,283,154,147
,,,,,,,,,,,,,,,,,,,
68,Gordon_2015_X-PLORE,ADA,19,43,H,1,43,2015,1,0,293,47,207,19,92,21,283,154,147
,,,,,,,,,,,,,,,,,,,
69,UNCOVER-2_2015,ETA,67,358,L,8,358,2015,1,0,1224,45,821,19,91,21,1007,570,606
,,,,,,,,,,,,,,,,,,,
69,UNCOVER-2_2015,PBO,1,168,L,2,168,2015,1,0,1224,45,821,19,91,21,1007,570,606
,,,,,,,,,,,,,,,,,,,
69,UNCOVER-2_2015,IXE,455,698,L,13,698,2015,1,0,1224,45,821,19,91,21,1007,570,606
,,,,,,,,,,,,,,,,,,,
70,UNCOVER-3_2015,PBO,6,193,L,5,193,2015,1,0,1346,46,918,18,91,21,1063,522,615
,,,,,,,,,,,,,,,,,,,
