unique_id,name,year_publication,treatclass,nMC,rPASI90MC,rSAEMC,age,perc_male,weight,pasi_score,bias
71,Papp_2015_OPT Pivotal-2,2015,PBO,196,10,2,45,0.675,86,20,M
71,Papp_2015_OPT Pivotal-2,2015,SM,763,237,16,45,0.675,86,20,M
72,Gordon_2015_X-PLORE,2015,AIL23,208,97,3,47,0.706484642,92,21,H
72,Gordon_2015_X-PLORE,2015,ATA,43,19,1,47,0.706484642,92,21,H
72,Gordon_2015_X-PLORE,2015,PBO,42,1,1,47,0.706484642,92,21,H
73,Griffith_2015_UNCOVER2,2015,AIL17,698,455,13,45,0.670751634,91,21,L
73,Griffith_2015_UNCOVER2,2015,ATA,358,67,8,45,0.670751634,91,21,L
73,Griffith_2015_UNCOVER2,2015,PBO,168,1,2,45,0.670751634,91,21,L
74,Griffith_2015_UNCOVER3,2015,AIL17,771,514,15,46,0.682020802,91,21,L
74,Griffith_2015_UNCOVER3,2015,ATA,382,98,5,46,0.682020802,91,21,L
74,Griffith_2015_UNCOVER3,2015,PBO,193,6,5,46,0.682020802,91,21,L
76,Thaçi_2015_CLEAR,2015,AIL1223,339,193,10,45,0.711538462,87,22,L
76,Thaçi_2015_CLEAR,2015,AIL17,337,264,10,45,0.711538462,87,22,L
77,Paul_2015_JUNCTURE,2015,AIL17,121,57,4,45,0.686813187,91,20,L
77,Paul_2015_JUNCTURE,2015,PBO,61,0,1,45,0.686813187,91,20,L
78,Papp_2016_AMAGINE-1,2016,AIL17,441,249,10,46,0.732223903,91,20,L
78,Papp_2016_AMAGINE-1,2016,PBO,220,2,3,46,0.732223903,91,20,L
79,Nakagawa_2016,2015,AIL17,113,64,3,45,0.794701987,74,26,H
79,Nakagawa_2016,2015,PBO,38,1,1,45,0.794701987,74,26,H
80,Lebwohl_2015_AMAGINE2,2015,AIL1223,300,141,4,45,0.687056253,91,20,M
80,Lebwohl_2015_AMAGINE2,2015,AIL17,1222,731,19,45,0.687056253,91,20,M
80,Lebwohl_2015_AMAGINE2,2015,PBO,309,10,8,45,0.687056253,91,20,M
