studlab,year,treat1,treat2,id,TE,seTE,type_outcome1,n1,n2,rob,TE2,seTE2,type_outcome2,n21,n22,treat1_class,treat2_class,age
Asahina_2010,2010,ADA,PBO,22,3.622039436,1.418678602,binary,43,46,M,0.472906389,0.88788422,binary,43,46,ATA,PBO,45
Bachelez_2015,2015,ETA,PBO,69,3.547151294,0.998510796,binary,336,108,L,0.117783036,0.794116927,binary,336,108,ATA,PBO,45
Bachelez_2015,2015,ETA,TOFA,69,-0.108968457,0.108048054,binary,336,332,L,0.324496046,0.580404087,binary,336,332,ATA,SM,45
Bachelez_2015,2015,PBO,TOFA,69,-3.656119751,0.998064153,binary,108,332,L,0.20671301,0.829294093,binary,108,332,PBO,SM,45
Bagel_2012,2012,ETA,PBO,26,2.708050201,1.0170588,binary,62,62,L,NA,NA,binary,62,62,ATA,PBO,47
Bagel_2018_CLARITY,2018,SECU,USK,103,0.345819028,0.045716545,binary,550,552,L,0.44546252,0.42297743,binary,550,552,AIL17,AIL1223,41
Blauvelt_2015_FEATURE,2015,PBO,SECU,8,-4.290459441,1.412014099,binary,59,59,L,-1.098612289,1.139927642,binary,59,59,PBO,AIL17,44.5
Blauvelt_2016_VOYAGE1,2016,ADA,GUSEL,100,-0.387892387,0.06434243,binary,334,329,L,-0.302765315,0.534446575,binary,334,329,ATA,AIL23,46
Blauvelt_2016_VOYAGE1,2016,ADA,PBO,100,2.850464182,0.444165462,binary,334,174,L,0.041061487,0.70089861,binary,334,174,ATA,PBO,45
Blauvelt_2016_VOYAGE1,2016,GUSEL,PBO,100,3.23835657,0.441998572,binary,329,174,L,0.343826801,0.670482433,binary,329,174,AIL23,PBO,44
Cai_2016,2016,ADA,PBO,84,2.780691897,0.569385326,binary,338,87,L,-1.069455704,0.754241673,binary,338,87,ATA,PBO,44
Chaudhari_2001,2001,IFX,PBO,40,NA,NA,binary,11,11,L,NA,NA,binary,11,11,ATA,PBO,44
deVries_2016_PIECE,2016,ETA,IFX,83,-2.219203484,1.008227028,binary,23,25,H,0.083381609,1.384384968,binary,23,25,ATA,ATA,46
Elewski_2018,2018,ADA,PBO,105,1.895020798,0.381706913,binary,109,108,L,0.460786974,0.553684413,binary,109,108,ATA,PBO,44
Ellis_1991,1991,CICLO,PBO,14,1.9771821,1.4252341,binary,60,25,M,NA,NA,binary,60,25,CSA,PBO,46.5
EUCTR2015-003623-65-DE,,ADA,RISAN,138,-0.4245992,0.070141768,binary,304,301,L,-0.115277952,0.452216075,binary,304,301,ATA,AIL23,42.5
Fallaharani_2011,2011,FUM,MTX,36,-0.693147181,1.197219,binary,30,30,H,NA,NA,binary,30,30,CSA,CSA,42.5
"Ferris ORION, 2019",2019,GUSEL,PBO,121,3.222070716,1.39443414,binary,62,16,L,0.277631737,1.524268329,binary,62,16,AIL23,PBO,43
Flystrom_2007,2007,CICLO,MTX,15,0.763302167,0.559879499,binary,43,41,H,NA,NA,binary,43,41,CSA,CSA,45
"Gordon UltIMMa-1, 2018",2018,PBO,RISAN,107,-2.732229203,0.437348164,binary,102,304,L,0.244757028,0.680512366,binary,102,304,PBO,AIL23,46.5
"Gordon UltIMMa-1, 2018 ",2018,PBO,USK,107,-2.128231706,0.451886801,binary,102,102,L,-0.980829253,0.662363563,binary,102,102,PBO,AIL1223,45
"Gordon UltIMMa-1, 2018 ",2018,RISAN,USK,107,0.603997497,0.122812625,binary,304,102,L,-1.225586281,0.504741268,binary,304,102,AIL23,AIL1223,44
"Gordon UltIMMa-2, 2018",2018,PBO,RISAN,108,-3.601868077,0.700671116,binary,98,294,L,-0.693147181,1.073806884,binary,98,294,PBO,AIL23,44
"Gordon UltIMMa-2, 2018",2018,PBO,USK,108,-3.14684805,0.707793405,binary,98,99,L,-1.088459917,1.145874444,binary,98,99,PBO,AIL1223,42
"Gordon UltIMMa-2, 2018",2018,RISAN,USK,108,0.455020027,0.110994052,binary,294,99,L,-0.395312737,0.69749382,binary,294,99,AIL23,AIL1223,42
Gordon_2006,2006,ADA,PBO,23,3.256855073,1.430525612,binary,46,52,L,2.067271006,1.498386229,binary,46,52,ATA,PBO,42
Gordon_2015_X-PLORE,2015,ADA,GUSEL,72,-0.297967343,0.193574283,binary,43,84,H,1.762602885,1.622295855,binary,43,84,ATA,AIL23,40.5
Gordon_2015_X-PLORE,2015,ADA,PBO,72,2.920908482,1.002779258,binary,43,42,H,-0.023256862,1.134378868,binary,43,42,ATA,PBO,47.5
Gordon_2015_X-PLORE,2015,GUSEL,PBO,72,3.218875825,0.992111745,binary,84,42,H,-1.785859747,1.622129136,binary,84,42,AIL23,PBO,45
Gordon_2016_UNCOVER1,2016,IXE,PBO,91,5.029070929,0.706135734,binary,433,431,L,0.177691919,0.601695116,binary,433,431,AIL17,PBO,45
"Gottlieb CIMPASI-1, 2018",2018,CERTO,PBO,109,3.092074978,0.997669439,binary,88,51,L,1.063926731,1.081216223,binary,88,51,ATA,PBO,46
"Gottlieb CIMPASI-2, 2018",2018,CERTO,PBO,110,2.60396601,0.699235952,binary,87,49,L,1.627558454,1.480064739,binary,87,49,ATA,PBO,45
"Gottlieb IXORA-R, 2019",2019,GUSEL,IXE,155,-0.257087207,0.047526951,binary,507,520,L,-0.182321557,0.368140752,binary,507,520,AIL23,AIL17,41
Gottlieb_2003,2003,ETA,PBO,29,NA,NA,binary,57,55,H,-0.035718083,0.981974705,binary,57,55,ATA,PBO,44
Gottlieb_2004,2004,IFX,PBO,43,3.37975705,0.993898891,binary,99,51,L,2.174637508,1.445053401,binary,99,51,ATA,PBO,42
Gottlieb_2011,2011,ETA,PBO,88,2.767255376,1.004243471,binary,141,68,L,-0.729252185,1.406485663,binary,141,68,ATA,PBO,44
Griffith_2010_ACCEPT,2010,ETA,USK,1,-0.455697234,0.13413188,binary,347,209,H,-0.506990528,0.701664782,binary,347,209,ATA,AIL1223,
Griffith_2015_UNCOVER2,2015,ETA,IXE,73,-1.32848289,0.115392081,binary,358,351,L,0.450256866,0.565117422,binary,358,351,ATA,AIL17,46
Griffith_2015_UNCOVER2,2015,ETA,PBO,73,3.448123612,1.003085089,binary,358,168,L,0.629725354,0.785018677,binary,358,168,ATA,PBO,44
Griffith_2015_UNCOVER2,2015,IXE,PBO,73,4.776606502,0.997612587,binary,351,168,L,0.179468488,0.831383555,binary,351,168,AIL17,PBO,44
Griffith_2015_UNCOVER3,2015,ETA,IXE,74,-0.975554299,0.093838542,binary,382,385,L,-0.579963939,0.553078573,binary,382,385,ATA,AIL17,43
Griffith_2015_UNCOVER3,2015,ETA,PBO,74,2.11047759,0.411183171,binary,382,193,L,-0.68273042,0.626259413,binary,382,193,ATA,PBO,44
Griffith_2015_UNCOVER3,2015,IXE,PBO,74,3.086031889,0.40336672,binary,385,193,L,-0.10276648,0.550756172,binary,385,193,AIL17,PBO,
Heydendael_2003,2003,CICLO,MTX,16,-0.194156014,0.291200198,binary,44,44,H,NA,NA,binary,44,44,CSA,CSA,56.5
Hunter_1963,1963,MTX,PBO,51,0.990398704,1.599450455,binary,19,17,H,NA,NA,binary,19,17,CSA,PBO,
Igarashi_2012,2012,PBO,USK,2,-2.351375257,1.000371955,binary,32,64,M,2.294863047,1.534186069,binary,32,64,PBO,AIL1223,43
Ikonomidis 2017,2017,CICLO,ETA,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,CSA,ATA,43
Ikonomidis 2017,2017,CICLO,USK,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,CSA,AIL1223,
Ikonomidis 2017,2017,ETA,USK,111,NA,NA,binary,50,50,H,NA,NA,binary,50,50,ATA,AIL1223,
Jin 2017,2017,PBO,TOFA,112,NA,NA,binary,6,7,H,NA,NA,binary,6,7,PBO,SM,
Krueger_2007,2007,PBO,USK,3,-3.068052935,0.999909153,binary,64,128,L,-0.916290732,1.084694657,binary,64,128,PBO,AIL1223,40
Krueger_2016,2016,PBO,TOFA,96,NA,NA,binary,3,9,L,2.097141119,1.508538771,binary,3,9,PBO,SM,45.5
Langley_2014_ERASURE,2014,PBO,SECU,9,-3.890291989,0.576295058,binary,248,245,L,-0.417635644,0.639181333,binary,248,245,PBO,AIL17,44
Langley_2014_FIXTURE,2014,ETA,PBO,10,2.595254707,0.456935886,binary,326,326,L,-0.693147181,0.702755314,binary,326,326,ATA,PBO,44
Langley_2014_FIXTURE,2014,ETA,SECU,10,-0.957030565,0.120474355,binary,326,327,L,-0.284619283,0.759741893,binary,326,327,ATA,AIL17,44
Langley_2014_FIXTURE,2014,PBO,SECU,10,-3.552285272,0.446753508,binary,326,327,L,0.408527898,0.640734795,binary,326,327,PBO,AIL17,46
"Lebwohl CIMPACT, 2018",2018,CERTO,ETA,136,0.230084581,0.164503583,binary,167,170,M,1.404098986,1.112712732,binary,167,170,ATA,ATA,45
"Lebwohl CIMPACT, 2018",2018,CERTO,PBO,136,3.675733725,1.412101218,binary,167,57,M,-1.298086096,0.653045264,binary,167,57,ATA,PBO,47
"Lebwohl CIMPACT, 2018",2018,ETA,PBO,136,3.445649144,1.413594344,binary,170,57,M,-2.702185082,1.084699861,binary,170,57,ATA,PBO,47
Lebwohl_2015_AMAGINE2,2015,BRODA,PBO,80,3.07780911,0.312178392,binary,612,309,M,-0.56560797,0.480875117,binary,612,309,AIL17,PBO,47
Lebwohl_2015_AMAGINE2,2015,BRODA,USK,80,0.40207551,0.066711766,binary,612,300,M,0.097980408,0.59677784,binary,612,300,AIL17,AIL1223,45
Lebwohl_2015_AMAGINE2,2015,PBO,USK,80,-2.6757336,0.317053023,binary,309,300,M,0.663588378,0.606984696,binary,309,300,PBO,AIL1223,45
Lebwohl_2015_AMAGINE3,2015,BRODA,PBO,81,3.768441277,0.444470286,binary,624,315,M,0.415034559,0.663074111,binary,624,315,AIL17,PBO,45
Lebwohl_2015_AMAGINE3,2015,BRODA,USK,81,0.367563435,0.065153353,binary,624,313,M,0.814130219,0.778661453,binary,624,313,AIL17,AIL1223,46
Lebwohl_2015_AMAGINE3,2015,PBO,USK,81,-3.400877842,0.447595708,binary,315,313,M,0.39909566,0.909375523,binary,315,313,PBO,AIL1223,46
Leonardi_2003,2003,ETA,PBO,30,3.583518938,1.007905261,binary,168,168,L,NA,NA,binary,168,168,ATA,PBO,46
Leonardi_2008_PHOENIX1,2008,PBO,USK,4,-3.054001182,0.448988669,binary,255,255,L,0,0.996070712,binary,255,255,PBO,AIL1223,45
Leonardi_2012,2012,IXE,PBO,39,3.309847603,1.404410787,binary,115,27,L,-0.755948082,1.20593006,binary,115,27,AIL17,PBO,45
Meffert_1997,1997,CICLO,PBO,59,NA,NA,binary,84,43,H,1.733904677,1.465262897,binary,84,43,CSA,PBO,46
"Mehta VIP trial, 2018",2018,ADA,PBO,115,NA,NA,binary,33,31,M,1.547880019,1.529183842,binary,33,31,ATA,PBO,45
Menter_2007_EXPRESSII,2007,IFX,PBO,41,4.543972151,0.999524811,binary,314,208,L,0.175931759,0.550562172,binary,314,208,ATA,PBO,45
Menter_2008_REVEAL,2008,ADA,PBO,24,2.989900395,0.331816647,binary,814,398,L,0.046631691,0.453632831,binary,814,398,ATA,PBO,45
Mrowietz_2016_BRIDGE,2016,FUM,PBO,93,1.497380504,0.408343501,binary,566,138,H,-0.187564961,0.499810332,binary,566,138,CSA,PBO,45
Nakagawa_2016,2016,BRODA,PBO,79,3.553028772,0.987962018,binary,37,38,H,0.026668247,1.395226571,binary,37,38,AIL17,PBO,45
"NCT02187172 Gelfand VIP-U, 2020",2020,PBO,USK,145,-2.898976605,1.419262867,binary,21,22,M,NA,NA,binary,21,22,PBO,AIL1223,45
NCT02559622 von Stebut CARIMA 2019,2019,PBO,SECU,143,-4.027742057,1.412636917,binary,49,48,H,0.672527893,1.207790753,binary,49,48,PBO,AIL17,45
NCT02672852 IMMhance,2020,PBO,RISAN,139,-3.600303306,0.700641636,binary,100,407,L,1.403642999,0.48738383,binary,100,407,PBO,AIL23,45
"NCT02690701 Gelfand VIP-S, 2020",2020,PBO,SECU,147,-4.212366518,1.409078461,binary,45,46,L,-1.587697926,1.535094981,binary,45,46,PBO,AIL17,44
NCT02748863 ALLURE,2020,PBO,SECU,148,-3.884802725,0.994548424,binary,71,143,L,1.393311934,1.21610957,binary,71,143,PBO,AIL17,43
NCT03000075,2020,PBO,RISAN,123,-3.766681892,0.994468223,binary,58,55,L,-0.746257006,1.21019701,binary,58,55,PBO,AIL23,
NCT03051217,2020,CERTO,PBO,149,3.691912234,1.402948296,binary,53,26,L,NA,NA,binary,53,26,ATA,PBO,43.5
NCT03055494 ObePso-S,2020,PBO,SECU,156,-3.42924083,1.407288869,binary,28,54,L,NA,NA,binary,28,54,PBO,AIL17,45
NCT03066609,2020,PBO,SECU,150,-3.953433062,0.70262225,binary,135,272,L,-0.803550109,0.774614248,binary,135,272,PBO,AIL17,46
"NCT03482011 OASIS-1, 2020",2020,MIRI,PBO,158,2.285348573,0.367183541,binary,423,107,L,-0.458252613,0.829632533,binary,423,107,AIL23,PBO,45
Nugteren-Huying_1990,1990,FUM,PBO,44,NA,NA,binary,22,12,H,NA,NA,NA,NA,NA,CSA,PBO,44.5
Ohtsuki 2017 ,2017,APRE,PBO,124,2.473072192,1.02939976,binary,85,84,L,NA,NA,binary,85,84,SM,PBO,
Ohtsuki 2018,2018,GUSEL,PBO,125,4.504261688,1.41110595,binary,63,64,M,-0.677398824,1.211817636,binary,63,64,AIL23,PBO,45.5
"Papp BE ABLE, 2018",2018,BIME,PBO,127,4.062054215,1.406659863,binary,208,42,L,-1.599868461,1.404059395,binary,208,42,AIL17,PBO,46
"Papp NCT02054481, 2017 ",2017,RISAN,USK,128,0.436717652,0.20587376,binary,126,40,H,0.151880531,0.625544496,binary,126,40,AIL23,AIL1223,45
"Papp TYK2, 2018",2018,PBO,TYK2,129,-2.638091612,0.993864189,binary,45,222,L,0.497402603,1.143068942,binary,45,222,PBO,SM,45
Papp_2005,2005,ETA,PBO,31,3.668475661,1.007875467,binary,203,204,M,NA,NA,binary,203,204,ATA,PBO,45
Papp_2008_PHOENIX2,2008,PBO,USK,5,-4.057121309,0.578125997,binary,410,409,L,-0.002442004,0.495091898,binary,410,409,PBO,AIL1223,44
Papp_2012,2012,BRODA,PBO,20,4.060230131,1.407878369,binary,40,38,L,-0.051293294,1.395952797,binary,40,38,AIL17,PBO,44
Papp_2012a,2012,PBO,TOFA,7,-3.516508228,1.421478829,binary,50,49,L,-1.118612955,1.620698203,binary,50,49,PBO,SM,44
Papp_2012b,2012,APRE,PBO,97,2.302585093,1.037917495,binary,88,88,L,0.693147181,0.852802865,binary,88,88,SM,PBO,44
Papp_2013a,2013,PBO,SECU,11,-1.452045739,0.997415017,binary,22,103,H,1.138221427,0.882139473,binary,22,103,PBO,AIL17,44
Papp_2013b,2013,APRE,PBO,98,NA,NA,binary,173,87,H,-1.380530656,0.855993809,binary,173,87,SM,PBO,44
Papp_2015_ESTEEM-1,2015,APRE,PBO,21,3.317738406,1.006407651,binary,562,282,L,-0.284129671,0.450563952,binary,562,282,SM,PBO,45
Papp_2015_OPT Pivotal-1,2015,PBO,TOFA,70,-1.943287666,0.314029868,binary,177,360,M,0.016807118,0.539974541,binary,177,360,PBO,SM,51
Papp_2015_OPT Pivotal-2,2015,PBO,TOFA,71,-2.009463934,0.314912431,binary,196,381,M,-0.251606016,0.832029619,binary,196,381,PBO,SM,47
Papp_2015a,2015,PBO,TILDRA,82,-2.866365551,0.99821675,binary,46,89,M,-0.443825976,1.622956594,binary,46,89,PBO,AIL23,48
Papp_2016_AMAGINE-1,2016,BRODA,PBO,78,4.347658991,0.705237759,binary,222,220,L,0.278632237,0.757814868,binary,222,220,AIL17,PBO,48
Paul_2015_ESTEEM-2,2015,APRE,PBO,67,1.795389237,0.728549193,binary,275,138,L,-0.178691789,0.722807438,binary,275,138,SM,PBO,48
Paul_2015_JUNCTURE,2015,PBO,SECU,77,-4.221086429,1.41317432,binary,61,60,L,-0.016529302,1.402476342,binary,61,60,PBO,AIL17,47
Piskin_2003,2003,CICLO,MTX,52,NA,NA,binary,5,5,H,NA,NA,binary,5,5,CSA,CSA,47
Reich 2019,2019,MIRI,PBO,144,3.996016805,1.409615671,binary,153,52,L,-0.386047022,1.214180087,binary,153,52,AIL23,PBO,47
"Reich IXORA-S, 2017 ",2017,IXE,USK,131,0.545957511,0.104927055,binary,136,166,L,1.808108607,1.544884457,binary,136,166,AIL17,AIL1223,46
"Reich ReSURFACE-1, 2017 ",2017,PBO,TILDRA,132,-2.596618313,0.499657818,binary,155,309,L,-0.919521752,1.091014272,binary,155,309,PBO,AIL23,45
"Reich ReSURFACE-2, 2017",2017,ETA,PBO,133,2.815198256,0.710858796,binary,313,156,L,-0.136731395,0.6190735,binary,313,156,ATA,PBO,43
"Reich ReSURFACE-2, 2017",2017,ETA,TILDRA,133,-0.593786317,0.129909651,binary,313,307,L,0.540260345,0.621614773,binary,313,307,ATA,AIL23,42
"Reich ReSURFACE-2, 2017",2017,PBO,TILDRA,133,-3.408984572,0.706212274,binary,156,307,L,0.67699174,0.700237399,binary,156,307,PBO,AIL23,42
"Reich TRANSFIGURE, 2016",2016,PBO,SECU,130,-3.855933539,0.995136776,binary,65,66,L,0.015267472,0.984613564,binary,65,66,PBO,AIL17,42
Reich_2005_EXPRESS,2005,IFX,PBO,18,3.784189634,0.994738499,binary,301,77,L,0.776761321,0.736555672,binary,301,77,ATA,PBO,46
Reich_2012,2012,CERTO,PBO,53,3.278742433,1.001422241,binary,59,58,L,1.592343479,1.079726571,binary,59,58,ATA,PBO,42
Reich_2015,2015,PBO,SECU,85,-2.288676663,1.384644934,binary,10,90,L,-0.554075608,1.423743486,binary,10,90,PBO,AIL17,52
Reich_2016_LIBERATE,2016,APRE,ETA,99,-0.348306694,0.343599297,binary,83,83,M,0.336472237,0.81348767,binary,83,83,SM,ATA,50.5
Reich_2016_LIBERATE,2016,APRE,PBO,99,1.398270552,0.626668742,binary,83,84,M,1.957815052,1.503962738,binary,83,84,SM,PBO,49
Reich_2016_LIBERATE,2016,ETA,PBO,99,1.746577246,0.606798078,binary,83,84,M,1.621342815,1.54148942,binary,83,84,ATA,PBO,44
Reich_2017_VOYAGE-2,2017,ADA,GUSEL,101,-0.402587408,0.073852197,binary,248,496,L,0.405465108,0.534432671,binary,248,496,ATA,AIL23,46
Reich_2017_VOYAGE-2,2017,ADA,PBO,101,2.961830722,0.408928894,binary,248,248,L,0.693147181,0.701381126,binary,248,248,ATA,PBO,45
Reich_2017_VOYAGE-2,2017,GUSEL,PBO,101,3.36441813,0.404351486,binary,496,248,L,0.287682072,0.672521335,binary,496,248,AIL23,PBO,44
Rich_2013,2013,PBO,SECU,12,-2.67506913,0.997900746,binary,67,337,L,-0.869516339,1.032201822,binary,67,337,PBO,AIL17,43
Sandhu_2003,2003,CICLO,MTX,17,NA,NA,binary,NA,NA,H,NA,NA,NA,NA,NA,CSA,CSA,47
Strober_2011,2011,ETA,PBO,89,1.539416763,0.591005277,binary,139,72,L,-1.350954995,1.216107259,binary,139,72,ATA,PBO,45
Thaçi_2015_CLEAR,2015,SECU,USK,76,0.319176091,0.055245039,binary,337,339,L,0.005917177,0.440548282,binary,337,339,AIL17,AIL1223,45
Torii_2010,2010,IFX,PBO,19,3.064443415,1.404218995,binary,35,19,M,-0.610909082,1.38520648,binary,35,19,ATA,PBO,45
