,treatment,pscore
1,ACE,0.34
2,ACE + TLD,0.09
3,ARB,0.45
4,ARB + TTD,0.54
5,BB,0.8300000000000001
6,BB + TTD,0.44
7,CCBd,0.37
8,CCBn,0.45
9,CCBn + ACE,0.54
10,TLD,0.47000000000000003
11,TTD,0.7000000000000001
12,placebo,0.77
