studlab,name,year_publication,treat,r,n,weight,pasi_score,bias,indirectness,age,perc_male
71,Papp_2015_OPT Pivotal-2,2015,SM,237,763,86,20,M,2,45,0.675
72,Gordon_2015_X-PLORE,2015,AIL23,97,208,92,21,H,1,47,0.706484642
72,Gordon_2015_X-PLORE,2015,ATA,19,43,92,21,H,1,47,0.706484642
72,Gordon_2015_X-PLORE,2015,PBO,1,42,92,21,H,1,47,0.706484642
73,Griffith_2015_UNCOVER2,2015,AIL17,455,698,91,21,L,1,45,0.670751634
73,Griffith_2015_UNCOVER2,2015,ATA,67,358,91,21,L,1,45,0.670751634
73,Griffith_2015_UNCOVER2,2015,PBO,1,168,91,21,L,1,45,0.670751634
74,Griffith_2015_UNCOVER3,2015,AIL17,514,771,91,21,L,1,46,0.682020802
74,Griffith_2015_UNCOVER3,2015,ATA,98,382,91,21,L,1,46,0.682020802
74,Griffith_2015_UNCOVER3,2015,PBO,6,193,91,21,L,1,46,0.682020802
76,Thaçi_2015_CLEAR,2015,AIL1223,193,339,87,22,L,1,45,0.711538462
76,Thaçi_2015_CLEAR,2015,AIL17,264,337,87,22,L,1,45,0.711538462
77,Paul_2015_JUNCTURE,2015,AIL17,57,121,91,20,L,2,45,0.686813187
77,Paul_2015_JUNCTURE,2015,PBO,0,61,91,20,L,2,45,0.686813187
78,Papp_2016_AMAGINE-1,2016,AIL17,249,441,91,20,L,2,46,0.732223903
78,Papp_2016_AMAGINE-1,2016,PBO,2,220,91,20,L,2,46,0.732223903
79,Nakagawa_2016,2015,AIL17,64,113,74,26,H,2,45,0.794701987
79,Nakagawa_2016,2015,PBO,1,38,74,26,H,2,45,0.794701987
80,Lebwohl_2015_AMAGINE2,2015,AIL1223,141,300,91,20,M,1,45,0.687056253
80,Lebwohl_2015_AMAGINE2,2015,AIL17,731,1222,91,20,M,1,45,0.687056253
80,Lebwohl_2015_AMAGINE2,2015,PBO,10,309,91,20,M,1,45,0.687056253
81,Lebwohl_2015_AMAGINE3,2015,AIL1223,149,313,89,20,M,1,45,0.684742158
