,treatment,pscore
1,DB,0.81
2,MT,0.5700000000000001
3,NI,0.65
4,PCT,0.21
5,TM,0.09
6,WBM,0.62
7,WC,0.6900000000000001
8,WM,0.63
9,XX,0.47000000000000003
10,YG,0.27
