,DB,MT,NI,PCT,TM,WBM,WC,WM,XX,YG
DB,DB,.,"1.75
(0.43, 7.10)",.,.,.,.,.,.,.
MT,"2.12
(0.22,20.25)",MT,.,.,.,.,"0.82
(0.38, 1.77)",.,.,.
NI,"1.75
(0.43, 7.10)","0.83
(0.14, 4.87)",NI,"2.98
(1.19, 7.45)","6.36
(1.49,27.09)","1.04
(0.30, 3.54)",.,.,.,.
PCT,"5.22
(0.98,27.80)","2.46
(0.54,11.22)","2.98
(1.19, 7.45)",PCT,.,.,"0.33
(0.09, 1.23)",.,.,.
TM,"11.17
(1.49,83.60)","5.27
(0.53,51.93)","6.36
(1.49,27.09)","2.14
(0.38,11.87)",TM,.,.,.,.,.
WBM,"1.82
(0.28,11.70)","0.86
(0.10, 7.41)","1.04
(0.30, 3.54)","0.35
(0.08, 1.61)","0.16
(0.02, 1.09)",WBM,.,.,.,.
WC,"1.74
(0.21,14.54)","0.82
(0.38, 1.77)","0.99
(0.20, 4.90)","0.33
(0.09, 1.23)","0.16
(0.02, 1.35)","0.96
(0.13, 7.17)",WC,"1.04
(0.29, 3.72)","1.55
(0.46, 5.27)","2.54
(0.90, 7.13)"
WM,"1.81
(0.15,21.56)","0.86
(0.19, 3.78)","1.03
(0.13, 7.97)","0.35
(0.06, 2.16)","0.16
(0.01, 1.99)","1.00
(0.09,10.81)","1.04
(0.29, 3.72)",WM,.,.
XX,"2.70
(0.23,31.29)","1.27
(0.30, 5.39)","1.54
(0.21,11.50)","0.52
(0.09, 3.10)","0.24
(0.02, 2.89)","1.49
(0.14,15.66)","1.55
(0.46, 5.27)","1.49
(0.26, 8.70)",XX,.
YG,"4.42
(0.42,46.83)","2.08
(0.58, 7.54)","2.52
(0.38,16.87)","0.85
(0.16, 4.48)","0.40
(0.04, 4.32)","2.43
(0.25,23.36)","2.54
(0.90, 7.13)","2.44
(0.47,12.55)","1.64
(0.33, 8.09)",YG
