,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
36,147,cita,esci,-0.5520685823,0.6130774031,19,28,22,28,0.0,0,147,1,OR,beneficial,cita,esci,19,22,28,28,2006.0,2006.0,34.0,37.0
37,148,cita,esci,-1.3388921222,0.4873258824,90,110,103,109,0.0,0,148,1,OR,beneficial,cita,esci,90,103,110,109,2007.0,2007.0,35.0,35.0
38,149,esci,fluo,0.0195670927,0.3034325251,94,123,89,117,0.0,0,149,1,OR,beneficial,esci,fluo,94,89,123,117,2008.0,2008.0,37.0,41.0
39,150,cita,esci,-0.10008345860000001,0.7747584311,19,23,21,25,0.0,0,150,2,OR,beneficial,cita,esci,19,21,23,25,2009.0,2009.0,31.0,31.0
40,151,cita,esci,0.7259370034,1.2512359481,31,32,30,32,0.0,0,151,1,OR,beneficial,cita,esci,31,30,32,32,2009.0,2009.0,39.0,39.0
41,152,cita,esci,0.161477862,0.2843809118,87,120,83,120,0.0,0,152,1,OR,beneficial,cita,esci,87,83,120,120,2010.0,2010.0,36.0,37.0
42,153,cita,esci,-0.2744368457,0.7433919417,19,24,20,24,0.0,0,153,2,OR,beneficial,cita,esci,19,20,24,24,2010.0,2010.0,,
43,157,cita,esci,-0.1625189295,0.7558594641,17,22,16,20,0.0,0,157,2,OR,beneficial,cita,esci,17,16,22,20,2013.0,2013.0,32.0,32.0
44,169,amit,fluo,0.896872646,0.5722003784,15,28,8,25,0.0,0,169,1,OR,beneficial,amit,fluo,15,8,28,25,1985.0,1985.0,39.0,41.0
45,175,amit,fluo,0.1823215568,0.49721446300000005,18,33,16,32,0.0,0,175,2,OR,beneficial,amit,fluo,18,16,33,32,1988.0,1988.0,69.0,69.0
46,176,fluo,traz,-0.08004270770000001,0.618448569,9,22,9,21,0.0,0,176,2,OR,beneficial,fluo,traz,9,9,22,21,1988.0,1988.0,35.0,39.0
47,178,amit,fluo,0.0357180826,0.5345331401,57,65,55,63,0.0,0,178,2,OR,beneficial,amit,fluo,57,55,65,63,1988.0,1988.0,,
48,180,fluo,traz,1.0986122887,0.8079466429000001,8,14,4,13,0.0,0,180,2,OR,beneficial,fluo,traz,8,4,14,13,1989.0,1989.0,69.0,68.0
