,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
67,181,fluo,amit,0.2135741003,-0.06811085360000001,0.28168495390000003,0.6543038691
68,186,fluo,amit,0.1823215568,-0.06811085360000001,0.2504324104,0.7187952884000001
69,188,fluo,amit,-0.5753641449,-0.06811085360000001,-0.5072532913,0.6614378278
70,189,fluo,amit,0.6505875661,-0.06811085360000001,0.7186984197,0.5544070254
71,191,fluo,amit,0.2876820725,-0.06811085360000001,0.3557929261,0.5283622495
72,196,fluo,amit,0.2006706955,-0.06811085360000001,0.2687815491,0.5048328980000001
73,197,fluo,amit,-0.5893286853,-0.06811085360000001,-0.5212178317,0.3835699678
74,198,fluo,amit,0.22314355130000002,-0.06811085360000001,0.2912544049,0.6690433825000001
75,199,fluo,amit,0.0779184371,-0.06811085360000001,0.1460292907,0.3608874955
76,305,paro,amit,0.8754687374000001,-0.08765144550000001,0.9631201829,0.9457507306
77,307,paro,amit,-0.9162907319,-0.08765144550000001,-0.8286392864000001,0.9746794345
78,311,paro,amit,-0.70032854,-0.08765144550000001,-0.6126770945000001,0.3206975889
79,312,paro,amit,0.20252426410000002,-0.08765144550000001,0.2901757096,0.5215590183000001
80,324,paro,amit,1.0296194172,-0.08765144550000001,1.1172708627,0.8472645058
81,331,paro,amit,-0.1335313926,-0.08765144550000001,-0.0458799471,0.41981214370000003
82,338,paro,amit,-0.28107096740000004,-0.08765144550000001,-0.1934195219,0.2298405506
83,339,paro,amit,0.4734698372,-0.08765144550000001,0.5611212827000001,0.44336060660000004
84,340,paro,amit,-0.5877866649,-0.08765144550000001,-0.5001352194,0.6522245207
85,348,paro,amit,0.8544153282,-0.08765144550000001,0.9420667737,0.3195084761
86,350,paro,amit,-0.2554935123,-0.08765144550000001,-0.1678420668,0.3287082773
87,351,paro,amit,-0.0425596144,-0.08765144550000001,0.0450918311,0.3501035044
88,361,paro,amit,-0.2816197778,-0.08765144550000001,-0.19396833230000002,0.2695144353
89,221,fluv,amit,1.1267831656,-0.07177581620000001,1.1985589818,0.7330085861000001
90,228,fluv,amit,0.0352149063,-0.07177581620000001,0.10699072250000001,0.262604791
91,232,fluv,amit,-1.0056661762,-0.07177581620000001,-0.93389036,0.49691020010000003
92,239,miln,amit,-0.6836684366,-0.17238403160000002,-0.511284405,0.37772668470000004
93,240,miln,amit,0.5130957723,-0.17238403160000002,0.6854798039000001,0.4373646977
94,397,sert,amit,0.087011377,-0.25242925790000004,0.33944063490000004,0.2736636163
95,399,sert,amit,0.11778303570000001,-0.25242925790000004,0.3702122936,0.48549213630000004
96,407,sert,amit,-0.4514022033,-0.25242925790000004,-0.19897294540000002,0.3198424439
97,411,sert,amit,-0.5349496007,-0.25242925790000004,-0.2825203428,0.2606624064
98,436,traz,amit,-0.5877866649,-0.3406072624,-0.2471794025,0.3700125986
99,437,traz,amit,0.0645385211,-0.3406072624,0.4051457835,0.47371379750000003
100,477,venl,amit,0.0460033533,-0.17873697800000002,0.2247403313,0.4290434999
101,479,venl,amit,-0.3083013597,-0.17873697800000002,-0.1295643817,0.3257644072
102,8,agom,fluo,0.3539150413,0.1265629109,0.22735213040000002,0.1875676463
103,13,agom,fluo,-0.0567118049,0.1265629109,-0.18327471580000002,0.1684068265
104,52,bupr,fluo,0.1733528868,0.1733528868,0.0,0.3664725901
105,85,cita,fluo,0.11588933800000001,-0.0340117398,0.1499010778,0.2274308286
106,86,cita,fluo,-0.1999064616,-0.0340117398,-0.1658947218,0.23925622170000002
107,131,esci,fluo,-0.0569534748,-0.0209868073,-0.0359666675,0.285756369
108,149,esci,fluo,0.0195670927,-0.0209868073,0.0405539,0.3034325251
109,169,amit,fluo,0.896872646,0.06811085360000001,0.8287617924,0.5722003784
110,175,amit,fluo,0.1823215568,0.06811085360000001,0.1142107032,0.49721446300000005
111,178,amit,fluo,0.0357180826,0.06811085360000001,-0.032392771,0.5345331401
112,181,amit,fluo,-0.2135741003,0.06811085360000001,-0.28168495390000003,0.6543038691
113,186,amit,fluo,-0.1823215568,0.06811085360000001,-0.2504324104,0.7187952884000001
114,188,amit,fluo,0.5753641449,0.06811085360000001,0.5072532913,0.6614378278
115,189,amit,fluo,-0.6505875661,0.06811085360000001,-0.7186984197,0.5544070254
116,191,amit,fluo,-0.2876820725,0.06811085360000001,-0.3557929261,0.5283622495
117,196,amit,fluo,-0.2006706955,0.06811085360000001,-0.2687815491,0.5048328980000001
118,197,amit,fluo,0.5893286853,0.06811085360000001,0.5212178317,0.3835699678
119,198,amit,fluo,-0.22314355130000002,0.06811085360000001,-0.2912544049,0.6690433825000001
120,199,amit,fluo,-0.0779184371,0.06811085360000001,-0.1460292907,0.3608874955
121,182,clom,fluo,-0.3746934494,-0.4979571622,0.12326371280000001,0.8703882798
122,183,clom,fluo,-0.48835276790000004,-0.4979571622,0.009604394300000001,0.6266392644000001
123,184,clom,fluo,-0.6499586505,-0.4979571622,-0.15200148830000001,0.3390288938
124,187,clom,fluo,-0.3418923041,-0.4979571622,0.1560648581,0.3707688952
125,202,paro,fluo,0.20544397420000002,0.2330424339,-0.0275984597,0.30494309010000004
126,335,paro,fluo,-0.10570351,0.2330424339,-0.3387459439,0.30897775180000003
127,336,paro,fluo,1.0938390099,0.2330424339,0.860796576,0.4784665926
128,337,paro,fluo,0.5096218921,0.2330424339,0.2765794582,0.3776642536
129,343,paro,fluo,-0.0392207132,0.2330424339,-0.2722631471,0.4022373327
130,344,paro,fluo,0.2876820725,0.2330424339,0.054639638600000005,0.43885372570000003
131,347,paro,fluo,0.11300975690000001,0.2330424339,-0.120032677,0.3412334221
132,359,paro,fluo,-0.0289875369,0.2330424339,-0.2620299708,0.2963679125
133,364,paro,fluo,0.4970323016,0.2330424339,0.2639898677,0.2723505473
134,224,fluv,fluo,-0.0148886125,0.0332511147,-0.0481397272,0.4067371873
135,229,fluv,fluo,0.0592694085,0.0332511147,0.0260182938,0.2990208522
136,242,miln,fluo,-0.5578284774,-0.1395461881,-0.4182822893,0.2998173266
137,244,miln,fluo,0.1404830411,-0.1395461881,0.2800292292,0.24531475560000002
138,262,mirt,fluo,0.6990819161,0.40465380100000004,0.2944281151,0.35218372200000003
139,266,mirt,fluo,0.3036824138,0.40465380100000004,-0.1009713872,0.34919994870000004
140,269,mirt,fluo,2.8332133441,0.40465380100000004,2.4285595431,1.5573501104
141,270,mirt,fluo,0.9162907319,0.40465380100000004,0.5116369309000001,0.6892024376
142,271,mirt,fluo,0.16214903860000002,0.40465380100000004,-0.24250476240000002,0.258674689
143,284,nefa,fluo,-0.0953101798,0.0327162292,-0.128026409,0.6105139415
