,treatment,pscore
1,agom,0.64
2,amit,0.71
3,bupr,0.79
4,cita,0.37
5,clom,0.26
6,dulo,0.52
7,esci,0.8300000000000001
8,fluo,0.23
9,fluv,0.25
10,miln,0.49
11,mirt,0.75
12,nefa,0.38
13,paro,0.62
14,rebo,0.09
15,sert,0.45
16,traz,0.12
17,venl,0.61
18,vort,0.9
